Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
15,Wake Forest,ACC,15-14-1,15,14,41-19-1,41,19,28,24-2,24,2,2,88,26-7-1,26,7,13-10,13,10,2-2,2,2,14-17-1,14,17,4-0-0,4,0,11-1-0,11,1,12-1-0,12,1
16,Florida,SEC,15-15,15,15,42-24,42,24,7,20-5,20,5,12,45,25-13,25,13,12-9,12,9,5-2,5,2,17-21,17,21,10-2,10,2,6-0,6,0,9-1,9,1
17,LSU,SEC,17-13,17,13,40-22,40,22,14,20-5,20,5,21,71,26-9,26,9,11-9,11,9,3-4,3,4,14-20,14,20,6-1,6,1,5-1,5,1,15-0,15,0
18,East Carolina,American Athletic,20-4,20,4,46-21,46,21,29,18-14,18,14,40,5,27-11,27,11,15-10,15,10,4-0,4,0,5-10,5,10,17-5,17,5,13-5,13,5,11-1,11,1
19,Oklahoma State,Big 12,15-9,15,9,42-22,42,22,19,21-9,21,9,24,25,21-12,21,12,16-5,16,5,5-5,5,5,14-17,14,17,11-2,11,2,10-3,10,3,7-0,7,0
20,Texas State,Sun Belt,26-4,26,4,47-14,47,14,87,18-7,18,7,29,65,26-6,26,6,19-7,19,7,2-1,2,1,9-9,9,9,9-2,9,2,8-1,8,1,21-2,21,2
21,Louisville,ACC,18-11-1,18,11,42-21-1,42,21,21,20-5,20,5,31,89,33-7,33,7,8-11-1,8,11,1-3,1,3,18-13-1,18,13,8-5-0,8,5,6-1-0,6,1,10-2-0,10,2
22,Southern Miss,Conference USA,23-7,23,7,47-19,47,19,45,18-7,18,7,19,36,26-13,26,13,19-6,19,6,2-0,2,0,9-13,9,13,18-5,18,5,5-0,5,0,15-1,15,1
23,Georgia Tech,ACC,15-15,15,15,36-24,36,24,9,18-6,18,6,20,42,22-9,22,9,11-12,11,12,3-3,3,3,15-16,15,16,7-6,7,6,5-2,5,2,9-0,9,0
24,Georgia,SEC,15-15,15,15,36-23,36,23,10,20-5,20,5,9,28,23-9,23,9,9-11,9,11,4-3,4,3,15-18,15,18,7-4,7,4,7-1,7,1,7-0,7,0
25,Georgia Southern,Sun Belt,23-7,23,7,41-20,41,20,37,15-10,15,10,27,3,25-8,25,8,13-11,13,11,3-1,3,1,5-12,5,12,20-6,20,6,4-1,4,1,12-1,12,1
26,Connecticut,Big East,16-5,16,5,50-16,50,16,128,27-8,27,8,23,129,19-4,19,4,26-11,26,11,5-1,5,1,5-3,5,3,7-2,7,2,9-7,9,7,29-4,29,4
27,Miami (FL),ACC,20-10,20,10,40-20,40,20,25,19-6,19,6,48,94,29-10,29,10,11-8,11,8,0-2,0,2,14-14,14,14,8-3,8,3,10-3,10,3,8-0,8,0
28,Virginia,ACC,17-13,17,13,39-19,39,19,40,21-2,21,2,17,170,29-5,29,5,7-11,7,11,3-3,3,3,13-15,13,15,3-3,3,3,9-1,9,1,14-0,14,0
29,Coastal Carolina,Sun Belt,21-8-1,21,8,39-20-1,39,20,43,15-9,15,9,16,2,22-7-1,22,7,15-11,15,11,2-2,2,2,10-9-0,10,9,14-9-0,14,9,3-0-0,3,0,12-2-1,12,2
30,Dallas Baptist,Missouri Valley,11-9-1,11,9,34-24-1,34,24,16,22-11,22,11,4,1,20-9,20,9,12-11-1,12,11,2-4,2,4,13-10-0,13,10,8-8-0,8,8,6-2-1,6,2,7-4-0,7,4
31,Gonzaga,West Coast,20-7,20,7,37-19,37,19,67,14-8,14,8,18,18,11-4,11,4,20-9,20,9,6-6,6,6,6-10,6,10,7-2,7,2,9-4,9,4,15-3,15,3
32,Oregon,Pac-12,18-12,18,12,36-25,36,25,12,17-9,17,9,28,6,25-10,25,10,10-12,10,12,1-3,1,3,10-12,10,12,12-8,12,8,7-3,7,3,7-1,7,1
33,Florida State,ACC,15-15,15,15,34-25,34,25,8,17-7,17,7,25,23,26-8,26,8,6-14,6,14,2-3,2,3,16-17,16,17,5-3,5,3,12-5,12,5,1-0,1,0
34,TCU,Big 12,16-8,16,8,38-22,38,22,47,19-10,19,10,66,97,19-7,19,7,11-11,11,11,8-4,8,4,9-18,9,18,8-3,8,3,4-0,4,0,17-1,17,1
35,North Carolina State,ACC,14-15,14,15,36-21,36,21,35,19-5,19,5,54,190,22-10,22,10,11-10,11,10,3-1,3,1,13-15,13,15,7-2,7,2,6-4,6,4,10-0,10,0
36,Louisiana Tech,Conference USA,20-10,20,10,43-21,43,21,59,18-8,18,8,64,106,24-8,24,8,14-11,14,11,5-2,5,2,11-7,11,7,7-9,7,9,4-1,4,1,21-4,21,4
37,Wofford,Southern,16-4-1,16,4,42-16-1,42,16,104,24-10,24,10,45,107,25-4-1,25,4,15-7,15,7,2-5,2,5,2-4-0,2,4,12-6-0,12,6,7-2-0,7,2,21-4-1,21,4
38,Columbia,Ivy League,17-4,17,4,32-18,32,18,84,11-11,11,11,44,30,15-2,15,2,15-16,15,16,2-0,2,0,2-2,2,2,7-9,7,9,7-2,7,2,16-5,16,5
39,Clemson,ACC,13-16,13,16,35-23,35,23,20,22-5,22,5,26,100,26-8,26,8,6-12,6,12,3-3,3,3,13-18,13,18,4-4,4,4,11-1,11,1,7-0,7,0
40,UTSA,Conference USA,19-11,19,11,38-20,38,20,68,16-8,16,8,71,185,21-6,21,6,16-13,16,13,1-1,1,1,9-10,9,10,9-5,9,5,1-1,1,1,19-4,19,4
41,Liberty,ASUN,19-11,19,11,37-23,37,23,44,14-9,14,9,34,14,20-8,20,8,14-12,14,12,3-3,3,3,3-8,3,8,11-8,11,8,10-6,10,6,13-1,13,1
42,Texas Tech,Big 12,15-9,15,9,39-22,39,22,55,21-9,21,9,53,134,21-5,21,5,14-9,14,9,4-8,4,8,11-13,11,13,9-5,9,5,2-1,2,1,17-3,17,3
43,Rutgers,Big Ten,17-7,17,7,44-15,44,15,150,24-7,24,7,51,241,19-5,19,5,22-9,22,9,3-1,3,1,1-3,1,3,7-5,7,5,14-3,14,3,22-4,22,4
44,Arizona,Pac-12,16-14,16,14,39-25,39,25,33,19-7,19,7,32,57,20-11,20,11,13-10,13,10,6-4,6,4,9-10,9,10,14-8,14,8,5-6,5,6,10-1,10,1
45,Alabama,SEC,12-17,12,17,31-27,31,27,2,17-8,17,8,58,79,22-11,22,11,7-14,7,14,2-2,2,2,13-18,13,18,6-5,6,5,3-2,3,2,9-2,9,2
46,Old Dominion,Conference USA,19-11,19,11,41-17,41,17,73,19-4,19,4,55,200,22-11,22,11,16-4,16,4,3-2,3,2,8-7,8,7,11-8,11,8,3-0,3,0,19-2,19,2
47,Kentucky,SEC,12-18,12,18,33-26,33,26,13,18-6,18,6,80,202,23-11,23,11,7-13,7,13,3-2,3,2,15-18,15,18,3-4,3,4,1-3,1,3,14-1,14,1
48,UC Santa Barbara,Big West,27-3,27,3,44-14,44,14,160,16-9,16,9,56,91,21-5,21,5,20-8,20,8,3-1,3,1,2-4,2,4,10-4,10,4,6-4,6,4,26-2,26,2
49,West Virginia,Big 12,14-10,14,10,32-22,32,22,48,18-10,18,10,61,103,16-6,16,6,12-12,12,12,4-4,4,4,6-11,6,11,13-6,13,6,2-3,2,3,11-2,11,2
50,San Diego,West Coast,17-10,17,10,37-20,37,20,62,15-8,15,8,36,21,18-9,18,9,14-10,14,10,5-1,5,1,8-7,8,7,5-4,5,4,8-5,8,5,16-4,16,4
51,UCLA,Pac-12,19-11,19,11,40-24,40,24,52,16-9,16,9,96,140,22-9,22,9,11-11,11,11,7-4,7,4,14-7,14,7,9-9,9,9,11-6,11,6,6-2,6,2
52,VCU,Atlantic 10,19-5,19,5,42-20,42,20,95,17-13,17,13,83,76,20-8,20,8,16-11,16,11,6-1,6,1,6-11,6,11,3-3,3,3,1-0,1,0,32-6,32,6
53,Kennesaw State,ASUN,19-11,19,11,36-28,36,28,34,13-13,13,13,62,11,18-9,18,9,15-16,15,16,3-3,3,3,6-12,6,12,6-9,6,9,15-4,15,4,9-3,9,3
54,Louisiana,Sun Belt,19-11,19,11,37-23,37,23,56,14-10,14,10,43,13,19-8,19,8,14-11,14,11,4-4,4,4,7-12,7,12,10-6,10,6,4-2,4,2,16-3,16,3
55,Grand Canyon,Western Athletic,25-5,25,5,41-21,41,21,82,14-12,14,12,59,16,17-10,17,10,21-6,21,6,3-5,3,5,7-6,7,6,3-6,3,6,7-2,7,2,24-7,24,7
56,Penn,Ivy League,17-4,17,4,33-15,33,15,137,15-9,15,9,49,83,17-5,17,5,16-10,16,10,0-0,0,0,6-8,6,8,2-0,2,0,4-2,4,2,21-5,21,5
57,Michigan,Big Ten,12-12,12,12,34-28,34,28,36,16-13,16,13,74,66,14-9,14,9,11-15,11,15,9-4,9,4,8-13,8,13,5-6,5,6,5-6,5,6,16-3,16,3
58,Missouri,SEC,10-20,10,20,28-23,28,23,31,18-3,18,3,33,232,17-8,17,8,9-15,9,15,2-0,2,0,6-19,6,19,5-2,5,2,4-1,4,1,13-1,13,1
59,Campbell,Big South,20-3,20,3,41-19,41,19,115,16-13,16,13,50,8,17-9,17,9,17-7,17,7,7-3,7,3,6-10,6,10,4-3,4,3,10-2,10,2,21-4,21,4
60,Mercer,Southern,12-9,12,9,40-18,40,18,143,27-7,27,7,35,184,24-5,24,5,15-11,15,11,1-2,1,2,3-5,3,5,5-1,5,1,10-6,10,6,22-6,22,6
61,Iowa,Big Ten,17-7,17,7,35-18,35,18,107,15-9,15,9,86,155,15-6,15,6,12-7,12,7,8-5,8,5,3-3,3,3,10-7,10,7,8-4,8,4,14-4,14,4
62,Xavier,Big East,13-8,13,8,33-27,33,27,69,18-17,18,17,65,58,12-4,12,4,19-17,19,17,2-6,2,6,2-13,2,13,5-3,5,3,13-5,13,5,13-6,13,6
63,Belmont,Ohio Valley,18-6,18,6,39-20,39,20,111,19-13,19,13,81,82,21-10,21,10,16-8,16,8,2-2,2,2,1-5,1,5,5-6,5,6,13-3,13,3,20-6,20,6
64,Central Michigan,Mid-American,30-7,30,7,42-19,42,19,183,7-9,7,9,98,90,18-2,18,2,21-13,21,13,3-4,3,4,1-6,1,6,3-7,3,7,4-0,4,0,34-6,34,6
65,Southern Illinois,Missouri Valley,16-5,16,5,44-16,44,16,196,24-9,24,9,118,272,23-7,23,7,18-9,18,9,3-0,3,0,3-1,3,1,11-4,11,4,8-0,8,0,22-11,22,11
66,Middle Tennessee,Conference USA,17-13,17,13,29-26,29,26,53,12-11,12,11,47,29,9-10,9,10,16-12,16,12,4-4,4,4,6-11,6,11,8-10,8,10,3-1,3,1,12-4,12,4
67,Charleston,Colonial Athletic,19-5,19,5,37-20,37,20,120,17-13,17,13,119,142,25-5,25,5,11-13,11,13,1-2,1,2,4-5,4,5,5-4,5,4,12-4,12,4,16-7,16,7
68,Southeast Missouri,Ohio Valley,16-8,16,8,37-22,37,22,133,18-11,18,11,70,150,23-2,23,2,11-18,11,18,3-2,3,2,3-6,3,6,5-6,5,6,7-7,7,7,22-3,22,3
69,South Carolina,SEC,13-17,13,17,27-28,27,28,11,14-10,14,10,132,113,21-12,21,12,4-14,4,14,2-2,2,2,15-20,15,20,3-5,3,5,1-1,1,1,8-2,8,2
70,Pittsburgh,ACC,13-16,13,16,29-27,29,27,38,14-10,14,10,139,216,12-9,12,9,10-11,10,11,7-7,7,7,12-17,12,17,1-0,1,0,7-3,7,3,9-7,9,7
71,Davidson,Atlantic 10,20-4,20,4,43-13,43,13,215,22-7,22,7,90,242,28-6,28,6,13-5,13,5,2-2,2,2,2-2,2,2,6-3,6,3,3-2,3,2,32-6,32,6
72,Ball State,Mid-American,32-7,32,7,40-19,40,19,164,6-10,6,10,91,39,18-6,18,6,20-10,20,10,2-3,2,3,1-5,1,5,5-6,5,6,3-2,3,2,31-6,31,6
73,South Alabama,Sun Belt,17-13,17,13,31-23,31,23,71,14-9,14,9,63,61,21-6,21,6,10-15,10,15,0-2,0,2,3-11,3,11,7-8,7,8,4-3,4,3,17-1,17,1
74,Washington State,Pac-12,12-18,12,18,26-26,26,26,51,14-8,14,8,52,123,12-7,12,7,10-16,10,16,4-3,4,3,7-8,7,8,2-9,2,9,11-9,11,9,6-0,6,0
75,Charlotte,Conference USA,17-13,17,13,36-22,36,22,90,18-7,18,7,99,212,24-10,24,10,10-9,10,9,2-3,2,3,6-15,6,15,10-3,10,3,2-2,2,2,18-2,18,2
76,Illinois,Big Ten,17-7,17,7,30-22,30,22,110,13-13,13,13,151,188,15-4,15,4,12-10,12,10,3-8,3,8,2-4,2,4,4-6,4,6,8-5,8,5,16-7,16,7
77,Houston,American Athletic,13-11,13,11,37-24,37,24,105,21-11,21,11,75,115,22-10,22,10,11-9,11,9,4-5,4,5,3-6,3,6,5-7,5,7,12-6,12,6,17-5,17,5
78,California,Pac-12,14-16,14,16,29-27,29,27,49,14-9,14,9,117,162,16-13,16,13,9-11,9,11,4-3,4,3,5-13,5,13,8-6,8,6,6-4,6,4,10-4,10,4
79,FGCU,ASUN,17-13,17,13,35-23,35,23,98,17-8,17,8,79,156,22-13,22,13,13-10,13,10,0-0,0,0,2-9,2,9,6-4,6,4,15-6,15,6,12-4,12,4
80,Evansville,Missouri Valley,14-6,14,6,32-24,32,24,106,16-16,16,16,140,158,17-9,17,9,13-14,13,14,2-1,2,1,2-7,2,7,7-6,7,6,7-4,7,4,16-7,16,7
81,Baylor,Big 12,7-17,7,17,26-28,26,28,22,19-9,19,9,42,31,20-12,20,12,4-13,4,13,2-3,2,3,8-23,8,23,2-2,2,2,7-2,7,2,9-1,9,1
82,UCF,American Athletic,14-10,14,10,35-25,35,25,94,18-13,18,13,104,108,18-14,18,14,14-9,14,9,3-2,3,2,4-8,4,8,7-6,7,6,8-5,8,5,16-6,16,6
83,Nevada,Mountain West,18-12,18,12,29-26,29,26,97,10-12,10,12,57,12,14-7,14,7,14-17,14,17,1-2,1,2,2-7,2,7,7-5,7,5,3-2,3,2,17-12,17,12
84,William & Mary,Colonial Athletic,14-10,14,10,26-23,26,23,86,12-11,12,11,76,63,15-7,15,7,11-15,11,15,0-1,0,1,1-6,1,6,3-7,3,7,7-9,7,9,15-1,15,1
85,FAU,Conference USA,19-11,19,11,35-23,35,23,116,15-10,15,10,176,238,23-11,23,11,10-11,10,11,2-1,2,1,6-11,6,11,6-8,6,8,0-1,0,1,23-3,23,3
86,Tulane,American Athletic,11-13,11,13,33-26-1,33,26,77,20-11-1,20,11,67,80,20-12-1,20,12,11-12,11,12,2-2,2,2,4-6-0,4,6,3-8-0,3,8,8-8-0,8,8,18-4-1,18,4
87,UC Irvine,Big West,16-14,16,14,32-24,32,24,118,16-10,16,10,22,10,19-9,19,9,13-15,13,15,0-0,0,0,3-5,3,5,10-10,10,10,5-3,5,3,14-6,14,6
88,Creighton,Big East,15-5,15,5,31-18,31,18,187,15-11,15,11,169,266,17-4,17,4,12-12,12,12,2-2,2,2,0-6,0,6,3-7,3,7,5-1,5,1,23-4,23,4
89,UAB,Conference USA,13-17,13,17,30-25,30,25,89,17-6,17,6,37,105,17-11,17,11,13-13,13,13,0-1,0,1,6-8,6,8,6-8,6,8,3-2,3,2,15-7,15,7
90,UNCW,Colonial Athletic,15-9,15,9,31-24,31,24,79,16-13,16,13,103,60,22-11,22,11,9-12,9,12,0-1,0,1,2-7,2,7,7-7,7,7,12-9,12,9,10-1,10,1
91,Portland,West Coast,17-10,17,10,32-23,32,23,139,14-11,14,11,106,186,17-7,17,7,14-13,14,13,1-3,1,3,3-9,3,9,6-2,6,2,6-3,6,3,17-9,17,9
92,Washington,Pac-12,14-16,14,16,30-26,30,26,83,16-8,16,8,134,269,18-10,18,10,12-14,12,14,0-2,0,2,2-12,2,12,10-5,10,5,8-6,8,6,10-3,10,3
93,Air Force,Mountain West,15-15,15,15,32-29,32,29,102,12-12,12,12,78,56,13-8,13,8,11-17,11,17,8-4,8,4,3-5,3,5,4-6,4,6,6-5,6,5,19-13,19,13
94,UNCG,Southern,12-9,12,9,34-30,34,30,76,16-18,16,18,161,130,16-14,16,14,12-13,12,13,6-3,6,3,3-10,3,10,6-9,6,9,7-6,7,6,18-5,18,5
95,Missouri State,Missouri Valley,8-13,8,13,31-29,31,29,70,17-13,17,13,77,69,17-13,17,13,12-14,12,14,2-2,2,2,1-6,1,6,10-13,10,13,5-6,5,6,15-4,15,4
96,Cal State Northridge,Big West,17-13,17,13,32-22,32,22,179,15-9,15,9,46,120,14-7,14,7,18-15,18,15,0-0,0,0,1-5,1,5,4-7,4,7,3-6,3,6,24-4,24,4
97,Georgia State,Sun Belt,15-15,15,15,29-27,29,27,72,14-11,14,11,92,84,18-11,18,11,11-14,11,14,0-2,0,2,6-12,6,12,4-10,4,10,2-1,2,1,17-4,17,4
98,Kansas State,Big 12,8-16,8,16,29-29,29,29,60,19-11,19,11,102,199,21-7,21,7,6-17,6,17,2-5,2,5,6-19,6,19,5-4,5,4,2-0,2,0,16-6,16,6
99,Cal Poly,Big West,22-8,22,8,37-21,37,21,172,15-13,15,13,143,126,21-11,21,11,14-9,14,9,2-1,2,1,0-4,0,4,9-6,9,6,10-7,10,7,18-4,18,4
100,Troy,Sun Belt,15-15,15,15,32-24,32,24,130,16-8,16,8,68,127,19-10,19,10,12-13,12,13,1-1,1,1,2-10,2,10,9-4,9,4,7-4,7,4,14-6,14,6
101,BYU,West Coast,16-11,16,11,33-21,33,21,177,17-9,17,9,97,234,15-7,15,7,15-9,15,9,3-5,3,5,3-6,3,6,2-2,2,2,11-3,11,3,17-10,17,10
102,Arizona State,Pac-12,13-17,13,17,26-32,26,32,32,12-13,12,13,162,95,19-13,19,13,6-16,6,16,1-3,1,3,5-13,5,13,7-12,7,12,7-5,7,5,7-2,7,2
103,Duke,ACC,10-20,10,20,22-32,22,32,17,12-12,12,12,179,141,17-16,17,16,5-16,5,16,0-0,0,0,10-22,10,22,3-7,3,7,1-0,1,0,8-3,8,3
104,Oral Roberts,The Summit League,17-7,17,7,38-20,38,20,209,18-11,18,11,73,98,21-9,21,9,17-8,17,8,0-3,0,3,3-9,3,9,4-0,4,0,3-4,3,4,28-7,28,7
105,Indiana,Big Ten,10-14,10,14,27-32,27,32,57,15-16,15,16,105,74,15-9,15,9,8-19,8,19,4-4,4,4,2-11,2,11,11-14,11,14,4-2,4,2,10-5,10,5
106,Mississippi State,SEC,9-21,9,21,26-30,26,30,41,17-9,17,9,174,275,18-14,18,14,7-12,7,12,1-4,1,4,9-22,9,22,3-4,3,4,1-3,1,3,13-1,13,1
107,Bryant,Northeast,17-10,17,10,30-27,30,27,136,10-15,10,15,121,92,15-5,15,5,12-20,12,20,3-2,3,2,3-5,3,5,0-3,0,3,5-7,5,7,22-12,22,12
108,Southeastern Louisiana,Southland,14-10,14,10,30-31,30,31,63,10-17,10,17,135,7,21-12,21,12,9-18,9,18,0-1,0,1,3-7,3,7,3-7,3,7,9-5,9,5,15-12,15,12
109,Indiana State,Missouri Valley,10-10-1,10,10,26-22-1,26,22,119,15-10,15,10,89,143,13-7-1,13,7,6-10,6,10,7-5,7,5,2-3-1,2,3,6-10-0,6,10,3-5-0,3,5,15-4-0,15,4
110,Utah,Pac-12,10-20,10,20,26-27-1,26,27,96,16-7-1,16,7,107,264,12-12,12,12,13-15-1,13,15,1-0,1,0,3-9-0,3,9,6-9-0,6,9,5-5-0,5,5,12-4-1,12,4
111,UNLV,Mountain West,21-9,21,9,36-22,36,22,189,15-11,15,11,165,205,18-12,18,12,15-6,15,6,3-4,3,4,2-0,2,0,6-8,6,8,5-4,5,4,23-10,23,10
112,James Madison,Colonial Athletic,12-11,12,11,27-26,27,26,127,15-15,15,15,137,175,17-7,17,7,10-19,10,19,0-0,0,0,1-8,1,8,4-5,4,5,4-5,4,5,18-8,18,8
113,USC,Pac-12,8-22,8,22,25-28,25,28,58,17-6,17,6,69,159,18-15,18,15,7-13,7,13,0-0,0,0,5-10,5,10,6-8,6,8,3-8,3,8,11-2,11,2
114,Hawaii,Big West,19-11,19,11,28-24,28,24,123,9-13,9,13,130,17,13-14,13,14,12-8,12,8,3-2,3,2,3-8,3,8,6-7,6,7,4-5,4,5,15-4,15,4
115,Eastern Kentucky,ASUN,20-10,20,10,37-20,37,20,248,14-9,14,9,100,191,21-6,21,6,13-13,13,13,3-1,3,1,1-3,1,3,1-3,1,3,4-6,4,6,31-8,31,8
116,Sam Houston State,Western Athletic,21-9,21,9,31-25,31,25,145,10-14,10,14,183,85,19-10,19,10,11-12,11,12,1-3,1,3,2-6,2,6,1-4,1,4,5-7,5,7,23-8,23,8
117,South Carolina Upstate,Big South,17-6-1,17,6,35-22-1,35,22,205,17-14,17,14,128,122,22-8-1,22,8,12-11,12,11,1-3,1,3,0-5-0,0,5,3-8-0,3,8,5-2-0,5,2,27-7-1,27,7
118,Northeastern,Colonial Athletic,10-14,10,14,31-29-1,31,29,147,18-13-1,18,13,114,215,11-8-1,11,8,14-14,14,14,6-7,6,7,5-3-0,5,3,4-8-0,4,8,8-10-0,8,10,14-8-1,14,8
119,California Baptist,Western Athletic,18-12,18,12,36-20,36,20,238,18-8,18,8,101,250,23-8,23,8,13-12,13,12,0-0,0,0,0-3,0,3,2-8,2,8,5-2,5,2,29-7,29,7
120,Hofstra,Colonial Athletic,15-9,15,9,30-23,30,23,180,11-12,11,12,228,273,14-9,14,9,13-13,13,13,3-1,3,1,0-3,0,3,6-4,6,4,11-6,11,6,13-10,13,10
121,Appalachian State,Sun Belt,10-20,10,20,20-33,20,33,46,9-12,9,12,82,19,8-14,8,14,11-17,11,17,1-2,1,2,1-12,1,12,10-16,10,16,0-1,0,1,9-4,9,4
122,Samford,Southern,12-9,12,9,28-29,28,29,92,14-18,14,18,177,139,16-13,16,13,9-13,9,13,3-3,3,3,3-8,3,8,7-9,7,9,6-1,6,1,12-11,12,11
123,Ohio,Mid-American,21-15,21,15,29-24,29,24,185,8-7,8,7,60,73,16-5,16,5,12-18,12,18,1-1,1,1,1-0,1,0,3-8,3,8,2-4,2,4,23-12,23,12
124,Lamar,Western Athletic,20-10,20,10,37-21,37,21,241,16-9,16,9,145,276,19-8,19,8,16-11,16,11,2-2,2,2,1-1,1,1,1-3,1,3,6-6,6,6,29-11,29,11
125,Jacksonville,ASUN,13-16,13,16,27-28,27,28,101,14-9,14,9,112,179,17-11,17,11,10-14,10,14,0-3,0,3,4-7,4,7,7-10,7,10,3-4,3,4,13-7,13,7
126,Yale,Ivy League,10-11,10,11,20-18,20,18,162,10-7,10,7,39,70,10-6,10,6,10-12,10,12,0-0,0,0,1-6,1,6,3-4,3,4,4-3,4,3,12-5,12,5
127,Tennessee Tech,Ohio Valley,11-13,11,13,30-27,30,27,144,16-12,16,12,125,193,14-10,14,10,10-14,10,14,6-3,6,3,1-3,1,3,5-7,5,7,6-9,6,9,18-8,18,8
128,Ohio State,Big Ten,8-14,8,14,21-30,21,30,54,13-16,13,16,109,52,10-12,10,12,7-15,7,15,4-3,4,3,1-10,1,10,2-9,2,9,7-5,7,5,11-6,11,6
129,North Dakota State,The Summit League,17-5,17,5,30-19,30,19,276,12-12,12,12,72,104,5-1,5,1,19-15,19,15,6-3,6,3,0-3,0,3,1-1,1,1,6-3,6,3,23-12,23,12
130,Santa Clara,West Coast,11-16,11,16,24-29,24,29,81,13-13,13,13,87,51,16-9,16,9,8-20,8,20,0-0,0,0,2-12,2,12,3-4,3,4,3-7,3,7,16-6,16,6
131,Long Island,Northeast,18-9,18,9,37-21,37,21,255,16-9,16,9,115,249,14-5,14,5,16-9,16,9,7-7,7,7,0-2,0,2,1-3,1,3,10-7,10,7,26-9,26,9
132,Cincinnati,American Athletic,12-12,12,12,24-31,24,31,65,11-17,11,17,203,128,14-12,14,12,9-15,9,15,1-4,1,4,1-8,1,8,9-10,9,10,5-4,5,4,9-9,9,9
133,Long Beach State,Big West,17-13,17,13,29-27,29,27,126,12-14,12,14,110,33,18-13,18,13,11-14,11,14,0-0,0,0,3-7,3,7,5-6,5,6,9-4,9,4,12-10,12,10
134,East Tennessee State,Southern,11-10,11,10,30-21,30,21,203,19-10,19,10,155,271,22-6,22,6,8-14,8,14,0-1,0,1,0-5,0,5,2-7,2,7,2-4,2,4,26-5,26,5
