Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
88,Pittsburgh,ACC,10-20,10,20,26-29,26,29,38,16-7,16,7,87,221,12-12,12,12,8-13,8,13,6-4,6,4,5-15,5,15,6-9,6,9,5-3,5,3,10-2,10,2
89,Boston College,ACC,8-22,8,22,22-31,22,31,22,14-9,14,9,71,97,7-18,7,18,12-12,12,12,3-1,3,1,8-13,8,13,6-9,6,9,4-8,4,8,4-1,4,1
90,UIC,Missouri Valley,16-11,16,11,34-20,34,20,160,16-7,16,7,100,235,17-6,17,6,12-9,12,9,5-5,5,5,1-6,1,6,4-4,4,4,8-5,8,5,21-5,21,5
91,Purdue,Big Ten,13-11,13,11,32-24,32,24,85,19-11,19,11,83,118,15-13,15,13,9-7,9,7,8-4,8,4,0-4,0,4,6-9,6,9,12-8,12,8,14-3,14,3
92,Samford,Southern,14-7,14,7,36-22,36,22,124,20-13,20,13,153,236,24-10,24,10,10-10,10,10,2-2,2,2,1-6,1,6,7-10,7,10,7-2,7,2,21-4,21,4
93,Grand Canyon,Western Athletic,23-7,23,7,36-25,36,25,125,11-14,11,14,84,11,17-10,17,10,16-11,16,11,3-4,3,4,3-3,3,3,5-11,5,11,10-5,10,5,18-6,18,6
94,Cal State Northridge,Big West,16-14,16,14,30-24,30,24,105,14-10,14,10,82,146,15-10,15,10,15-14,15,14,0-0,0,0,2-10,2,10,2-6,2,6,5-1,5,1,21-7,21,7
95,South Carolina Upstate,Big South,16-8,16,8,36-24,36,24,128,18-14,18,14,74,41,22-9,22,9,12-12,12,12,2-3,2,3,1-9,1,9,2-2,2,2,8-6,8,6,25-7,25,7
96,Wichita State,American Athletic,15-12,15,12,32-29,32,29,79,14-15,14,15,127,72,19-10,19,10,9-15,9,15,4-4,4,4,2-12,2,12,3-5,3,5,9-9,9,9,18-3,18,3
97,Stetson,ASUN,20-10,20,10,41-22,41,22,175,17-9,17,9,88,139,26-9,26,9,11-11,11,11,4-2,4,2,3-6,3,6,3-2,3,2,7-5,7,5,28-9,28,9
98,Saint Louis,Atlantic 10,16-8,16,8,37-16,37,16,243,21-6,21,6,96,290,22-4,22,4,9-10,9,10,6-2,6,2,0-0,0,0,0-1,0,1,8-12,8,12,29-3,29,3
