Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
134,Illinois State,Missouri Valley,16-11,16,11,30-27,30,27,188,12-14,12,14,212,286,12-7,12,7,15-16,15,16,3-4,3,4,2-9,2,9,3-6,3,6,5-5,5,5,20-7,20,7
135,Missouri State,Missouri Valley,11-16,11,16,23-34,23,34,93,12-16,12,16,97,64,8-11,8,11,15-21,15,21,0-2,0,2,3-13,3,13,0-4,0,4,8-8,8,8,12-9,12,9
136,Rider,MAAC,18-6,18,6,28-23,28,23,238,9-15,9,15,99,59,12-2,12,2,15-18,15,18,1-3,1,3,1-10,1,10,0-4,0,4,3-2,3,2,24-7,24,7
137,UC San Diego,Big West,17-13,17,13,30-23,30,23,176,13-10,13,10,247,292,22-10,22,10,8-13,8,13,0-0,0,0,2-7,2,7,2-4,2,4,3-8,3,8,23-4,23,4
138,New Mexico State,Conference USA,10-14,10,14,25-29,25,29,107,15-13,15,13,130,186,15-11,15,11,10-16,10,16,0-2,0,2,2-9,2,9,3-8,3,8,8-5,8,5,12-7,12,7
139,Baylor,Big 12,10-20,10,20,22-31,22,31,46,12-11,12,11,149,95,17-16,17,16,5-12,5,12,0-3,0,3,1-12,1,12,1-9,1,9,11-7,11,7,9-3,9,3
140,Saint Joseph's,Atlantic 10,13-11,13,11,29-26,29,26,184,13-13,13,13,152,198,17-7,17,7,9-17,9,17,3-2,3,2,0-3,0,3,0-2,0,2,12-14,12,14,17-7,17,7
141,Wright State,Horizon League,20-10,20,10,32-24,32,24,246,11-12,11,12,91,119,14-6,14,6,17-15,17,15,1-3,1,3,2-6,2,6,1-2,1,2,7-5,7,5,22-11,22,11
142,Charlotte,American Athletic,12-15,12,15,24-34,24,34,57,11-17,11,17,139,16,18-14,18,14,5-16,5,16,1-4,1,4,1-5,1,5,7-13,7,13,5-11,5,11,11-5,11,5
143,Little Rock,Ohio Valley,19-8,19,8,32-24,32,24,224,13-14,13,14,162,180,17-9,17,9,15-13,15,13,0-2,0,2,0-3,0,3,0-3,0,3,5-3,5,3,27-15,27,15
144,Northern Kentucky,Horizon League,19-11,19,11,33-24,33,24,258,11-11,11,11,105,170,16-5,16,5,14-18,14,18,3-1,3,1,0-7,0,7,2-3,2,3,4-3,4,3,27-11,27,11
145,Sacred Heart,Northeast,25-8,25,8,35-23,35,23,270,8-13,8,13,160,163,18-4,18,4,15-17,15,17,2-2,2,2,0-1,0,1,0-5,0,5,6-6,6,6,29-11,29,11
146,South Florida,American Athletic,11-16,11,16,26-29,26,29,102,15-13,15,13,108,101,18-15,18,15,8-14,8,14,0-0,0,0,2-7,2,7,2-6,2,6,7-6,7,6,15-10,15,10
147,Southeastern Louisiana,Southland,10-14,10,14,28-28,28,28,136,16-12,16,12,119,157,16-13,16,13,9-12,9,12,3-3,3,3,1-4,1,4,2-10,2,10,12-7,12,7,13-7,13,7
148,VMI,Southern,7-14,7,14,25-29,25,29,139,18-14,18,14,141,239,14-8,14,8,10-19,10,19,1-2,1,2,0-7,0,7,5-8,5,8,6-7,6,7,14-7,14,7
149,Northwestern,Big Ten,4-20,4,20,18-34,18,34,67,14-14,14,14,78,102,8-11,8,11,10-23,10,23,0-0,0,0,0-6,0,6,7-21,7,21,5-4,5,4,6-3,6,3
150,Tarleton State,Western Athletic,17-13,17,13,32-29,32,29,199,10-15,10,15,203,191,14-10,14,10,13-18,13,18,5-1,5,1,0-2,0,2,1-6,1,6,12-9,12,9,19-12,19,12
151,Hofstra,Coastal Athletic,13-14,13,14,24-33,24,33,115,10-17,10,17,157,142,13-8,13,8,10-23,10,23,1-2,1,2,2-9,2,9,1-3,1,3,9-14,9,14,12-7,12,7
152,Rhode Island,Atlantic 10,11-13,11,13,19-28,19,28,103,8-15,8,15,143,69,10-8,10,8,9-20,9,20,0-0,0,0,0-4,0,4,2-8,2,8,7-8,7,8,10-8,10,8
153,Abilene Christian,Western Athletic,18-12,18,12,33-25,33,25,214,14-11,14,11,132,178,19-11,19,11,13-11,13,11,1-3,1,3,0-4,0,4,3-2,3,2,6-8,6,8,24-11,24,11
154,Austin Peay,ASUN,20-10,20,10,35-21,35,21,271,15-9,15,9,163,294,20-7,20,7,15-12,15,12,0-2,0,2,3-4,3,4,3-3,3,3,9-8,9,8,20-6,20,6
155,Southern Illinois,Missouri Valley,12-15,12,15,33-27,33,27,203,19-10,19,10,185,297,20-10,20,10,11-15,11,15,2-2,2,2,3-5,3,5,0-4,0,4,9-14,9,14,21-4,21,4
156,Holy Cross,Patriot League,14-11,14,11,26-27,26,27,229,11-14,11,14,198,278,11-3,11,3,14-24,14,24,1-0,1,0,1-2,1,2,1-3,1,3,7-11,7,11,17-11,17,11
157,Stanford,Pac-12,11-19,11,19,22-33,22,33,74,9-13,9,13,242,190,13-16,13,16,7-16,7,16,2-1,2,1,2-8,2,8,3-6,3,6,11-15,11,15,6-4,6,4
158,Santa Clara,West Coast,12-12,12,12,26-26,26,26,174,14-13,14,13,114,141,17-8,17,8,9-16,9,16,0-2,0,2,0-3,0,3,1-5,1,5,4-11,4,11,21-7,21,7
159,Stony Brook,Coastal Athletic,12-15,12,15,24-28,24,28,147,12-13,12,13,158,204,14-8,14,8,8-16,8,16,2-4,2,4,1-5,1,5,3-6,3,6,5-11,5,11,15-6,15,6
160,Washington,Pac-12,10-20,10,20,19-31-1,19,31,83,9-9-1,9,9,136,174,12-10,12,10,6-18-1,6,18,1-3,1,3,2-6-0,2,6,6-15-0,6,15,2-3-1,2,3,9-7-0,9,7
161,FAU,American Athletic,12-15,12,15,28-29,28,29,155,14-12,14,12,187,222,19-12,19,12,7-15,7,15,2-2,2,2,2-6,2,6,1-5,1,5,10-11,10,11,15-7,15,7
162,Fairfield,MAAC,20-4,20,4,34-24,34,24,260,12-18,12,18,197,161,20-8,20,8,12-14,12,14,2-2,2,2,1-3,1,3,2-4,2,4,4-7,4,7,27-10,27,10
163,Rice,American Athletic,11-16,11,16,23-36,23,36,78,11-18,11,18,168,57,14-18,14,18,8-16,8,16,1-2,1,2,2-8,2,8,2-9,2,9,6-8,6,8,13-11,13,11
164,George Washington,Atlantic 10,13-11,13,11,31-26,31,26,207,17-13,17,13,200,265,21-10,21,10,9-14,9,14,1-2,1,2,0-3,0,3,2-4,2,4,7-12,7,12,22-7,22,7
165,Kent State,Mid-American,17-13,17,13,26-26,26,26,210,9-11,9,11,95,94,13-7,13,7,13-17,13,17,0-2,0,2,1-7,1,7,1-2,1,2,7-6,7,6,17-11,17,11
166,North Carolina A&T,Coastal Athletic,9-17,9,17,25-28,25,28,166,16-11,16,11,181,285,14-11,14,11,9-16,9,16,2-1,2,1,2-4,2,4,4-7,4,7,4-9,4,9,15-8,15,8
167,Morehead State,Ohio Valley,17-10,17,10,37-24,37,24,278,16-12,16,12,215,300,19-7,19,7,14-15,14,15,4-2,4,2,0-4,0,4,2-3,2,3,7-5,7,5,28-12,28,12
168,Utah Valley,Western Athletic,18-12,18,12,25-29,25,29,189,6-15,6,15,182,92,10-10,10,10,14-17,14,17,1-2,1,2,0-0,0,0,4-7,4,7,10-16,10,16,11-6,11,6
169,Belmont,Missouri Valley,12-15,12,15,26-32,26,32,133,13-15,13,15,170,167,14-15,14,15,11-13,11,13,1-4,1,4,2-10,2,10,3-0,3,0,5-11,5,11,16-11,16,11
170,San Jose State,Mountain West,16-14,16,14,24-33,24,33,144,6-17,6,17,234,112,12-9,12,9,10-22,10,22,2-2,2,2,0-4,0,4,3-5,3,5,8-11,8,11,13-13,13,13
171,Gonzaga,West Coast,14-10,14,10,21-32,21,32,130,5-20,5,20,268,135,11-7,11,7,8-23,8,23,2-2,2,2,1-10,1,10,1-6,1,6,5-10,5,10,14-6,14,6
172,ULM,Sun Belt,11-19,11,19,25-30,25,30,121,14-11,14,11,237,270,17-18,17,18,8-12,8,12,0-0,0,0,1-6,1,6,4-11,4,11,5-7,5,7,15-6,15,6
173,UMass,Atlantic 10,13-11,13,11,24-29,24,29,195,11-16,11,16,218,254,11-4,11,4,12-18,12,18,1-7,1,7,1-4,1,4,1-2,1,2,9-16,9,16,13-7,13,7
174,Penn,Ivy League,11-10,11,10,24-25,24,25,225,9-12,9,12,131,126,10-6,10,6,10-17,10,17,4-2,4,2,1-3,1,3,1-3,1,3,4-10,4,10,18-9,18,9
175,Navy,Patriot League,15-10,15,10,28-23,28,23,237,11-10,11,10,246,293,18-7,18,7,10-11,10,11,0-5,0,5,0-1,0,1,0-0,0,0,10-13,10,13,18-9,18,9
176,Fresno State,Mountain West,16-14,16,14,33-29,33,29,236,13-12,13,12,184,238,16-11,16,11,13-16,13,16,4-2,4,2,1-3,1,3,1-4,1,4,13-11,13,11,18-11,18,11
177,Seton Hall,Big East,7-14,7,14,24-30,24,30,154,17-16,17,16,176,230,9-17,9,17,13-12,13,12,2-1,2,1,1-2,1,2,7-8,7,8,8-8,8,8,8-12,8,12
178,Elon,Coastal Athletic,10-17,10,17,21-32,21,32,73,11-15,11,15,191,83,17-18,17,18,4-14,4,14,0-0,0,0,1-10,1,10,2-5,2,5,3-7,3,7,15-10,15,10
179,UMBC,America East,14-10,14,10,27-25,27,25,230,11-13,11,13,204,215,19-4,19,4,6-19,6,19,2-2,2,2,0-2,0,2,1-6,1,6,3-11,3,11,23-6,23,6
180,Miami (OH),Mid-American,17-13,17,13,27-27,27,27,196,9-12,9,12,128,78,14-13,14,13,11-12,11,12,2-2,2,2,0-6,0,6,1-0,1,0,10-10,10,10,16-11,16,11
181,UCLA,Pac-12,9-21,9,21,19-33,19,33,75,10-12,10,12,155,129,15-11,15,11,4-20,4,20,0-2,0,2,1-13,1,13,1-9,1,9,5-8,5,8,12-3,12,3
182,Princeton,Ivy League,12-9,12,9,18-26,18,26,162,5-15,5,15,125,13,7-8,7,8,10-16,10,16,1-2,1,2,1-5,1,5,2-5,2,5,3-5,3,5,12-11,12,11
183,UAB,American Athletic,13-14,13,14,26-29,26,29,180,13-13,13,13,238,262,16-12,16,12,10-15,10,15,0-2,0,2,1-4,1,4,1-3,1,3,11-16,11,16,13-6,13,6
184,Monmouth,Coastal Athletic,11-16,11,16,18-30,18,30,143,7-14,7,14,226,217,8-5,8,5,9-22,9,22,1-3,1,3,0-6,0,6,0-4,0,4,10-17,10,17,8-3,8,3
185,Bucknell,Patriot League,12-13,12,13,22-24,22,24,205,9-9,9,9,164,234,12-6,12,6,6-16,6,16,4-2,4,2,0-1,0,1,0-3,0,3,3-12,3,12,19-8,19,8
186,Long Beach State,Big West,10-20,10,20,25-29-1,25,29,172,15-9-1,15,9,154,279,18-11-1,18,11,7-18,7,18,0-0,0,0,0-6-0,0,6,3-9-0,3,9,4-7-0,4,7,18-7-1,18,7
187,UTA,Western Athletic,16-14,16,14,22-34,22,34,135,6-19,6,19,172,20,11-13,11,13,11-20,11,20,0-1,0,1,0-6,0,6,5-7,5,7,8-13,8,13,9-8,9,8
188,Nevada,Mountain West,16-14,16,14,25-26,25,26,241,9-12,9,12,221,274,12-8,12,8,13-18,13,18,0-0,0,0,1-1,1,1,2-4,2,4,5-12,5,12,17-9,17,9
189,Northwestern State,Southland,11-13,11,13,20-33,20,33,100,9-18,9,18,230,100,12-13,12,13,6-16,6,16,2-4,2,4,0-5,0,5,6-7,6,7,4-9,4,9,10-12,10,12
190,Marshall,Sun Belt,9-21,9,21,18-37,18,37,58,9-16,9,16,207,90,14-12,14,12,3-21,3,21,1-4,1,4,1-19,1,19,2-6,2,6,2-4,2,4,13-8,13,8
191,Long Island,Northeast,24-9,24,9,33-25,33,25,283,5-13,5,13,275,267,20-4,20,4,9-19,9,19,4-2,4,2,0-3,0,3,1-3,1,3,5-9,5,9,27-10,27,10
192,Presbyterian College,Big South,18-6,18,6,29-27,29,27,211,11-19,11,19,279,225,20-11,20,11,8-12,8,12,1-4,1,4,0-6,0,6,0-4,0,4,10-6,10,6,19-11,19,11
193,Incarnate Word,Southland,10-14,10,14,26-31,26,31,177,15-15,15,15,213,255,17-10,17,10,7-18,7,18,2-3,2,3,0-2,0,2,4-6,4,6,6-13,6,13,16-10,16,10
194,Washington State,Pac-12,9-21,9,21,21-32,21,32,129,12-11,12,11,208,269,11-14,11,14,8-17,8,17,2-1,2,1,2-10,2,10,2-0,2,0,8-16,8,16,9-6,9,6
195,Toledo,Mid-American,16-14,16,14,27-32,27,32,228,9-16,9,16,202,208,11-8,11,8,14-22,14,22,2-2,2,2,0-0,0,0,3-12,3,12,4-9,4,9,20-11,20,11
196,Charleston Southern,Big South,12-12,12,12,22-32,22,32,123,9-18,9,18,206,45,12-18,12,18,9-12,9,12,1-2,1,2,2-1,2,1,2-8,2,8,6-13,6,13,12-10,12,10
197,Butler,Big East,5-16,5,16,20-35,20,35,122,15-19,15,19,178,196,5-18,5,18,13-14,13,14,2-3,2,3,2-6,2,6,1-10,1,10,6-9,6,9,11-10,11,10
198,Fordham,Atlantic 10,10-14,10,14,19-33,19,33,112,9-19,9,19,223,115,11-11,11,11,7-19,7,19,1-3,1,3,0-6,0,6,0-2,0,2,11-16,11,16,8-9,8,9
199,UTRGV,Western Athletic,15-15,15,15,29-25,29,25,248,12-8,12,8,161,226,17-12,17,12,10-11,10,11,2-2,2,2,1-1,1,1,0-1,0,1,8-9,8,9,20-14,20,14
200,Oakland,Horizon League,18-12,18,12,29-27,29,27,281,11-13,11,13,173,253,12-5,12,5,17-20,17,20,0-2,0,2,0-0,0,0,2-5,2,5,3-10,3,10,24-12,24,12
201,Memphis,American Athletic,10-17,10,17,23-32,23,32,148,13-15,13,15,228,206,13-17,13,17,10-15,10,15,0-0,0,0,0-6,0,6,3-1,3,1,9-14,9,14,11-11,11,11
202,New Mexico,Mountain West,17-13,17,13,27-26,27,26,226,10-11,10,11,224,209,17-10,17,10,8-12,8,12,2-4,2,4,1-2,1,2,2-2,2,2,5-13,5,13,19-9,19,9
203,Jacksonville,ASUN,18-12,18,12,27-31,27,31,190,7-17,7,17,245,71,17-13,17,13,8-16,8,16,2-2,2,2,1-5,1,5,0-1,0,1,9-14,9,14,17-11,17,11
204,Jacksonville State,Conference USA,5-19,5,19,18-34,18,34,89,13-15,13,15,148,124,11-17,11,17,7-17,7,17,0-0,0,0,2-6,2,6,2-6,2,6,2-11,2,11,12-11,12,11
205,Saint Thomas,The Summit League,16-10,16,10,21-24,21,24,266,5-14,5,14,171,85,5-4,5,4,14-16,14,16,2-4,2,4,0-0,0,0,3-8,3,8,2-6,2,6,16-10,16,10
206,Central Arkansas,ASUN,12-18,12,18,26-30,26,30,194,11-11,11,11,133,127,13-14,13,14,9-14,9,14,4-2,4,2,1-3,1,3,0-6,0,6,4-6,4,6,21-15,21,15
207,UMass-Lowell,America East,11-12,11,12,24-31,24,31,227,12-17,12,17,129,145,8-9,8,9,15-20,15,20,1-2,1,2,0-3,0,3,6-8,6,8,3-7,3,7,15-13,15,13
208,Merrimack,Northeast,22-11,22,11,33-26,33,26,288,8-13,8,13,249,232,15-7,15,7,15-14,15,14,3-5,3,5,0-1,0,1,1-5,1,5,3-6,3,6,29-14,29,14
209,Florida A&M,SWAC,22-8,22,8,29-27,29,27,247,5-17,5,17,261,74,13-13,13,13,11-10,11,10,5-4,5,4,0-6,0,6,0-2,0,2,3-5,3,5,26-14,26,14
210,Northern Illinois,Mid-American,14-16,14,16,21-33,21,33,202,7-17,7,17,190,128,7-7,7,7,13-25,13,25,1-1,1,1,0-5,0,5,1-6,1,6,5-10,5,10,15-12,15,12
211,Villanova,Big East,8-13,8,13,18-33,18,33,173,10-20,10,20,264,283,5-9,5,9,13-23,13,23,0-1,0,1,3-10,3,10,0-0,0,0,8-18,8,18,7-5,7,5
212,Cornell,Ivy League,11-10,11,10,17-21,17,21,239,4-9,4,9,122,89,7-5,7,5,8-14,8,14,2-2,2,2,1-7,1,7,0-0,0,0,4-5,4,5,12-9,12,9
213,Southern Indiana,Ohio Valley,14-13,14,13,27-32,27,32,213,11-17,11,17,199,172,16-10,16,10,9-18,9,18,2-4,2,4,1-4,1,4,2-8,2,8,3-9,3,9,21-11,21,11
214,Longwood,Big South,10-14,10,14,23-29,23,29,220,13-15,13,15,183,219,13-9,13,9,10-20,10,20,0-0,0,0,0-6,0,6,3-7,3,7,6-7,6,7,14-9,14,9
215,Wagner,Northeast,21-12,21,12,26-30,26,30,244,4-16,4,16,241,40,14-8,14,8,11-20,11,20,1-2,1,2,0-10,0,10,0-1,0,1,1-6,1,6,25-13,25,13
216,Richmond,Atlantic 10,13-11,13,11,27-32,27,32,185,11-19,11,19,281,220,17-17,17,17,7-13,7,13,3-2,3,2,0-2,0,2,0-6,0,6,10-9,10,9,17-15,17,15
217,Sacramento State,Western Athletic,14-16,14,16,26-31,26,31,200,12-14,12,14,169,138,13-18,13,18,12-12,12,12,1-1,1,1,2-3,2,3,3-3,3,3,5-6,5,6,16-19,16,19
218,Arkansas State,Sun Belt,7-22-1,7,22,21-32-1,21,32,156,14-10,14,10,210,296,15-12-1,15,12,6-20,6,20,0-0,0,0,2-6-0,2,6,2-8-0,2,8,3-15-1,3,15,14-3-0,14,3
219,Loyola-Marymount,West Coast,9-15,9,15,24-30,24,30,193,15-15,15,15,177,201,17-11,17,11,6-18,6,18,1-1,1,1,1-6,1,6,1-3,1,3,8-10,8,10,14-11,14,11
220,Gardner-Webb,Big South,9-15,9,15,22-31,22,31,161,13-16,13,16,167,110,15-16,15,16,7-15,7,15,0-0,0,0,0-6,0,6,3-5,3,5,5-6,5,6,14-14,14,14
221,Texas A&M-Corpus Christi,Southland,10-14,10,14,21-35,21,35,142,11-19,11,19,251,185,9-19,9,19,10-13,10,13,2-3,2,3,1-3,1,3,1-4,1,4,10-13,10,13,9-15,9,15
222,Bethune-Cookman,SWAC,19-10,19,10,32-27,32,27,272,10-15,10,15,265,249,20-11,20,11,9-14,9,14,3-2,3,2,0-2,0,2,1-2,1,2,5-7,5,7,26-16,26,16
223,Saint Bonaventure,Atlantic 10,8-16,8,16,18-31,18,31,197,10-15,10,15,193,250,8-7,8,7,10-24,10,24,0-0,0,0,0-0,0,0,2-5,2,5,6-18,6,18,10-8,10,8
224,Lehigh,Patriot League,9-16,9,16,23-23-1,23,23,276,14-7-1,14,7,165,303,9-8,9,8,12-14-1,12,14,2-1,2,1,0-0-0,0,0,0-0-0,0,0,7-12-0,7,12,16-11-1,16,11
225,UNC Asheville,Big South,10-14,10,14,22-28,22,28,179,12-14,12,14,205,143,19-11,19,11,3-17,3,17,0-0,0,0,0-5,0,5,0-6,0,6,3-7,3,7,19-10,19,10
226,Middle Tennessee,Conference USA,8-16,8,16,20-36,20,36,137,12-18,12,18,259,243,11-18,11,18,9-16,9,16,0-2,0,2,2-8,2,8,1-4,1,4,4-7,4,7,13-17,13,17
227,NJIT,America East,12-11,12,11,26-28,26,28,280,12-15,12,15,243,295,13-5,13,5,11-21,11,21,2-2,2,2,0-0,0,0,0-4,0,4,6-8,6,8,20-16,20,16
228,Lipscomb,ASUN,15-15,15,15,22-34,22,34,187,6-17,6,17,229,53,12-14,12,14,9-18,9,18,1-2,1,2,1-6,1,6,1-11,1,11,4-2,4,2,16-15,16,15
229,Davidson,Atlantic 10,10-14,10,14,24-28,24,28,218,14-14,14,14,258,289,18-12,18,12,5-16,5,16,1-0,1,0,0-2,0,2,0-6,0,6,5-8,5,8,19-12,19,12
230,Texas Southern,SWAC,18-6,18,6,21-25,21,25,284,2-17,2,17,272,58,8-2,8,2,10-20,10,20,3-3,3,3,0-4,0,4,0-7,0,7,1-7,1,7,20-7,20,7
231,UNLV,Mountain West,12-18,12,18,26-26,26,26,268,14-8,14,8,194,298,16-11,16,11,10-14,10,14,0-1,0,1,0-0,0,0,0-3,0,3,6-12,6,12,20-11,20,11
232,The Citadel,Southern,3-18,3,18,21-32,21,32,149,18-13,18,13,227,266,16-18,16,18,5-13,5,13,0-1,0,1,0-9,0,9,2-3,2,3,4-12,4,12,15-8,15,8
233,Grambling State,SWAC,18-8,18,8,25-28,25,28,269,2-17,2,17,255,18,9-7,9,7,9-13,9,13,7-8,7,8,0-4,0,4,0-5,0,5,2-4,2,4,23-15,23,15
234,George Mason,Atlantic 10,7-17,7,17,21-32,21,32,168,14-15,14,15,236,233,17-10,17,10,3-17,3,17,1-5,1,5,1-3,1,3,0-5,0,5,4-15,4,15,16-9,16,9
235,San Diego State,Mountain West,10-20,10,20,17-37,17,37,109,7-17,7,17,174,25,13-14,13,14,4-23,4,23,0-0,0,0,0-5,0,5,1-8,1,8,4-15,4,15,12-9,12,9
236,Houston Christian,Southland,9-15,9,15,18-31,18,31,186,9-16,9,16,271,256,10-9,10,9,6-19,6,19,2-3,2,3,1-2,1,2,1-6,1,6,4-19,4,19,12-4,12,4
237,Jackson State,SWAC,16-12,16,12,32-20,32,20,304,13-6,13,6,45,105,17-7,17,7,9-9,9,9,6-4,6,4,0-2,0,2,0-0,0,0,2-6,2,6,30-12,30,12
238,Cal State Fullerton,Big West,7-23,7,23,16-38,16,38,101,9-15,9,15,239,148,11-18,11,18,4-18,4,18,1-2,1,2,1-8,1,8,0-3,0,3,4-17,4,17,11-10,11,10
239,Fairleigh Dickinson,Northeast,18-14,18,14,26-30,26,30,286,7-14,7,14,248,241,14-5,14,5,11-23,11,23,1-2,1,2,1-6,1,6,0-1,0,1,3-10,3,10,22-13,22,13
240,Winthrop,Big South,8-15,8,15,19-29-1,19,29,183,11-14-1,11,14,225,162,15-13,15,13,4-15-1,4,15,0-1,0,1,0-5-1,0,5,2-3-0,2,3,4-15-0,4,15,13-6-0,13,6
241,North Dakota State,The Summit League,14-12-1,14,12,19-30-1,19,30,255,4-16,4,16,147,23,6-8-1,6,8,12-20,12,20,1-2,1,2,0-10-0,0,10,1-3-0,1,3,1-2-0,1,2,17-15-1,17,15
242,Valparaiso,Missouri Valley,6-21,6,21,14-38,14,38,134,8-17,8,17,201,197,6-10,6,10,8-27,8,27,0-1,0,1,0-7,0,7,1-9,1,9,6-13,6,13,7-9,7,9
243,Towson,Coastal Athletic,5-20,5,20,15-39,15,39,98,10-19,10,19,222,116,11-16,11,16,3-22,3,22,1-1,1,1,0-10,0,10,1-5,1,5,2-13,2,13,12-11,12,11
244,Lafayette,Patriot League,8-16,8,16,14-35,14,35,132,6-19,6,19,232,107,9-10,9,10,5-25,5,25,0-0,0,0,0-10,0,10,0-2,0,2,4-13,4,13,10-10,10,10
245,Tennessee Tech,Ohio Valley,13-14,13,14,29-26,29,26,279,16-11,16,11,233,288,22-13,22,13,7-12,7,12,0-1,0,1,0-2,0,2,0-2,0,2,3-5,3,5,26-17,26,17
246,Binghamton,America East,10-14,10,14,21-29,21,29,261,11-14,11,14,217,251,12-8,12,8,8-20,8,20,1-1,1,1,0-3,0,3,2-7,2,7,5-7,5,7,14-12,14,12
247,Purdue Fort Wayne,Horizon League,11-19,11,19,19-37,19,37,215,7-16,7,16,126,51,7-10,7,10,11-25,11,25,1-2,1,2,2-3,2,3,3-12,3,12,3-7,3,7,11-15,11,15
248,Quinnipiac,MAAC,10-14,10,14,20-30,20,30,263,10-16,10,16,192,199,13-5,13,5,7-25,7,25,0-0,0,0,0-0,0,0,0-4,0,4,5-15,5,15,15-11,15,11
249,Stonehill,Northeast,13-17,13,17,18-29,18,29,264,5-12,5,12,244,218,8-7,8,7,10-22,10,22,0-0,0,0,0-0,0,0,2-2,2,2,3-15,3,15,13-12,13,12
250,North Florida,ASUN,11-17-1,11,17,21-30-1,21,30,231,10-13,10,13,196,133,13-17,13,17,8-13-1,8,13,0-0,0,0,0-5-0,0,5,1-3-0,1,3,4-6-0,4,6,16-16-1,16,16
251,Ohio,Mid-American,13-17,13,17,18-32,18,32,217,5-15,5,15,260,147,10-12,10,12,8-20,8,20,0-0,0,0,0-0,0,0,1-11,1,11,5-8,5,8,12-13,12,13
252,SIUE,Ohio Valley,12-15,12,15,20-34-1,20,34,234,7-18-1,7,18,267,207,11-11-1,11,11,8-22,8,22,1-1,1,1,2-3-0,2,3,3-5-0,3,5,0-9-0,0,9,15-17-1,15,17
253,Marist,MAAC,10-14,10,14,20-35,20,35,262,8-19,8,19,250,228,5-10,5,10,13-23,13,23,2-2,2,2,1-2,1,2,0-1,0,1,5-13,5,13,14-19,14,19
254,Canisius,MAAC,11-13,11,13,18-30,18,30,267,7-15,7,15,189,176,7-7,7,7,11-21,11,21,0-2,0,2,0-1,0,1,1-4,1,4,6-10,6,10,11-15,11,15
255,Prairie View A&M,SWAC,18-9,18,9,26-25,26,25,301,8-14,8,14,179,154,12-5,12,5,8-18,8,18,6-2,6,2,0-2,0,2,0-6,0,6,2-7,2,7,24-10,24,10
256,Eastern Illinois,Ohio Valley,13-14,13,14,20-32,20,32,259,7-17,7,17,276,244,8-11,8,11,12-20,12,20,0-1,0,1,0-1,0,1,0-3,0,3,4-12,4,12,16-16,16,16
257,Radford,Big South,7-16,7,16,16-34,16,34,165,9-18,9,18,240,137,12-13,12,13,4-21,4,21,0-0,0,0,0-8,0,8,1-6,1,6,4-11,4,11,11-9,11,9
258,Le Moyne,Northeast,15-17,15,17,22-27-1,22,27,294,7-10-1,7,10,209,282,10-5-1,10,5,12-22,12,22,0-0,0,0,0-0-0,0,0,2-2-0,2,2,4-11-0,4,11,16-14-1,16,14
259,Bradley,Missouri Valley,6-21,6,21,12-37-1,12,37,167,6-16-1,6,16,270,258,1-12,1,12,7-24-1,7,24,4-1,4,1,0-4-0,0,4,1-7-0,1,7,4-17-0,4,17,7-9-1,7,9
260,Eastern Kentucky,ASUN,14-16,14,16,21-37,21,37,209,7-19,7,19,256,117,13-17,13,17,8-18,8,18,0-2,0,2,0-7,0,7,0-2,0,2,7-11,7,11,14-17,14,17
261,Oral Roberts,The Summit League,13-15-1,13,15,27-32-1,27,32,274,11-15,11,15,214,140,15-17,15,17,9-14-1,9,14,3-1,3,1,1-6-0,1,6,1-0-0,1,0,3-9-0,3,9,22-17-1,22,17
262,Alabama State,SWAC,18-12,18,12,29-27,29,27,296,10-13,10,13,288,304,15-11,15,11,12-12,12,12,2-4,2,4,1-2,1,2,0-3,0,3,5-7,5,7,23-15,23,15
263,UC Riverside,Big West,6-24,6,24,16-36,16,36,146,10-12,10,12,266,259,12-19,12,19,4-17,4,17,0-0,0,0,0-6,0,6,0-3,0,3,4-13,4,13,12-14,12,14
264,South Dakota State,The Summit League,11-17,11,17,19-29,19,29,290,8-12,8,12,112,168,4-7,4,7,14-18,14,18,1-4,1,4,1-1,1,1,0-2,0,2,4-8,4,8,14-18,14,18
265,Yale,Ivy League,11-10,11,10,18-23,18,23,289,7-13,7,13,273,287,10-8,10,8,8-15,8,15,0-0,0,0,0-0,0,0,0-3,0,3,7-7,7,7,11-13,11,13
266,Delaware State,Northeast,20-13,20,13,22-27,22,27,282,2-12,2,12,287,150,12-13,12,13,10-12,10,12,0-2,0,2,0-0,0,0,0-0,0,0,4-9,4,9,18-18,18,18
267,Harvard,Ivy League,9-12,9,12,13-26,13,26,250,4-14,4,14,263,177,4-7,4,7,7-17,7,17,2-2,2,2,0-4,0,4,0-3,0,3,6-11,6,11,7-8,7,8
268,Akron,Mid-American,10-20,10,20,15-39,15,39,198,5-19,5,19,254,125,3-14,3,14,9-22,9,22,3-3,3,3,1-4,1,4,1-11,1,11,2-7,2,7,11-17,11,17
