rank,name,position,school,age,bats,throws,current_level
217,Yoel Tejeda Jr.,RHP,Florida State,22,S,R,A+
218,Jared Thomas,OF,Texas,22,L,L,AA
219,Chris Villaman,LHP,North Carolina State,25,L,L,A+
220,Jack Crighton,3B,Clemson,22,R,R,
221,Bradley Hodges,LHP,South Carolina,22,L,L,
222,Jorel Ortega,2B,Tennessee,25,R,R,AA
223,Douglas Hodo,OF,Texas,25,R,R,AA
224,Josh Hood,SS,North Carolina State,25,R,R,AA
225,Noah Samol,LHP,Clemson,22,L,L,
226,Nathan Martorella,1B/OF,California,25,L,L,AAA
227,Christian Oppor,LHP,Gulf Coast State JC,21,L,L,AA
228,Andrew Morris,RHP,Texas Tech,24,R,R,MLB
229,Isaiah Jackson,OF,Arizona State,21,L,R,A+
230,Ethan Petry,OF/1B,South Carolina,21,R,R,A+
231,Chris McElvain,RHP,Vanderbilt,25,R,R,AA
232,Ethan Long,3B,Arizona State,25,R,R,A
233,Zach Root,LHP,Arkansas,22,L,L,A+
234,Luis Rujano,RHP,Sunshine State Elite Academy (FL),23,R,R,AA
235,Dallas Macias,OF,Oregon State,22,L,R,A
236,Nate Baez,C,Arizona State,24,R,R,AA
237,Carter Young,SS,Vanderbilt,25,L,R,AA
238,Cory Lewis,RHP,UC Santa Barbara,25,R,R,ROK
239,Dom Johnson,OF,Kansas State,25,R,R,A+
240,Gavin Van Kempen,RHP,East Carolina,21,R,R,
241,Steven Zobac,RHP,California,25,L,R,ROK
242,Eric Adler,RHP,Wake Forest,25,R,R,AA
243,Matthew Grabmann,RHP,Fairfield,22,S,R,
244,Riley Cornelio,RHP,Texas Christian,25,R,R,AAA
245,Emaarion Boyd,OF,South Panola (MS),22,R,R,AA
246,Korbyn Dickerson,OF,Indiana,22,R,R,A
247,Michael Curialle,OF/3B,UCLA,24,R,R,A+
248,Zach Morgan,C,Fresno State,26,R,R,AAA
249,Colby Halter,2B/3B,Florida,24,L,R,AA
250,Will Mabrey,LHP,Tennessee,25,L,L,AA
