Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Grant Garman","OAK",19,3,5,5.834745951337198,15,15,0,0,0,78.2,370,84,56,51,12,46,8,1,0,68,"Grant Garman","sa3059279",
"Adam Brouwer","NIU",22,4,3,5.136585174687635,13,13,0,0,0,68.1,310,75,45,39,6,26,10,3,0,67,"Adam Brouwer","sa3027788",
"Matthew Dalquist","UCSD",22,6,5,4.426229369797335,14,14,0,0,0,81.1,347,86,48,40,8,13,6,3,0,67,"Matthew Dalquist","sa3029795",801574
"Haden Dow","SEMO",,5,4,3.331914785444713,14,14,1,1,0,78.1,321,62,40,29,8,14,9,5,0,67,"Haden Dow","sa3030516",
"Noah Edders","TROY",22,5,2,5.123076923076923,14,14,1,0,0,65,283,59,40,37,10,27,7,12,0,67,"Noah Edders","sa3030774",833415
"Alexis Gravel","MCN",,4,3,3.4468085106382977,12,10,0,0,0,47,205,41,24,18,6,26,3,4,0,67,"Alexis Gravel","sa3032594",
"Carson Myers","AUB",22,3,2,2.769230769230769,22,1,0,0,3,52,215,48,19,16,5,10,3,4,0,67,"Carson Myers","sa3038635",
"Ryan Reed","PITT",21,5,4,5.009049946678815,14,14,0,0,0,73.2,327,84,48,41,10,24,4,1,0,67,"Ryan Reed","sa3040535",811266
"Dillon Fischer","PFW",22,1,8,7.411764705882353,17,15,1,0,0,85,397,101,76,70,11,43,9,7,2,67,"Dillon Fischer","sa3059187",
"Nathan Mertens","SEMO",,7,3,3.5316455696202533,15,13,0,0,1,79,315,71,31,31,8,8,2,2,0,67,"Nathan Mertens","sa3060021",
"Reece Beuter","IOWA",24,6,0,3.142857142857143,13,13,0,0,0,63,259,45,23,22,10,22,6,1,0,66,"Reece Beuter","sa3027106",
"Reid Easterly","DUKE",23,9,3,3.0405405405405403,37,0,0,0,5,74,312,64,34,25,6,17,9,7,0,66,"Reid Easterly","sa3030746",
"Thomas Ellisen","CONN",22,6,3,6.447761194029851,16,14,0,0,0,67,328,84,59,48,11,31,8,7,0,66,"Thomas Ellisen","sa3030907",
"Brandon Haston","JKST",24,4,7,4.940425371521471,16,13,1,1,1,78.1,369,96,51,43,2,31,11,5,0,66,"Brandon Haston","sa3033380",
"Richard Long","JAX",22,8,4,2.594306120259733,15,15,2,0,0,93.2,375,72,37,27,5,20,3,3,0,66,"Richard Long","sa3036493",
"Alec Sparks","NICH",23,4,3,3.625,12,12,1,0,0,72,305,59,39,29,6,28,3,3,0,66,"Alec Sparks","sa3042798",
"Jared Spencer","TEX",21,4,1,3.267516002959136,10,10,0,0,0,52.1,225,41,19,19,6,23,7,3,0,66,"Jared Spencer","sa3042828",801358
"Matt Archibald","NAVY",,4,4,3.6382978723404253,13,10,0,0,0,47,216,21,24,19,2,43,11,10,0,66,"Matt Archibald","sa3058511",
"Ethan Lay","SAC",,5,3,3.5526315789473686,14,13,0,0,0,76,320,78,35,30,6,16,2,8,0,66,"Ethan Lay","sa3059771",
"Juan Villarreal","FIU",,6,5,5.466257796638764,23,6,0,0,4,54.1,249,50,39,33,9,33,6,2,0,66,"Juan Villarreal","sa3060845",
"Hunter Alexander","CARK",,4,6,6.44162461495277,20,8,1,0,2,65.2,314,83,52,47,7,33,10,6,0,65,"Hunter Alexander","sa3025880",
"Cole Cheatham","UAB",,3,5,6.480000247192392,16,10,0,0,0,66.2,306,69,50,48,10,30,18,2,0,65,"Cole Cheatham","sa3028805",
"Ben Grable","IU",23,4,3,4.313609564823164,17,11,0,0,2,56.1,244,54,31,27,8,17,4,2,3,65,"Ben Grable","sa3032539",695066
"Tate Hess","UL",20,6,3,5.676136240609424,20,6,0,0,1,58.2,283,74,41,37,9,24,4,1,1,65,"Tate Hess","sa3033730",
"Sam Hliboki","NU",23,4,3,5.356275138197829,20,12,1,0,2,82.1,369,83,52,49,15,21,20,0,0,65,"Sam Hliboki","sa3033884",
"Rigo Ramos","LIP",24,3,5,5.744680734498841,15,15,0,0,0,62.2,288,65,43,40,10,35,9,10,0,65,"Rigo Ramos","sa3040435",
"Evan Steckmesser","SAM",,3,4,3.1764705169572154,27,0,0,0,1,56.2,233,57,26,20,6,8,3,3,0,65,"Evan Steckmesser","sa3042994",
"Noel Valdez","UCD",,7,3,3.7165990754842078,21,14,0,0,0,82.1,344,88,35,34,4,20,2,4,0,65,"Noel Valdez","sa3044289",
"Max Banks","WASH",22,7,4,3.8571429885163644,13,13,0,0,0,74.2,311,60,33,32,8,28,8,2,0,65,"Max Banks","sa3058549",822514
"AJ Ciscar","MIA",,6,2,4.455000169944769,21,10,0,0,0,66.2,290,56,38,33,6,16,20,0,0,65,"AJ Ciscar","sa3058868",
"Luke Cooley","LT",,7,2,4.947643880242076,16,13,0,0,0,63.2,291,68,39,35,4,29,8,6,0,65,"Luke Cooley","sa3058921",
"Brian Panneton","TAR",,6,3,3.6923076923076925,15,14,0,0,0,78,331,85,42,32,12,16,6,0,1,65,"Brian Panneton","sa3060203",
"Ryan Piech","XAV",,4,1,4.374301582756222,14,14,0,0,0,59.2,270,38,30,29,6,49,6,7,0,65,"Ryan Piech","sa3060268",
"Matthew Becker","SC",22,3,3,6.654929756243256,19,6,0,0,0,47.1,216,45,37,35,6,23,6,3,0,64,"Matthew Becker","sa3026849",801799
"Harry Cain","KENN",,4,3,4.670270173969368,19,10,0,0,0,61.2,277,58,42,32,9,30,3,12,0,64,"Harry Cain","sa3028246",
