Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Ryan Stoudemire","GMU",,52.2,4.955696082883036,4.784810011059483,1.03571429,0.17088607182355298,0.10780669,0.10408922,0.00371747,0.33898305,2.0506328618826357,0.38349515,0.5734767,7.177215016589225,5.305493261233066,1.871721755356159,"Ryan Stoudemire","sa3043190",
"Chase Silseth","ARIZ",21,97.1,9.708903855914185,2.6815067792524894,3.62068966,0.5547945060522391,0.23489933,0.06487696,0.17002237,0.27654321,1.4486300991364023,0.36054422,0.55631868,5.547945060522391,3.6856984664092347,1.8622465941131563,"Chase Silseth","30074",681217
"Ryan Mintz","VAL",,64,6.1875,2.8125,2.2,0.84375,0.15384615,0.06993007,0.08391608,0.29457364,1.5,0.33653846,0.5334728,6.75,4.900313091278076,1.8496869087219237,"Ryan Mintz","sa3038138",
"Brandon Deans","OAK",,45.1,8.933823779998773,6.352941354665794,1.40625,0.5955882519999182,0.19823789,0.14096916,0.05726872,0.2617801,1.8088235801478998,0.32867133,0.46454768,7.742647275998936,5.89568124258807,1.8469660334108662,"Brandon Deans","sa3029974",
"Franco Aleman","FLA",21,69,8.478260869565217,2.739130434782609,3.0952381,0.6521739130434783,0.21172638,0.06840391,0.14332248,0.2688172,1.391304347826087,0.33492823,0.53125,5.739130434782608,3.903832453575687,1.8352979812069212,"Franco Aleman","sa3018178",680916
"Jake Lewis","EKU",,47,10.340425531914894,5.170212765957447,2,1.3404255319148937,0.23684211,0.11842105,0.11842105,0.28426396,1.7659574468085106,0.36029412,0.60880829,7.468085106382978,5.652293588760052,1.8157915176229267,"Jake Lewis","sa3036301",
"Josh Vitus","WOF",,60.2,6.527472390657522,1.7802197429065967,3.66666667,1.038461516695515,0.15714286,0.04285714,0.11428572,0.30888031,1.516483484698212,0.35096154,0.52631579,7.120878971626387,5.361960107406951,1.758918864219436,"Josh Vitus","sa3044536",
"Ryan Devine","JOES",,32.1,5.567010528210926,3.0618557905160095,1.81818182,1.1134021056421852,0.11904762,0.06547619,0.05357143,0.34693878,1.9175258486059856,0.38211382,0.55722892,8.35051579231639,6.599764550379634,1.7507512419367561,"Ryan Devine","sa3030229",
"Nick Johnson","MVSU",,40.1,4.685950560954403,4.685950560954403,1,1.785124023220725,0.10144928,0.10144928,0,0.34594595,2.1074380829689114,0.35897436,0.45454545,10.264463133519168,8.519686288236313,1.7447768452828551,"Nick Johnson","sa3034793",
"Easton Rhodehouse","VAL",23,44.2,10.679104173600377,2.4179103789283873,4.41666667,0.4029850631547312,0.27894737,0.06315789,0.21578947,0.23863636,1.2089551894641937,0.33057851,0.56390977,4.6343282262794085,2.8933168468403103,1.7410113794390982,"Easton Rhodehouse","sa3040671",
"Deylen Miley","BELL",23,64.2,11.969072635653491,4.592783685774014,2.60606061,0.974226842436912,0.28666667,0.11,0.17666667,0.26254826,1.5618557315258432,0.36746988,0.58467742,6.541237370647838,4.80030834549912,1.7409290251487182,"Deylen Miley","sa3038020",
"Keyshawn Askew","CLEM",21,57,10.894736842105264,1.736842105263158,6.27272727,1.263157894736842,0.26538462,0.04230769,0.22307692,0.28451883,1.3859649122807018,0.37037037,0.59125964,5.842105263157895,4.148706660354347,1.6933986028035477,"Keyshawn Askew","sa3017916",681094
"Jordan Yoder","LAF",20,34.2,10.124999628617227,4.41346137657674,2.29411765,0.5192307501854988,0.22941176,0.1,0.12941176,0.29931973,1.7596153200730793,0.39622642,0.59190031,6.490384377318735,4.799296588516801,1.6910877888019344,"Jordan Yoder","sa3045714",
"Cade Gibson","LT",23,71.2,8.288372387140758,2.386046596298097,3.47368421,0.879069798636141,0.19879518,0.05722892,0.14156627,0.3125,1.590697730865398,0.38095238,0.58303887,6.404651390063313,4.713877031636794,1.690774358426519,"Cade Gibson","31815",806188
"Owen Hamilton","UMBC",,46,5.282608695652174,3.5217391304347827,1.5,1.173913043478261,0.12,0.08,0.04,0.30612245,1.6956521739130435,0.33128834,0.49627792,8.021739130434783,6.334745100270148,1.6869940301646356,"Owen Hamilton","sa3033086",
"Jimmy Kingsbury","VILL",22,64.2,11.969072635653491,3.896907369747648,3.07142857,0.4175257896158195,0.31046931,0.10108303,0.20938628,0.22633745,1.2835052051152969,0.33766234,0.61320755,4.87113421218456,3.202195457404168,1.6689387547803922,"Jimmy Kingsbury","sa3016838",700675
"Gunnar Groen","PEPP",,45.1,6.948529606665712,5.757353102665876,1.20689655,0.5955882519999182,0.16666667,0.13809524,0.02857143,0.27011494,1.676470635259029,0.32352941,0.55837563,7.147059023999018,5.488929201533639,1.658129822465379,"Gunnar Groen","sa3032755",
"Mitchell Holcomb","RICE",24,62,8.274193548387096,2.467741935483871,3.35294118,1.0161290322580645,0.2,0.05964912,0.14035088,0.31417625,1.596774193548387,0.38071066,0.61330561,6.532258064516129,4.90419959099062,1.6280584735255088,"Mitchell Holcomb","sa3033953",
"Alaska Abney","CCU",21,48.2,12.575342137184087,2.589041028243783,4.85714286,0.7397260080696522,0.32227488,0.06635071,0.25592417,0.23809524,1.2123287354474854,0.35042735,0.58631922,4.993150554470152,3.3723065668880254,1.620843987582127,"Alaska Abney","sa3017308",685095
"Aren Alvarez","UCSD",,51.2,4.70322569070076,2.7870967056004505,1.6875,1.045161264600169,0.11297071,0.06694561,0.04602511,0.31192661,1.6258064116002628,0.33513514,0.49627792,7.3161288522011825,5.722309437195047,1.593819415006135,"Aren Alvarez","sa3025972",
"Jacob Nagel","BELL",,69.1,5.971153627133236,2.985576813566618,2,0.7788461252782483,0.14375,0.071875,0.071875,0.31525424,1.6730768617088296,0.35802469,0.55656934,6.62019206486511,5.0306314439110515,1.5895606209540585,"Jacob Nagel","sa3038662",
"Dom Velazquez","DEL",19,53,11.547169811320755,4.584905660377358,2.51851852,1.1886792452830188,0.26459144,0.10505837,0.15953307,0.29147982,1.7358490566037736,0.39189189,0.57174888,6.452830188679245,4.868167411156421,1.5846627775228246,"Dom Velazquez","sa3044426",
"Kyle Robeniol","UTAH",,53.1,8.606250205188994,1.5187500362098225,5.66666667,2.193750052303077,0.2107438,0.03719008,0.17355372,0.32173913,1.5562500371038923,0.36746988,0.60471976,7.256250173002486,5.678592346459628,1.5776578265428576,"Kyle Robeniol","sa3040864",
"Reece Early","NAVY",,32,4.78125,4.78125,1,0.5625,0.10493827,0.10493827,0,0.32608696,1.9375,0.36134454,0.58912387,7.875,6.308911991119385,1.566088008880615,"Reece Early","sa3030738",
"Vinnie Venturi","RAD",,39,9.23076923076923,4.615384615384615,2,0.46153846153846156,0.21621622,0.10810811,0.10810811,0.29375,1.7179487179487178,0.38135593,0.63583815,6.230769230769231,4.668513818887564,1.562255411881667,"Vinnie Venturi","sa3044441",
"Ryan Hardman","UTU",,57,6.7894736842105265,4.2631578947368425,1.59259259,1.736842105263158,0.15636364,0.09818182,0.05818182,0.30416667,1.7543859649122806,0.33333333,0.5399568,8.68421052631579,7.124979561253598,1.5592309650621914,"Ryan Hardman","sa3033211",
"Eric Miles","PRES",,48,7.3125,3.75,1.95,1.6875,0.16956522,0.08695652,0.0826087,0.32692308,1.8333333333333333,0.36875,0.58139535,7.875,6.317552280426026,1.5574477195739744,"Eric Miles","sa3038014",
"Jimmy Borzone","UTU",22,69.2,9.430622353827458,3.2296651896669375,2.92,1.291866075866775,0.22392638,0.07668712,0.14723926,0.28819444,1.55023929104013,0.35609756,0.57009346,7.23445002485394,5.689572914039525,1.544877110814415,"Jimmy Borzone","sa3027414",
"Dylan Bowers","UNCO",,62,12.483870967741936,5.806451612903226,2.15,0.43548387096774194,0.29152542,0.13559322,0.1559322,0.27016129,1.7258064516129032,0.40251572,0.59198543,5.951612903225806,4.411906556160219,1.5397063470655867,"Dylan Bowers","sa3027476",
"Blake Wimberley","MEM",,69,8.869565217391305,4.956521739130435,1.78947368,0.782608695652174,0.20923077,0.11692308,0.09230769,0.29602888,1.7391304347826086,0.37438424,0.57565789,6.521739130434782,5.02364827308102,1.4980908573537626,"Blake Wimberley","sa3045431",
"Noah Niznik","SEMO",,55.2,5.497005862458604,4.688622647391162,1.17241379,1.455089787121395,0.125,0.10661765,0.01838235,0.32773109,1.922155644715917,0.35384615,0.56338028,8.245508793687906,6.747847100501723,1.497661693186183,"Noah Niznik","sa3038892",
"Carter Henry","HOU",,42.2,5.484374836552893,3.7968748868443107,1.44444444,1.054687468567864,0.12871287,0.08910891,0.03960396,0.29608939,1.6640624504070745,0.32432432,0.60869565,7.171874786261475,5.69914640421048,1.4727283820509953,"Carter Henry","sa3033624",
"Chris Gonzalez","STET",,65.2,6.989847986438112,1.5076142715846907,4.63636364,0.5482233714853421,0.17957746,0.03873239,0.14084507,0.26966292,1.2639594398134275,0.32075472,0.57553957,5.619289557724756,4.166052210860216,1.4532373468645403,"Chris Gonzalez","sa3032405",
"Raymond Pacella","MRSH",,60,10.35,3.45,3,0.3,0.25090909,0.08363636,0.16727273,0.28215768,1.5166666666666666,0.38823529,0.63508065,5.4,3.9472103436787926,1.4527896563212077,"Raymond Pacella","sa3039321",
"Nathaniel Garley","UNM",23,53.1,5.062500120699409,2.025000048279763,2.5,0.6750000160932544,0.11857708,0.04743083,0.07114625,0.33472803,1.725000041127206,0.37073171,0.55429864,6.581250156909231,5.144093910157681,1.4371562467515506,"Nathaniel Garley","sa3031979",
"Jack Steele","MASS",,53,7.30188679245283,4.0754716981132075,1.79166667,0.33962264150943394,0.16538462,0.09230769,0.07307692,0.29910714,1.7169811320754718,0.36312849,0.51896208,6.622641509433962,5.185837207650239,1.4368043017837238,"Jack Steele","sa3043001",
"JD Callahan","UCSB",,57,7.894736842105263,2.210526315789474,3.57142857,0.7894736842105263,0.18796992,0.05263158,0.13533835,0.30327869,1.543859649122807,0.36507937,0.58426966,6,4.582298160017583,1.417701839982417,"JD Callahan","sa3028280",
"Mark Faello","HOF",20,33.1,7.830000298690807,5.130000195693977,1.52631579,0.540000020599366,0.18709677,0.12258065,0.06451613,0.26315789,1.620000061798098,0.32352941,0.5904059,6.210000236892709,4.812695751953127,1.397304484939582,"Mark Faello","sa3031116",
"Dominick DErcole","LONG",,44.1,6.496240787828511,6.090225738589229,1.06666667,0.40601504923928194,0.14285714,0.13392857,0.00892857,0.32978723,2.075188029445219,0.38961039,0.55672269,7.105263361687434,5.708999694134344,1.3962636675530895,"Dominick DErcole","sa3030176",
"Spencer Hynes","WICH",23,48.1,9.682758875426163,5.586207043515095,1.73333333,1.3034483101535221,0.22907489,0.13215859,0.0969163,0.26041667,1.655172457337806,0.32330827,0.58510638,7.07586225511912,5.680719787425293,1.3951424676938275,"Spencer Hynes","sa3034394",
"Dylan Hathcock","JVST",,60.1,8.204420062416457,1.4917127386211742,5.5,0.2983425477242348,0.21235521,0.03861004,0.17374517,0.30364372,1.4088398086977756,0.38421053,0.62945368,4.62430948972564,3.2396921848996807,1.3846173048259591,"Dylan Hathcock","sa3033391",
"Dawson Place","HPU",,39,8.076923076923077,2.769230769230769,2.91666667,1.1538461538461537,0.20114943,0.06896552,0.13218391,0.25974026,1.3333333333333333,0.30701754,0.50943396,6.923076923076923,5.540308690682436,1.3827682323944872,"Dawson Place","sa3039974",
"Shawn Rapp","UNC",20,46.2,11.37857111852997,2.6999999264308405,4.21428571,0.7714285504088115,0.2744186,0.06511628,0.20930233,0.29473684,1.4999999591282447,0.40944882,0.71618037,5.207142715259478,3.832791868131988,1.3743508471274897,"Shawn Rapp","sa3020743",688943
"Evan Gates","NCAT",23,47.1,15.02112716409192,2.8521127526756813,5.26666667,0.38028170035675746,0.37980769,0.07211538,0.30769231,0.2513089,1.3309859512486513,0.41818182,0.61093248,4.373239554102711,2.999219904852111,1.3740196492506,"Evan Gates","sa3032044",
"Wade Strain","W&M",,74,7.54054054054054,1.5810810810810811,4.76923077,1.4594594594594594,0.18618619,0.03903904,0.14714715,0.31111111,1.5,0.35684647,0.63508065,6.324324324324325,4.954857875205375,1.3694664491189492,"Wade Strain","sa3043203",
"Drew McDaniel","MISS",,63.2,10.178010267926556,3.1099475818664475,3.27272727,1.4136125372120216,0.2440678,0.07457627,0.16949153,0.29213483,1.5706805969022462,0.36756757,0.64130435,6.078533910011693,4.72794655256668,1.3505873574450131,"Drew McDaniel","sa3037535",
"AJ Jones","UCF",,50.1,8.403973722242487,2.682119273056113,3.13333333,1.788079515370742,0.2,0.06382979,0.13617021,0.32394366,1.6688742143460258,0.37820513,0.5974026,7.152318061482968,5.803761578906991,1.3485564825759768,"AJ Jones","sa3034834",
"Jonah Smith","CREI",23,68,10.588235294117647,2.7794117647058822,3.80952381,0.5294117647058824,0.27303754,0.07167235,0.20136519,0.26470588,1.3676470588235294,0.36170213,0.64073227,4.367647058823529,3.0198122136733114,1.3478348451502176,"Jonah Smith","sa3042576",
"Brian Hendry","SJU",21,36,8,4.75,1.68421053,0,0.18823529,0.11176471,0.07647059,0.27516779,1.6666666666666667,0.35042735,0.56451613,5,3.653799141777887,1.346200858222113,"Brian Hendry","sa3023525",809137
"Jack Carey","DUKE",21,68.2,9.043689655329498,3.276699150481702,2.76,0.5242718640770723,0.22622951,0.08196721,0.1442623,0.25185185,1.3543689821991034,0.3248731,0.62628337,5.242718640770723,3.916633769903796,1.3260848708669268,"Jack Carey","sa3017887",681004
