name,team,age,nameascii,playerid,mlbamid,year,w,l,era,g,gs,cg,sho,sv,ip,tbf,h,r,er,hr,bb,hbp,wp,bk,so,k/9,bb/9,k/bb,hr/9,k%,bb%,k-bb%,avg,whip,babip,lob%,fip,e-f
Justin Fall,ASU,22.0,Justin Fall,sa3017540,686607.0,2021,7,3,4.090909090909091,18,14,1,0,0,77.0,333,74,37,35,3,37,7,4,0,47,5.4935064935064934,4.324675324675325,1.27027027,0.3506493506493506,0.14114114,0.11111111,0.03003003,0.25605536,1.4415584415584417,0.29707113,0.71177504,4.74734230041504,-0.6564332095059493
Tyler Myrick,FIU,23.0,Tyler Myrick,sa3017541,686924.0,2021,7,4,5.425233451442773,14,14,1,0,0,71.1,323,78,49,43,8,27,6,9,0,67,8.453270726666647,3.406541934626858,2.48148148,1.009345758407958,0.20743034,0.08359133,0.12383901,0.26896552,1.4719625643449386,0.3255814,0.62124248,5.081166695486419,0.3440667559563541
Peter Van Loon,UCI,22.0,Peter Van Loon,sa3017543,687967.0,2021,5,3,4.418181664963404,15,14,0,0,0,73.1,325,77,43,36,5,20,14,2,0,87,10.677272356994894,2.4545453694241135,4.35,0.6136363423560284,0.26769231,0.06153846,0.20615385,0.26460481,1.322727226856328,0.36180905,0.65384615,3.9429839687505046,0.4751976962128994
Rhett Kouba,DBU,21.0,Rhett Kouba,sa3017544,688763.0,2021,6,2,2.772321522996137,16,10,1,1,0,74.2,308,60,28,23,6,23,2,3,0,87,10.486607500028866,2.772321522996137,3.7826087,0.7232143103468183,0.28246753,0.07467532,0.20779221,0.21201413,1.1116071807182577,0.28421053,0.74412533,3.4628130816987586,-0.6904915587026217
Justin Armbruester,UNM,22.0,Justin Armbruester,sa3017548,701859.0,2021,5,2,3.576923076923077,13,13,1,0,0,78.0,318,66,33,31,7,21,5,5,0,101,11.653846153846152,2.423076923076923,4.80952381,0.8076923076923077,0.31761006,0.06603774,0.25157233,0.2260274,1.1153846153846154,0.32065217,0.71776156,4.083516971881573,-0.5065938949584958
Brendan Collins,UNCG,21.0,Brendan Collins,sa3017549,701975.0,2021,3,3,5.5430464976493,16,14,0,0,0,50.1,241,38,34,31,8,51,6,15,0,51,9.119205528390784,9.119205528390784,1.0,1.4304636122965937,0.21161826,0.21161826,0.0,0.20652174,1.768211965199956,0.24,0.72792363,7.711134221843345,-2.168087724194045
Alex Pham,SF,21.0,Alex Pham,sa3017550,702129.0,2021,3,5,4.391566365978893,22,1,0,0,4,55.1,246,49,29,27,7,32,2,6,0,72,11.71084364261038,5.204819396715725,2.25,1.1385542430315647,0.29268293,0.1300813,0.16260163,0.23113208,1.4638554553262977,0.31578947,0.73770492,4.675941931151016,-0.2843755651721231
Luke Albright,KENT,21.0,Luke Albright,sa3017592,681475.0,2021,6,4,3.402439024390244,15,15,2,0,0,82.0,360,65,37,31,10,40,9,7,0,102,11.195121951219512,4.390243902439025,2.55,1.0975609756097562,0.28333333,0.11111111,0.17222222,0.20900322,1.2804878048780488,0.27638191,0.77,5.097320165866759,-1.6948811414765157
Jake Rice,KENN,23.0,Jake Rice,sa3017593,687095.0,2021,9,2,1.9285714942581824,13,13,0,0,0,74.2,295,48,21,16,4,24,4,4,0,79,9.522321752899774,2.892857241387273,3.29166667,0.4821428735645455,0.26779661,0.08135593,0.18644068,0.17977528,0.9642857471290912,0.23913043,0.78125,3.8561809166961782,-1.9276094224379965
Michael Kirian,LOU,22.0,Michael Kirian,sa3017594,690907.0,2021,5,3,4.802884439215864,16,11,0,0,1,69.1,303,70,42,37,11,28,2,5,0,75,9.735576565978104,3.634615251298492,2.67857143,1.4278845630101218,0.24752475,0.09240924,0.15511551,0.25641026,1.4134614866160802,0.31550802,0.6855792,4.837050071235241,-0.034165632019377
