Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F,NameASCII,PlayerId,MLBAMID
"Tyler Valdez","RGV",22,44.1,7.917293460165998,5.278195640110665,1.5,0.40601504923928194,0.1875,0.125,0.0625,0.27374302,1.6917293718303414,0.34057971,0.53191489,7.308270886307075,5.208192712438876,2.100078173868199,"Tyler Valdez","sa3044290",
"Charlie Saum","STAN",20,0.1,26.99999919533732,0,1,0,1,0,1,0,0,0,1,0,-2.0958829998970083,2.0958829998970083,"Charlie Saum","sa3041598",
"Louis Cespedes","MRMK",,10.2,7.5937497736886215,8.437499748542912,0.9,2.5312499245628737,0.16981132,0.18867925,-0.01886793,0.28571429,2.062499938532712,0.3,0.42553191,11.812499647960077,9.716912786290054,2.0955868616700233,"Louis Cespedes","sa3028711",
"Nate Brittain","CAM",19,37.1,9.883928908073184,4.821428735645456,2.05,0.24107143678227277,0.23295455,0.11363636,0.11931818,0.26845638,1.6071429118818186,0.36448598,0.6097561,6.508928793121365,4.415388104623679,2.0935406884976864,"Nate Brittain","sa3027708",
"Tyler Johns","ELON",,10.2,5.062499849125747,10.124999698251495,0.5,2.5312499245628737,0.08955224,0.17910448,-0.08955224,0.34042553,2.624999921768906,0.34210526,0.47169811,14.34374957252295,12.250209279172129,2.093540293350822,"Tyler Johns","sa3034824",
"Tim Baird","OSU",22,2.1,15.428571954065458,19.285714942581823,0.8,0,0.22222222,0.27777778,-0.05555556,0.36363636,3.8571429885163644,0.57142857,0.72727273,11.571428965549092,9.478735623067745,2.092693342481347,"Tim Baird","sa3026419",
"Tommy Gross","MINN",22,25.1,8.526315575491363,9.947368171406591,0.85714286,0.35526314897880684,0.17021277,0.19858156,-0.0283688,0.25490196,2.131578893872841,0.32467532,0.58176101,9.236841873448977,7.144148885906571,2.0926929875424065,"Tommy Gross","sa3032777",
"Billy Duff","STO",,19,4.7368421052631575,6.157894736842105,0.76923077,2.8421052631578947,0.09259259,0.12037037,-0.02777778,0.37894737,2.5789473684210527,0.37974684,0.4679803,11.842105263157896,9.759676095059044,2.0824291680988516,"Billy Duff","sa3030611",
"Will Larson","SFA",,20,9.45,10.8,0.875,2.25,0.1779661,0.20338983,-0.02542373,0.30588235,2.5,0.3559322,0.57692308,12.6,10.518719005584718,2.081280994415282,"Will Larson","sa3036007",
"Jack O'Malley","BUCK",19,32,14.0625,10.40625,1.35135135,1.125,0.28571429,0.21142857,0.07428571,0.25984252,2.1875,0.39726027,0.55702918,9.28125,7.201072883605957,2.080177116394043,"Jack O'Malley","sa3039149",
"Kade Coombe","SIU",,10.2,11.812499647960077,8.437499748542912,1.4,3.374999899417165,0.22580645,0.16129032,0.06451613,0.38,2.7187499189749382,0.46875,0.47244094,11.812499647960077,9.738104366511113,2.0743952814489646,"Kade Coombe","sa3029327",
"Chaney Trout","EIU",24,24.1,5.917808064557217,9.246575100870652,0.64,0,0.12903226,0.2016129,-0.07258065,0.25263158,2.013698577522942,0.30379747,0.52830189,8.506849092801,6.43479555050905,2.0720535422919495,"Chaney Trout","sa3044081",
"Drew Erdmann","CIN",,14,10.285714285714286,10.285714285714286,1,0,0.19047619,0.19047619,0,0.29032258,2.4285714285714284,0.39130435,0.575,8.357142857142858,6.285801805768694,2.071341051374164,"Drew Erdmann","sa3030975",
"Lucas Glover","HPU",,8.2,9.346153503338979,3.115384501112993,3,3.115384501112993,0.20930233,0.06976744,0.13953488,0.34210526,1.8461537784373292,0.38461538,0.57971014,10.384615003709976,8.31468002782066,2.069934975889316,"Lucas Glover","sa3032319",
"Ben Keefe","RAD",20,8.2,8.30769200296798,5.192307501854988,1.6,4.15384600148399,0.17391304,0.10869565,0.06521739,0.4,2.4230768341989943,0.42857143,0.6097561,12.461538004451972,10.391603028562656,2.069934975889316,"Ben Keefe","sa3035145",
"Jack Folkins","PORT",,18.2,5.303571609210001,5.303571609210001,1,0,0.11956522,0.11956522,0,0.30379747,1.8750000638621216,0.35294118,0.54054054,7.232143103468183,5.162227988608031,2.0699151148601524,"Jack Folkins","sa3031513",
"Mason Edwards","USC",,37.2,12.424778341621522,4.5398228555924796,2.73684211,1.911504360249465,0.29545455,0.10795455,0.1875,0.26315789,1.566371628537756,0.34782609,0.56818182,7.884955486029043,5.8156211815385275,2.069334304490516,"Mason Edwards","sa3030819",
