rank,name,position,school,age,bats,throws,current_level
34,Landon Thome,2B/3B,Nazareth Academy (IL),18,L,R,ROK
35,Cade Townsend,RHP,Mississippi,21,R,R,
36,Mason Edwards,LHP,Southern California,21,L,L,
37,Taj Marchand,SS,James Island (SC),17,R,R,
38,Gavin Grahovac,1B,Texas A&M,21,R,R,
39,James Clark,SS,St. John Bosco (CA),18,L,R,
40,Taylor Rabe,RHP,Mississippi,21,R,R,
41,Eric Becker,SS,Virginia,21,L,R,
42,Logan Hughes,OF,Texas Tech,21,L,L,
43,Coleman Borthwick,RHP,South Walton (FL),18,R,R,
44,Jack Radel,RHP,Notre Dame,21,R,R,
45,Logan Schmidt,LHP,Ganesha (CA),17,L,L,
46,Will Brick,C,Christian Brothers (TN),18,R,R,
47,Chris Rembert,2B,Auburn,21,R,R,
48,Jarren Advincula,2B,Georgia Tech,21,L,R,
49,Rocco Maniscalco,SS,Oxford (AL),17,S,R,
50,Chase Brunson,OF,Texas Christian,21,R,R,
51,Wes Mendes,LHP,Florida State,21,R,L,
52,Andrew Williamson,OF,Central Florida,21,L,L,
53,Tyler Spangler,SS,De La Salle (CA),18,L,R,
54,Archer Horn,SS,St. Ignatius (CA),18,L,R,
55,Connor Comeau,SS/3B,Anderson (TX),17,L,R,
56,Jensen Hirschkorn,RHP,Kingsburg (CA),18,L,R,ROK
57,Kaden Waechter,RHP,Jesuit (FL),18,R,R,
58,Ben Blair,RHP,Liberty,21,R,R,
59,Jake Brown,OF,Louisiana State,21,L,L,
60,Ty Head,OF,North Carolina State,21,L,L,
61,Kaiden McCarthy,RHP,Vermont Academy (VT),17,R,R,ROK
62,Mulivai Levu,1B,UCLA,21,L,R,
63,Blake Bowen,OF,JSerra (CA),18,R,R,
64,Joseph Contreras,RHP,Blessed Trinity (GA),18,R,R,
65,Blake Bryant,RHP,Citizens Christian (GA),18,R,R,
66,Sean Duncan,LHP,Terry Fox (BC),18,R,L,
67,Owen Hull,OF,North Carolina,21,L,R,
68,Joey Volchko,RHP,Georgia,21,R,R,ROK
69,Ethan Kleinschmit,LHP,Oregon State,21,L,L,
70,Carson Bailey,LHP,McLennan CC,20,R,L,
71,Ethan Bass,SS,Glenbrook North (IL),18,R,R,
72,Will Gasparino,OF,UCLA,21,R,R,
73,Carson Tinney,C,Texas,21,R,R,
74,Jack Natili,C,Cincinnati,21,R,R,
75,Jake Schaffner,SS,North Carolina,21,L,R,
76,Cooper Harris,RHP,Flower Mound (TX),18,R,R,
77,Landon Brown,RHP,Iowa Colony (TX),18,R,R,
78,Jacob Dudan,RHP,North Carolina State,21,L,R,
79,Dee Kennedy,SS,Kansas State,21,R,R,
80,Denton Lord,RHP,South Walton (FL),18,R,R,
81,Peyton Bonds,OF,Rutgers,20,R,R,
82,Bo Holloway,LHP,Christ Presbyterian (TN),18,L,L,
83,Myles Bailey,1B,Florida State,21,L,R,
84,Kollin Ritchie,OF,Oklahoma State,21,L,R,
85,Savion Sims,RHP,Prestonwood Christian (TX),19,R,R,
86,Ryan Peterson,RHP,Sam Houston,22,R,R,
87,Ethan Wachsmann,RHP,Grandview (CO),18,R,R,
88,Carson Wiggins,RHP,Arkansas,21,R,R,ROK
89,Jack Slightom,RHP,Lyons Township (IL),18,R,R,
90,Luke Williams,SS,Franklin (PA),18,R,R,
91,Tre Broussard,OF,Houston,20,L,L,
92,Ruger Riojas,RHP,Texas,23,R,R,
93,Caden Bogenpohl,OF,Missouri State,21,L,R,
94,Noah Wilson,OF,McCallie (TN),19,L,R,
95,Shane Sdao,LHP,Texas A&M,22,L,L,
96,Gabe Gaeckle,RHP,Arkansas,21,R,R,
97,Beau Peterson,3B,Mill Valley (KS),18,L,R,
98,Ryan Lynch,RHP,North Carolina,21,R,R,
99,Cole Koeninger,RHP/SS,Keller (TX),18,R,R,
100,Cooper Sides,RHP,Orange Lutheran (CA),18,R,R,
101,Evan Dempsey,RHP/OF,Florida Gulf Coast,20,L,R,
102,Will Adams,OF/1B,Hoover (AL),18,L,L,
103,Deiten Lachance,C/1B,Oklahoma,21,R,R,
104,Kade Lewis,1B,Wake Forest,21,L,R,
105,Dylan Bowen,SS,Hanover Central (IN),19,R,R,
106,Jack Dugan,SS/3B,Lipscomb Academy (TN),19,L,R,
107,Trey Ebel,SS,Corona (CA),17,R,R,
108,Anthony Murphy,OF,Corona (CA),19,R,R,
109,Julian Garcia,RHP,St. John Bosco (CA),18,R,R,
110,Kolby Stringer,RHP,West Marion (MS),18,L,R,
111,Wilson Andersen,RHP,Jesuit (FL),18,R,R,
112,Brendan Brock,C/OF,Oklahoma,21,R,R,
113,Tyson LeBlanc,SS,Kansas,21,R,R,
114,Carson Kerce,SS,Georgia Tech,21,R,R,
115,Cam Kozeal,SS/2B,Arkansas,21,L,R,
116,Camden Johnson,3B,Oklahoma,21,L,R,
117,Jaxon Willits,SS,Oklahoma,21,S,R,
118,Malachi Washington,OF,Parkview (GA),18,R,R,
119,Keon Johnson,SS,First Presbyterian (GA),18,R,R,
120,Daniel Cuvet,3B,Miami,21,R,R,
121,Tre Phelps,3B,Georgia,22,R,R,
122,Gavin Giese,RHP,Dana Hills (CA),18,R,R,
123,Brett Renfrow,RHP,Virginia Tech,21,R,R,
124,Sean Dunlap,C,Crown Point (IN),18,R,R,
125,AJ Rice,RHP,Pickens County (GA),18,R,R,
126,Logan Georges,RHP,Clovis (CA),19,R,R,
127,Josiah Morris,SS/C,Clayton Valley (CA),18,R,R,
128,Roman Martin,3B,UCLA,21,R,R,
129,Dominic Santarelli,1B,St. Joseph (WI),18,L,L,
130,Gunner Skelton,3B,Columbia Academy (TN),18,R,R,
131,Jace Mataczynski,SS,Hudson (WI),18,R,R,
132,Shawn Sullivan,RHP,Walsh Jesuit (OH),19,R,R,
133,Jason DeCaro,RHP,North Carolina,20,R,R,
134,Trey Beard,LHP,Florida State,21,L,L,
135,Kyle Jones,OF,Florida,21,R,R,
136,Kevin Roberts Jr.,OF,Jackson Prep (MS),17,R,R,
137,Ryan Cooney,2B,Oregon,21,R,R,
138,Hudson DeVaughan,RHP,Mooresville (IN),19,R,R,
139,Tyler Putnam,RHP,Battle (MO),18,R,R,
140,Steele Murdock,RHP,UC San Diego,21,R,R,
141,Gary Morse,RHP,Orange Lutheran (CA),19,R,R,
142,Graham Schlicht,RHP,De La Salle (CA),19,R,R,
143,Caden Ferraro,OF,Texas Tech,21,L,L,
144,Ethan McElvain,LHP,Arkansas,21,S,L,
145,Deven Sheerin,RHP,Louisiana State,20,R,R,
146,Alex Hernandez,OF/1B,Georgia Tech,20,R,R,
147,Joe Tiroly,2B/3B,Virginia,21,R,R,
148,Henry Ford,3B,Tennessee,21,R,R,
149,Ryan Marohn,LHP,North Carolina State,21,L,L,
150,Kyle Johnson,LHP,Virginia,21,R,L,
151,CJ Weinstein,SS,Orange Lutheran (CA),19,L,R,
152,Jake McCoy,LHP,South Carolina,21,L,L,
153,Lucas Nawrocki,LHP,Aledo (TX),18,L,L,
154,Tommy LaPour,RHP,Texas Christian,21,R,R,
155,Trey Rangel,RHP,The Colony (TX),19,R,R,
156,Bryce Hill,RHP,Greenwich Country Day (CT),18,R,R,
157,Andruw Giles,OF,Basic (NV),18,L,L,
158,Elliot Lascelles,SS,Upper Canada (ON),18,L,R,
159,Alex Weingartner,SS,St. Augustine (NJ),18,R,R,ROK
160,Jason Amalbert,OF,DePaul Catholic (NJ),18,R,R,
161,Dawson Montesa,RHP,West Virginia,20,R,R,
162,Kyle Casteel,RHP,Butler (PA),18,R,R,ROK
163,Brady Harris,OF,Trinity Christian (FL),18,R,R,
164,Alex Sosa,C,Miami,21,L,R,
165,Dalton Wentz,3B/2B,Wake Forest,20,S,R,
166,Jaxon Jelkin,RHP,Kentucky,23,R,R,
167,Ethan Norby,LHP,East Carolina,21,R,L,
168,James Jorgensen,RHP,Jesuit Prep (TX),18,R,R,
169,Brady Snow,RHP,American Heritage (FL),18,R,R,
170,James Tronstein,OF/SS,Harvard-Westlake (CA),18,R,R,
171,Jacob Madrid,C,Notre Dame (CA),18,R,R,
172,Isaac Morton,RHP,Minnesota,21,R,R,
173,Carson Jasa,RHP,Nebraska,21,R,R,
174,Genson Veras,OF,TNXL Academy (FL),18,R,R,
175,Martin Shelar,OF,Marist (GA),18,R,R,
176,Maddox Molony,SS,Oregon,21,R,R,
177,Russell Sandefer,RHP,Florida,21,R,R,
178,Brayden Dowd,OF,Florida State,21,L,L,
179,Trevor Hansen,RHP,UC Irvine,21,R,R,
180,Coleton Brady,RHP,TNXL Academy (FL),17,R,R,
181,Wil Libbert,LHP,Mississippi,21,L,L,ROK
182,Landon Thiel,LHP,Jackson (OH),18,R,L,
183,Teagan Scott,C,South Salem (OR),18,R,R,
184,Jason Jutronich,LHP,Torrey Pines (CA),18,L,L,
185,Luke McNeillie,RHP,Florida,21,L,R,
186,LJ Mercurius,RHP,Oklahoma,21,R,R,
187,Sawyer Nelson,SS,South Salem (OR),18,L,R,
188,Robbie Lavey,C,George Washington,20,L,R,
189,Rylan Lujo,OF,Georgia,21,R,R,
190,Garrett Wright,OF/C,Tennessee,21,R,R,
191,Jet Berry,SS,Queen Creek (AZ),19,S,R,
192,Cal Scolari,RHP,Oregon,22,R,R,ROK
193,Carter Beck,OF,Indiana State,21,L,R,ROK
194,Duncan Marsten,RHP,Wake Forest,21,R,R,
195,Spencer Evans,LHP,TNXL Academy (FL),19,L,L,
196,Eric Segura,RHP,Oregon State,21,R,R,ROK
197,Ryne Barker,SS/3B,Casteel (AZ),19,L,R,ROK
198,Will Plunkett,SS,Mamaroneck (NY),18,R,R,
199,Grayson Willoughby,RHP,Trinity (KY),19,L,R,
200,Gavin Gallaher,2B,North Carolina,21,R,R,
201,Dylan Vigue,RHP,Georgia,22,R,R,
202,Jorvorskie Lane Jr.,OF,Grapevine (TX),18,R,R,
203,Jake Carbaugh,RHP,Plant City (FL),18,R,R,
204,Alex Conover,OF,Oklahoma State,20,L,R,
205,Dominic Voegele,RHP,Kansas,21,R,R,
206,Alain Gomez-Gudino,C,Saguaro (AZ),18,S,R,
207,Robert Omidi,SS/3B,St. Martin (ON),18,L,R,
208,Matt Ponatoski,RHP,Archbishop Moeller (OH),18,L,R,
209,Eric Guevara,3B,Auburn,21,R,R,
210,Aidan Knaak,RHP,Clemson,21,R,R,
211,Ryan Stedman,RHP,Valley (IA),18,R,R,
212,Gannon Grant,RHP,Center Grove (IN),19,R,R,
213,Eric Nachtsheim,RHP,McNeese State,22,R,R,
214,Michael Harpster,RHP,East Tennessee State,21,R,R,
215,Nathan Taylor,RHP,Cincinnati,21,L,R,
216,Grant Govel,RHP,Southern California,21,R,R,
217,Maxx Yehl,LHP,West Virginia,22,L,L,
218,Cal Randall,RHP,UCLA,21,R,R,
219,Bo Rhudy,RHP,Tennessee,21,R,R,
220,Justin LeGuernic,LHP,Clemson,20,R,L,
221,Thomas Burns,RHP,Texas,21,R,R,
222,Brandon McCraine,SS,Auburn,21,R,R,
223,Lucas Moore,OF,Louisville,21,L,R,
224,Ryan Harwood,OF,Casteel (AZ),18,L,R,
225,Nu'u Contrades,2B,Arizona State,22,R,R,
226,Braden Holcomb,OF,Vanderbilt,21,R,R,ROK
227,Cashel Dugger,C,UCLA,20,L,R,
228,Declan Dahl,RHP,Louisiana Tech,21,R,R,
229,Tyler Fay,RHP,Alabama,22,R,R,
230,Micah Worley,LHP,SUNY Stony Brook,22,R,L,
231,Eli Herst,RHP,Seattle Academy (WA),18,R,R,
232,Ben Davis,RHP,Mississippi State,22,R,R,
233,Griffin Long,RHP,Sonoraville (GA),18,R,R,
234,Tyner Horn,RHP,Nebraska,21,L,R,
235,Hudson Calhoun,RHP,Mississippi,21,R,R,
236,Josh McDevitt,RHP,Missouri,22,R,R,
237,Hunter Brown,RHP,North Hunterdon (NJ),18,R,R,
238,Keller Bradley,RHP,Pennsbury (PA),18,R,R,
239,Noah Danza,SS,Gloucester Catholic (NJ),18,R,R,
240,Jon Mora,OF,Somerset Academy (FL),19,L,R,
241,Max Bayles,RHP,Santa Clara,21,R,R,
242,Cole Dennis,RHP,Bishop Snyder (FL),17,R,R,ROK
243,Ricky Ojeda,LHP,UC Irvine,20,L,L,
244,Nathan Aceves,RHP,UC Santa Barbara,21,R,R,
245,Owen Kramkowski,RHP,Arizona,20,R,R,
246,Jerek Turlij,RHP,North East (PA),18,R,R,
247,Gage Peterson,RHP,Appalachian State,21,R,R,
248,Clay Burdette,OF,Xavier,22,R,R,ROK
249,Ethan Surowiec,3B,Florida,21,R,R,
250,Cameron Johnson,LHP,Oklahoma,21,L,L,ROK
