rank,name,position,school,age,bats,throws,current_level
159,Burke-Lee Mabeus,C,Oregon,20,S,R,
160,Joshua Whritenour,RHP,Florida,20,L,R,
161,Charlie Bates,SS,Stanford,20,L,R,
162,Michael Torres,OF,Miami,20,L,L,
163,Khadim Diaw,C,Loyola Marymount,22,R,R,A+
164,Jackson Wentworth,RHP,Kansas State,23,R,R,AA
165,Nate Dohm,RHP,Mississippi State,23,R,R,A+
166,Nick Brink,RHP,Portland,24,R,R,A+
167,Dane Moehler,RHP,Clemson,20,R,R,
168,Aiden Harris,3B,Virginia,19,R,R,
169,Payton Green,SS,Georgia Tech,23,R,R,AA
170,Corey Collins,1B,Georgia,24,L,R,A+
171,Casey Cook,OF,North Carolina,23,L,R,A+
172,Josh Caron,C,Nebraska,22,R,R,A+
173,Émilien Pitre,2B,Kentucky,23,L,R,A+
174,Hunter Hines,1B,Mississippi State,23,L,R,A+
175,Ryan Stafford,C,Cal Poly,23,R,R,A+
176,Ryan Campos,C,Arizona State,23,L,R,AA
177,Brandon Clarke,LHP,State College of Florida,23,L,L,AA
178,Zach Swanson,RHP,Toutle Lake (WA),20,R,R,ROK
179,Travis Smith,RHP,Kentucky,23,R,R,A+
180,Konner Eaton,LHP,George Mason,23,R,L,AA
181,Brady Tygart,RHP,Arkansas,23,R,R,A+
182,Kyle Robinson,RHP,Texas Tech,22,R,R,A+
183,Erik Parker,SS,South Carolina,20,R,R,
184,Sam Stuhr,RHP,Portland,23,R,R,A
185,Luke Sinnard,RHP,Indiana,23,R,R,ROK
186,Jace Souza,OF,Texas Tech,20,L,L,
187,Adam Haight,OF,Oregon State,19,R,R,
188,Jonathan Vastine,SS,Vanderbilt,23,L,R,A+
189,Derek Bender,1B/C,Coastal Carolina,23,R,R,A
190,Jason Flores,RHP,Texas,20,R,R,
191,Cade O'Leary,RHP,Florida State,20,R,R,
192,Bridger Holmes,RHP,Oregon State,23,R,R,A+
193,Brandon Neely,RHP,Florida,22,R,R,A+
194,Ivan Brethowr,OF,UC Santa Barbara,23,R,R,A+
195,Luke Jewett,RHP,UCLA,23,R,R,A
196,Nick Montgomery,C,Cypress (CA),20,R,R,A
197,Matt Conte,C,Wake Forest,21,R,R,
198,Dub Gleed,3B,UC Irvine,23,R,R,A+
199,Jeremiah Jenkins,1B,Maine,23,L,L,A
200,James Nunnallee,C,Mississippi State,20,L,R,
201,Sam Antonacci,2B/3B,Coastal Carolina,23,L,R,MLB
202,Mikey Ryan,SS,North Carolina State,20,R,R,
203,Will Taylor,OF,Clemson,23,R,R,AA
204,Carter Mathison,OF,Indiana,23,L,L,A+
205,Sam Petersen,OF,Iowa,23,R,R,AA
206,Tague Davis,1B/LHP,Louisville,20,L,L,
207,Dennis Colleran Jr.,RHP,Northeastern,22,R,R,AA
208,Ian Fernandez,C,Vintage (CA),20,R,R,
209,Hudson Barton,RHP,Vanderbilt,20,R,R,
210,Charlie Foster,LHP,Mississippi State,20,R,L,
211,Sean Keys,INF,Bucknell,22,L,R,AA
212,Ky McGary,OF,Arizona State,20,R,R,
213,Hunter Cranton,RHP,Kansas,25,R,R,AA
214,Cade Obermueller,LHP,Iowa,22,L,L,A
215,Adrian Areizaga,SS,Miami,19,R,R,
216,Jakob Christian,OF,San Diego,23,R,R,A+
217,Ty Head,OF,North Carolina State,20,L,L,
218,Devin Fitz-Gerald,INF,Stoneman Douglas (FL),20,S,R,A+
219,Nate Knowles,RHP,William & Mary,22,R,R,A
220,Ivan Luciano,C,El Shaddai (PR),19,L,R,A
221,Zach Ehrhard,OF,Oklahoma State,23,R,R,AAA
222,Carson Messina,RHP,Summerville (SC),20,R,R,ROK
223,Brian Holiday,RHP,Oklahoma State,22,R,R,ROK
224,Eli Serrano III,OF,North Carolina State,23,L,L,AA
225,Mason Molina,LHP,Arkansas,22,R,L,AA
226,Greysen Carter,RHP,Vanderbilt,23,S,R,A
227,Smith Bailey,RHP,Arizona,20,R,R,
228,Jacob Jenkins-Cowart,OF,East Carolina,23,L,R,A+
229,Eddie Rynders,3B,Wisconsin Lutheran (WI),20,L,R,A
230,L.P. Langevin,RHP,Louisiana-Lafayette,22,L,R,A+
231,Ethan Bagwell,RHP,Collinsville (IL),20,R,R,A
232,Clark Candiotti,RHP,Arizona,25,R,R,A+
233,Talan Bell,LHP,Clemson,20,L,L,
234,Tytus Cissell,SS,Francis Howell (MO),20,S,R,ROK
235,Bobby Boser,3B/2B/SS,Florida,23,R,R,AA
236,Nathan Flewelling,C,St. Joseph (AB),19,L,R,A+
237,Josiah Romeo,RHP,Mayfield (ON),20,R,R,ROK
238,Jayden Voelker,RHP,Northern Essex CC,23,L,R,A
239,Kyle DeGroat,RHP,Wallkill (NY),20,L,R,ROK
240,Cole Hertzler,RHP,Liberty,22,R,R,A+
241,Cade Crossland,LHP,Oklahoma,22,R,L,A
242,A.J. Causey,RHP,Tennessee,23,R,R,AA
243,Dylan Jordan,RHP,Viera (FL),20,R,R,A
244,Mavrick Rizy,RHP,Louisiana State,21,R,R,
245,Aidan Major,RHP,West Virginia,22,L,R,A
246,Ali Camarillo,SS,Texas A&M,22,R,R,A+
247,Marcus Morgan,RHP,Iowa,23,R,R,A
248,Janzen Keisel,RHP,Oklahoma State,23,R,R,ROK
249,Ryan Andrade,RHP,Pittsburgh,23,R,R,A+
250,Jay Woolfolk,RHP,Virginia,23,R,R,A
