Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Vin Panzarino","MRST",,5,4,5,3,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0.75,"Vin Panzarino","sa3039408",
"Andrew Schroeder","EIU",,3,4,5,3,2,1,0,0,2,3,1,0,0,0,0,0,0,0,0.75,"Andrew Schroeder","sa3041783",
"Cam Careswell","MIZ",20,4,3,4,2,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0.666666666,"Cam Careswell","sa3028424",
"Brenden Franks","PSU",,8,3,4,2,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0.666666666,"Brenden Franks","sa3031640",
"Tim Simay","MISS",,4,3,3,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0.666666666,"Tim Simay","sa3042302",
"Sam Stewart","MER",,4,3,5,2,0,1,0,1,1,3,2,1,0,0,0,0,0,0,0.666666666,"Sam Stewart","sa3043114",
"Andre Vidal","PAC",,3,3,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0.666666666,"Andre Vidal","sa3044480",
"Will Grimm","LMU",21,11,5,7,3,2,1,0,0,1,3,1,1,0,1,0,0,0,0,0.6,"Will Grimm","sa3032740",
"Max Malley","EVAN",,7,5,5,3,1,1,0,1,2,2,0,1,0,0,0,0,1,1,0.6,"Max Malley","sa3036919",
"KJ Brooks","UMES",,2,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,"KJ Brooks","sa3027761",
"Ethan Butler","SELA",,2,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"Ethan Butler","sa3028161",
"David Cromer","SC",,8,4,5,2,2,0,0,0,0,2,1,1,0,0,0,1,0,0,0.5,"David Cromer","sa3029579",
"Jeb Despard","STET",20,13,2,5,1,1,0,0,0,4,1,2,1,1,0,0,0,1,0,0.5,"Jeb Despard","sa3030202",
"Taber Fast","TTU",,16,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"Taber Fast","sa3031181",
"Kimo Fukofuka","SJSU",22,3,2,3,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0.5,"Kimo Fukofuka","sa3031760",
"Evan Harris","DSU",22,20,2,3,1,1,0,0,0,3,1,0,1,1,0,0,0,1,0,0.5,"Evan Harris","sa3033273",
"Kaden Hilburger","BRY",19,12,2,2,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0.5,"Kaden Hilburger","sa3033801",
"Aiden Hinds","BALL",,9,8,11,4,3,0,0,1,1,2,1,2,2,0,0,0,0,0,0.5,"Aiden Hinds","sa3033854",
"Zac Jones","BALL",20,4,2,2,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5,"Zac Jones","sa3034926",
"Ryan Kilpatrick","NKU",,17,2,4,1,1,0,0,0,9,0,2,0,0,0,0,0,4,2,0.5,"Ryan Kilpatrick","sa3035366",
"Lawson Knight","KSU",20,6,2,2,1,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0.5,"Lawson Knight","sa3035546",
"Drew Kron","CONN",19,19,8,9,4,4,0,0,0,7,3,1,2,0,0,0,1,1,1,0.5,"Drew Kron","sa3035731",
"Tyler Legendre","TXSO",,5,4,4,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0.5,"Tyler Legendre","sa3036177",
"Dan Maglio","MONM",20,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"Dan Maglio","sa3036854",
"Angel Maldonado","MVSU",,2,2,3,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0.5,"Angel Maldonado","sa3036899",
"James Marino","QUIN",,2,2,3,1,1,0,0,0,2,2,1,0,0,0,0,0,0,0,0.5,"James Marino","sa3037046",
"Chris Markovich","BC",20,7,2,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.5,"Chris Markovich","sa3037061",
"Cade McGarrh","TTU",,10,4,4,2,2,0,0,0,3,2,0,2,0,0,0,0,0,0,0.5,"Cade McGarrh","sa3037584",
"Tim McHugh","FIU",,4,2,2,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0.5,"Tim McHugh","sa3037629",
"Carter Newman","VT",19,9,4,5,2,1,0,0,1,2,3,1,1,0,0,0,0,0,0,0.5,"Carter Newman","sa3038807",
"Christian Peluso","WAG",,4,4,4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,"Christian Peluso","sa3039653",
"Kyle Pollack","MRST",,3,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,"Kyle Pollack","sa3040049",
"Pryor Thomas","HARV",,9,2,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,"Pryor Thomas","sa3043724",
"Chris Veach","SC",,25,4,4,2,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0.5,"Chris Veach","sa3044409",
"David Watson","LMU",,16,4,6,2,2,0,0,0,2,2,1,0,1,0,0,0,0,0,0.5,"David Watson","sa3044856",
"Jason Torres","MIA",19,18,36,38,17,10,3,1,3,10,11,1,7,1,0,0,4,0,0,0.472222222,"Jason Torres","sa3043962",
"Ryan Miller","TENN",20,12,11,17,5,1,1,0,3,8,9,5,2,1,0,0,0,0,0,0.454545454,"Ryan Miller","sa3038087",
"Aaron Posey","KENN",,8,20,22,9,7,2,0,0,3,7,2,6,0,0,0,0,0,0,0.45,"Aaron Posey","sa3040110",
"JJ Wetherholt","WVU",20,55,225,268,101,59,24,2,16,67,60,26,22,11,5,1,2,36,8,0.448888888,"JJ Wetherholt","sa3025154",802139
"Nolan Schanuel","FAU",21,59,197,289,88,47,18,4,19,70,64,71,14,18,2,1,11,14,1,0.446700507,"Nolan Schanuel","33189",694384
"Hunter Havekost","KENT",,9,9,11,4,2,2,0,0,3,3,2,2,0,0,0,1,0,0,0.444444444,"Hunter Havekost","sa3033413",
"Andrew Jimenez","MILW",20,10,9,10,4,4,0,0,0,2,1,0,3,1,0,0,0,0,0,0.444444444,"Andrew Jimenez","sa3034691",
"Collin Loupe","UNO",,8,9,9,4,4,0,0,0,2,2,0,1,0,0,0,0,0,0,0.444444444,"Collin Loupe","sa3036582",
"Chet Sikes","NCAT",,5,16,19,7,7,0,0,0,4,4,3,3,0,0,0,1,2,0,0.4375,"Chet Sikes","sa3042279",
"Dylan Ditzenberger","UNM",,37,135,154,59,47,9,1,2,42,27,15,19,0,1,3,1,6,0,0.437037037,"Dylan Ditzenberger","sa3030378",
"Hayden Christiansen","XAV",19,14,39,43,17,13,2,0,2,9,6,4,6,0,0,0,0,0,0,0.435897435,"Hayden Christiansen","sa3028892",
"Jorge De Goti","IU",20,6,7,7,3,2,1,0,0,1,1,0,2,0,0,0,0,0,0,0.428571428,"Jorge De Goti","sa3030030",
"Caleb Herd","UNM",19,9,7,9,3,2,1,0,0,3,1,2,1,0,0,0,0,0,0,0.428571428,"Caleb Herd","sa3033662",
"Dylan Kim","YALE",22,6,7,7,3,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0.428571428,"Dylan Kim","sa3035372",
"Tony Santa Maria","RUTG",21,5,7,7,3,3,0,0,0,2,2,0,4,0,0,0,0,2,0,0.428571428,"Tony Santa Maria","sa3041543",811948
"Dylan Crews","LSU",21,71,258,344,110,74,16,2,18,100,70,71,46,14,1,0,5,6,0,0.426356589,"Dylan Crews","33541",686611
"Sam Kulasingam","AFA",21,59,235,294,100,62,28,4,6,71,51,50,24,8,1,0,5,6,4,0.425531914,"Sam Kulasingam","sa3025316",814528
"Kerrigan Edmonson","ALST",,25,26,30,11,8,2,0,1,9,11,2,5,1,1,0,1,1,0,0.423076923,"Kerrigan Edmonson","sa3030793",
"Tyler Davis","SHSU",,63,253,290,107,75,21,4,7,67,60,32,31,3,1,1,7,14,1,0.422924901,"Tyler Davis","sa3029942",
"Daalen Adderley","TXSO",21,51,178,229,75,52,16,1,6,65,42,33,29,16,2,0,2,17,4,0.421348314,"Daalen Adderley","sa3025774",
"Austin Deming","BYU",23,41,165,192,69,26,23,1,19,50,68,20,29,4,3,0,2,1,1,0.418181818,"Austin Deming","sa3022813",801471
"Ryan McDonald","SDST",,36,127,174,53,24,10,2,17,46,39,37,33,10,0,0,2,11,1,0.417322834,"Ryan McDonald","sa3037557",
"Max Anderson","NEB",21,57,244,269,101,58,20,2,21,51,70,20,29,3,2,0,10,0,0,0.413934426,"Max Anderson","sa3022567",801194
"Robbie Ayers","LMU",21,18,29,35,12,9,3,0,0,3,6,4,5,1,0,1,0,0,0,0.413793103,"Robbie Ayers","sa3026339",
"Max Dias","UNO",22,13,29,34,12,5,6,0,1,10,8,4,8,1,0,0,1,0,0,0.413793103,"Max Dias","sa3030249",
"Billy Amick","CLEM",20,46,167,192,69,37,17,2,13,37,63,13,32,7,5,0,0,2,0,0.413173652,"Billy Amick","sa3025249",701771
"AJ Donofrio","FAIR",22,25,51,63,21,13,3,0,5,14,14,7,7,4,1,0,2,0,0,0.411764705,"AJ Donofrio","sa3030466",
"Jonah Cox","ORU",21,66,277,317,114,79,16,8,11,69,68,30,53,3,3,4,5,28,4,0.411552346,"Jonah Cox","sa3022541",813841
"Jacob Wilson","GCU",21,49,192,217,79,52,17,4,6,41,61,19,5,2,4,0,7,8,1,0.411458333,"Jacob Wilson","33266",805779
"Hunter DAmato","FDU",21,53,207,245,85,67,11,1,6,56,56,27,25,4,3,4,4,28,8,0.410628019,"Hunter DAmato","sa3029801",
"Jesse Sherrill","GASO",,55,220,279,90,76,11,3,0,62,35,30,25,15,4,10,0,6,2,0.409090909,"Jesse Sherrill","sa3042166",
"Aidan Longwell","KENT",21,58,230,277,94,59,23,2,10,60,75,27,23,12,7,1,0,5,1,0.408695652,"Aidan Longwell","sa3022574",815067
"Yohandy Morales","MIA",21,61,240,278,98,65,13,0,20,58,70,30,55,4,4,0,12,7,3,0.408333333,"Yohandy Morales","sa3022672",691002
"Kyle Teel","UVA",21,65,258,297,105,67,25,0,13,67,69,32,36,4,3,0,5,5,1,0.406976744,"Kyle Teel","33549",691019
"Kevin Dubrule","ARMY",,56,227,264,92,63,19,1,9,52,68,18,12,8,7,4,6,2,2,0.405286343,"Kevin Dubrule","sa3030593",
"Jeron Williams","TOL",22,55,238,277,96,62,16,4,14,67,48,22,37,10,4,3,1,49,4,0.403361344,"Jeron Williams","sa3022566",700784
"Sam Mongelli","SHU",22,55,241,287,97,58,16,3,20,81,54,30,31,14,0,2,1,22,3,0.402489626,"Sam Mongelli","sa3022511",815044
"Jayden Kiernan","UTAH",22,44,184,210,74,58,11,0,5,35,32,16,16,7,2,1,8,4,1,0.402173913,"Jayden Kiernan","sa3035348",
"Brandon Pimentel","RGV",,56,214,253,86,58,9,0,19,52,73,29,42,8,2,0,5,10,3,0.401869158,"Brandon Pimentel","sa3039930",
"Joe Redfield","SHSU",21,61,249,300,100,63,19,3,15,81,56,34,34,10,4,3,2,15,4,0.401606425,"Joe Redfield","sa3022439",812470
"Mike Boeve","OMA",21,47,167,211,67,48,15,0,4,37,32,32,9,9,3,0,3,6,0,0.401197604,"Mike Boeve","sa3022658",801670
"Brock Vradenburg","MSU",21,55,215,263,86,47,22,4,13,62,69,36,34,7,4,1,3,1,0,0.4,"Brock Vradenburg","sa3022537",802544
"Michael Anquillare","STBK",20,10,15,16,6,5,1,0,0,1,2,0,3,1,0,0,0,0,1,0.4,"Michael Anquillare","sa3026109",
"Sullivan Brackin","COFC",19,5,5,5,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0.4,"Sullivan Brackin","sa3027541",
"Peyton Carr","HPU",21,1,5,5,2,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0.4,"Peyton Carr","sa3028487",804726
"Maximus DAlessandro","FDU",,8,10,12,4,2,0,0,2,3,4,1,3,1,0,0,0,1,0,0.4,"Maximus DAlessandro","sa3029786",
"Mason Duke","ALCN",,6,15,19,6,5,1,0,0,3,0,1,5,3,0,0,0,1,0,0.4,"Mason Duke","sa3030637",
"Victor Figueroa","MVSU",19,52,175,204,70,49,11,2,8,41,47,25,29,4,0,0,2,14,5,0.4,"Victor Figueroa","sa3031322",809372
"Cullen Hannigan","RICE",,7,5,7,2,2,0,0,0,1,0,1,3,1,0,0,0,1,0,0.4,"Cullen Hannigan","sa3033145",
"Mason Heiskell","PV",,11,15,17,6,5,1,0,0,5,3,2,4,0,0,0,0,2,0,0.4,"Mason Heiskell","sa3033549",
"Eli Kirkendoll","MORE",,7,5,6,2,1,1,0,0,0,0,0,2,1,0,0,0,0,0,0.4,"Eli Kirkendoll","sa3035445",
"Matt Masciangelo","CSUB",22,20,20,27,8,8,0,0,0,2,4,6,5,1,0,0,0,0,0,0.4,"Matt Masciangelo","sa3037239",
"Kaden Petersen","PAC",,17,35,47,14,12,1,0,1,6,7,3,9,8,0,1,0,0,0,0.4,"Kaden Petersen","sa3039782",
"Charlie Pagliarini","FAIR",22,55,208,271,83,41,14,4,24,65,97,49,68,11,3,0,2,14,1,0.399038461,"Charlie Pagliarini","sa3022487",813860
"Ben Nemivant","PAC",,48,201,222,80,59,18,1,2,33,36,13,21,6,2,0,4,5,3,0.39800995,"Ben Nemivant","sa3038768",
"Javon Hernandez","JVST",22,56,224,266,89,68,11,3,7,59,49,33,29,5,3,1,5,11,1,0.397321428,"Javon Hernandez","sa3033678",
"Griff O'Ferrall","UVA",20,65,273,313,108,85,20,2,1,76,42,29,38,3,4,4,4,16,2,0.395604395,"Griff O'Ferrall","sa3025409",803172
"Ben Luckett","ALCN",,17,33,42,13,11,1,0,1,5,6,6,11,2,1,0,1,1,0,0.393939393,"Ben Luckett","sa3036648",
"Anthony Martinez","UCI",19,55,231,280,91,61,19,0,11,54,60,25,27,16,8,0,8,0,1,0.393939393,"Anthony Martinez","sa3037212",814452
"Tommy Troy","STAN",21,58,249,293,98,60,17,4,17,76,58,35,42,7,2,0,5,17,3,0.393574297,"Tommy Troy","sa3022561",694371
"Jonah Oster","CAM",20,22,28,38,11,10,0,0,1,6,6,6,7,3,1,0,1,0,0,0.392857142,"Jonah Oster","sa3039252",
"Angelo Dispigna","GT",,57,219,273,86,58,12,0,16,60,58,46,52,7,1,0,1,8,2,0.392694063,"Angelo Dispigna","sa3030373",
"Reed Chumley","HCU",22,40,158,179,62,32,19,0,11,38,36,15,36,5,1,0,2,1,1,0.392405063,"Reed Chumley","sa3028911",
"Joey Loynd","DEL",21,59,250,282,98,54,27,3,14,63,80,29,47,1,2,0,7,4,1,0.392,"Joey Loynd","sa3036620",
"Ryan Cesarini","JOES",20,52,199,239,78,51,17,2,8,49,56,26,31,7,4,3,2,12,1,0.391959798,"Ryan Cesarini","sa3025440",825761
"Peyton Holt","ARK",22,31,74,88,29,21,4,2,2,24,17,9,13,5,0,0,4,6,0,0.391891891,"Peyton Holt","sa3034028",
"Nick Iannatone","ETSU",22,48,171,200,67,48,13,3,3,40,27,23,25,4,1,1,1,2,0,0.391812865,"Nick Iannatone","sa3034396",
"Justin Starke","VMI",,55,212,263,83,53,15,2,13,62,52,39,44,6,6,0,2,32,6,0.391509433,"Justin Starke","sa3042965",
"Ben Williamson","W&M",22,55,210,263,82,54,11,5,12,57,49,40,22,13,0,0,4,14,1,0.39047619,"Ben Williamson","33197",810938
"Nich Klemp","PORT",,51,213,237,83,52,25,0,6,56,45,17,25,6,0,1,2,3,0,0.389671361,"Nich Klemp","sa3035498",
"Jackson Green","ETSU",,10,18,21,7,5,2,0,0,5,3,2,6,0,0,1,1,2,0,0.388888888,"Jackson Green","sa3032661",
"Paul Tammaro","CONN",23,36,90,116,35,25,6,0,4,19,16,13,12,9,1,3,1,6,1,0.388888888,"Paul Tammaro","sa3043496",
"Keaton Anthony","IOWA",22,43,157,198,61,30,22,0,9,51,38,24,22,15,2,0,0,1,0,0.388535031,"Keaton Anthony","sa3026113",
"Zac Vooletich","TTU",23,39,134,149,52,37,10,2,3,28,15,11,15,3,1,0,3,2,1,0.388059701,"Zac Vooletich","sa3044568",
"Cam Cannarella","CLEM",19,59,250,290,97,71,16,3,7,72,47,33,39,4,3,0,6,24,5,0.388,"Cam Cannarella","sa3028360",703448
"Ryan Campos","ASU",20,44,160,199,62,46,7,1,8,47,24,35,17,3,1,0,3,4,1,0.3875,"Ryan Campos","sa3025151",701481
"Treyson Hughes","MER",21,58,222,279,86,60,15,0,11,74,52,47,35,7,2,1,5,9,2,0.387387387,"Treyson Hughes","sa3034273",
"Antonio Valdez","UTSA",,57,222,272,86,51,15,7,13,64,65,38,39,7,4,1,4,17,5,0.387387387,"Antonio Valdez","sa3044280",
"Ty Hill","JKST",,52,181,244,70,44,16,4,6,53,53,51,29,6,6,0,0,9,6,0.386740331,"Ty Hill","sa3033836",
"Ryan Wilson","DAV",21,54,194,259,75,41,17,0,17,70,54,33,23,30,2,0,4,8,3,0.386597938,"Ryan Wilson","sa3023141",801698
"Austin Brinling","UNF",,52,202,253,78,55,18,2,3,60,31,36,20,11,1,3,2,20,2,0.386138613,"Austin Brinling","sa3027703",
"Charlie Condon","UGA",20,56,210,254,81,45,10,1,25,61,67,33,45,9,2,0,6,0,0,0.385714285,"Charlie Condon","sa3025257",809707
"Cameron Sisneros","ETSU",22,54,210,246,81,47,18,0,16,45,59,29,24,7,0,0,5,3,0,0.385714285,"Cameron Sisneros","sa3025564",815133
"Jack Hay","ALST",22,56,221,265,85,64,10,1,10,55,61,36,37,4,4,0,7,0,0,0.384615384,"Jack Hay","sa3033443",
"Monray Van Der Walt","LAM",,8,13,17,5,4,1,0,0,3,2,3,4,1,0,0,0,0,0,0.384615384,"Monray Van Der Walt","sa3044340",
"Alberto Rios","STAN",21,63,242,293,93,51,24,0,18,69,73,38,42,11,2,0,7,5,1,0.38429752,"Alberto Rios","sa3022441",814362
"Colton Kucera","NKU",21,47,164,205,63,48,13,2,0,42,29,29,37,9,0,3,1,7,5,0.384146341,"Colton Kucera","sa3035760",
"Eddie Micheletti Jr.","GW",21,55,224,262,86,60,18,2,6,46,48,28,19,6,3,1,5,8,0,0.383928571,"Eddie Micheletti Jr.","sa3025311",804446
"DJ Newman","BGSU",19,41,107,132,41,33,5,2,1,28,11,20,23,2,2,1,4,9,2,0.38317757,"DJ Newman","sa3038808",823775
"Ryan Galanie","WOF",23,58,230,279,88,56,15,0,17,73,66,40,39,9,0,0,2,19,5,0.382608695,"Ryan Galanie","sa3022759",814436
"Bayram Hot","MRST",19,50,191,222,73,54,14,3,2,47,37,21,28,5,5,0,3,11,1,0.382198952,"Bayram Hot","sa3034135",
"Ryan Vogel","BRAD",22,48,191,228,73,51,14,2,6,43,31,22,21,7,2,6,0,20,7,0.382198952,"Ryan Vogel","sa3044547",
"Dom Patrizi","LEH",19,37,97,113,37,32,5,0,0,25,14,11,23,2,0,3,0,6,0,0.381443298,"Dom Patrizi","sa3039536",
"Lenny Junior Ashby","UNM",23,51,210,244,80,53,18,0,9,46,51,26,25,5,3,0,6,0,1,0.38095238,"Lenny Junior Ashby","sa3026262",
"Johnny Hipsman","RICH",23,54,226,256,86,48,25,1,12,50,55,22,20,3,5,0,1,9,1,0.380530973,"Johnny Hipsman","sa3033871",
"Nick White","ME",23,24,71,87,27,18,6,0,3,17,13,11,13,3,1,1,1,0,1,0.38028169,"Nick White","sa3045130",
"James Quinn-Irons","GMU",20,37,137,154,52,42,6,0,4,37,32,9,25,6,2,0,3,10,3,0.379562043,"James Quinn-Irons","sa3040344",833397
"Robbie Burnett","UNCA",20,38,145,177,55,29,10,3,13,48,35,24,30,7,1,0,0,11,1,0.379310344,"Robbie Burnett","sa3028080",
"Justin Murray","HOU",,57,219,250,83,59,11,2,11,51,58,17,44,5,8,1,4,20,9,0.378995433,"Justin Murray","sa3038605",
"Nick Lorusso","MD",22,61,264,303,100,52,20,2,26,74,105,34,46,1,4,0,4,3,0,0.378787878,"Nick Lorusso","sa3022810",700681
"Ali Lapread","ALST",23,42,140,164,53,29,10,1,13,42,39,17,25,6,0,1,5,5,0,0.378571428,"Ali Lapread","sa3035979",
"Alexander Olivo","TXSO",,52,177,228,67,36,17,1,13,45,68,34,40,12,4,1,0,3,0,0.378531073,"Alexander Olivo","sa3039116",
"Xane Washington","NICH",23,57,222,275,84,58,18,4,4,51,46,32,43,15,4,2,0,16,3,0.378378378,"Xane Washington","sa3044832",
"Kodey Shojinaga","KU",20,53,196,217,74,57,11,0,6,41,32,16,25,1,3,1,7,0,0,0.37755102,"Kodey Shojinaga","sa3025412",809975
"Decker Scheffler","BALL",,57,196,233,74,50,13,3,8,46,49,23,23,8,5,1,1,5,1,0.37755102,"Decker Scheffler","sa3041681",
"Albert Choi","NJIT",22,13,53,57,20,14,1,3,2,7,10,4,11,0,0,0,0,7,2,0.37735849,"Albert Choi","sa3028863",
"Connor Tate","UGA",,56,220,257,83,48,19,0,16,59,54,30,45,5,2,0,8,7,2,0.377272727,"Connor Tate","sa3043519",
"Max Ryerson","GAST",,53,202,247,76,50,6,0,20,54,52,29,51,14,2,0,5,1,0,0.376237623,"Max Ryerson","sa3041382",
"Daniel Dickinson","UVU",19,54,218,248,82,53,19,1,9,59,42,22,32,6,1,1,8,10,2,0.376146788,"Daniel Dickinson","sa3030286",823658
"Wehiwa Aloy","SAC",19,56,234,261,88,54,15,5,14,69,46,15,44,8,3,1,11,2,1,0.376068376,"Wehiwa Aloy","sa3025961",814450
"Reyce Curnane","TOW",,41,165,198,62,35,13,2,12,35,40,21,48,11,1,0,0,3,1,0.375757575,"Reyce Curnane","sa3029709",
"Kristian Campbell","GT",21,45,173,217,65,44,16,1,4,50,24,29,17,11,4,0,5,4,2,0.375722543,"Kristian Campbell","33644",692225
"Kemp Alderman","MISS",20,54,213,243,80,47,14,0,19,44,61,26,41,1,3,0,3,5,1,0.375586854,"Kemp Alderman","sa3022562",694580
"Ethan Petry","SC",19,63,221,276,83,50,10,0,23,55,75,33,59,14,8,0,5,4,2,0.37556561,"Ethan Petry","sa3039828",701337
"Josh Kross","EMU",20,52,229,252,86,53,18,0,15,43,70,13,26,10,0,0,7,1,4,0.375545851,"Josh Kross","sa3025158",811339
"Tyler Halstead","CAM",,58,237,284,89,66,15,4,4,64,38,24,30,14,4,5,1,32,4,0.375527426,"Tyler Halstead","sa3033058",
"Nick Bisaccia","HALL",19,4,8,8,3,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0.375,"Nick Bisaccia","sa3027171",
"Cam Bryant","HC",19,3,8,8,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0.375,"Cam Bryant","sa3027922",
"Gavin Ducker","W&M",,6,8,12,3,2,1,0,0,3,1,3,3,1,0,0,0,0,0,0.375,"Gavin Ducker","sa3030598",
"Will Gersky","RICH",23,6,8,10,3,2,1,0,0,0,2,2,3,0,0,0,0,0,0,0.375,"Will Gersky","sa3032150",
"Dawsen Hall","BYU",,17,24,30,9,6,1,1,1,9,6,6,4,0,0,0,0,1,1,0.375,"Dawsen Hall","sa3033017",
"Patrick Herrera","UK",21,12,8,8,3,3,0,0,0,5,0,0,2,0,0,0,0,0,0,0.375,"Patrick Herrera","sa3033702",
"Bryce Jeske","ELON",,10,8,11,3,1,1,1,0,2,2,3,1,0,0,0,0,0,0,0.375,"Bryce Jeske","sa3034673",
"Matthew Lee","CSUB",21,14,8,11,3,2,1,0,0,2,1,3,4,0,0,0,0,2,0,0.375,"Matthew Lee","sa3036162",
"Rodrigo Montenegro","USM",,43,104,137,39,33,6,0,0,21,16,23,14,7,2,1,3,1,0,0.375,"Rodrigo Montenegro","sa3038250",
"Max Palmieri","CIN",,6,16,16,6,4,0,0,2,5,3,0,3,0,0,0,2,3,0,0.375,"Max Palmieri","sa3039391",
"Grayson Tatrow","ACU",23,58,208,256,78,36,14,3,25,65,68,43,58,2,3,0,3,9,6,0.375,"Grayson Tatrow","sa3043527",
"Ethan Anderson","UVA",19,65,259,308,97,56,26,0,15,71,66,42,32,5,1,1,10,3,1,0.374517374,"Ethan Anderson","sa3025410",803175
"Sam Brown","WSU",21,52,187,241,70,38,19,2,11,38,58,27,33,19,8,0,3,5,1,0.37433155,"Sam Brown","sa3023367",694848
"Jack Payton","LOU",21,48,179,214,67,44,10,1,12,43,41,22,41,12,1,0,3,8,3,0.374301675,"Jack Payton","sa3022675",694552
"Payton Eeles","CCU",,63,246,319,92,71,17,0,4,74,43,45,34,20,3,5,5,42,6,0.373983739,"Payton Eeles","sa3030825",
"Travis Bazzana","ORST",20,61,238,306,89,55,20,3,11,78,55,59,47,3,2,4,2,36,3,0.373949579,"Travis Bazzana","sa3025129",683953
"Tommy White","LSU",20,66,273,310,102,54,24,0,24,64,105,23,41,9,5,0,9,0,0,0.373626373,"Tommy White","sa3025383",695720
"Max Giordano","NIA",23,47,174,214,65,35,12,2,16,51,54,29,44,9,2,0,0,10,3,0.373563218,"Max Giordano","sa3032274",
"Wyatt Langford","FLA",21,64,236,303,88,36,28,3,21,83,57,56,44,7,4,0,1,9,1,0.372881355,"Wyatt Langford","33333",694671
"Devin Hurdle","OMA",23,42,161,180,60,44,9,2,5,25,29,14,26,2,2,1,3,4,2,0.372670807,"Devin Hurdle","sa3034341",
"Gunner Gouldsmith","SAC",21,28,102,116,38,31,3,1,3,27,15,13,15,1,0,0,1,3,0,0.372549019,"Gunner Gouldsmith","sa3032524",802005
"Ty Jackson","FAMU",21,53,204,249,76,59,8,5,4,65,30,32,31,8,1,4,0,9,0,0.372549019,"Ty Jackson","sa3034522",
"Cason Tollett","ARST",,15,51,54,19,14,2,0,3,8,17,2,14,0,1,0,0,0,0,0.372549019,"Cason Tollett","sa3043898",
"Michael Dattalo","NWST",19,56,223,262,83,57,18,0,8,44,39,27,20,7,5,0,7,2,2,0.372197309,"Michael Dattalo","sa3029852",809633
