Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Ryan Nutley","LAS",,7,6,10,1,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0.166666666,"Ryan Nutley","sa3038975",
"Andrew Papantonis","HOU",22,16,30,38,5,4,1,0,0,5,1,5,8,3,0,0,0,3,0,0.166666666,"Andrew Papantonis","sa3039411",
"Drake Pierson","CAM",,5,6,6,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.166666666,"Drake Pierson","sa3039910",
"Chris Prentiss","LR",,11,36,38,6,6,0,0,0,4,1,0,9,2,0,0,2,3,0,0.166666666,"Chris Prentiss","sa3040181",
"Bryce Ray","MORE",,9,18,20,3,3,0,0,0,3,1,0,12,2,0,0,0,0,0,0.166666666,"Bryce Ray","sa3040485",
"Kevin Reilly","BING",20,16,42,53,7,6,0,0,1,5,6,8,14,2,0,1,0,0,0,0.166666666,"Kevin Reilly","sa3040584",
"Drew Reishman","EIU",,7,6,6,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0.166666666,"Drew Reishman","sa3040600",
"Brooks Rikeman","JAX",,10,12,13,2,2,0,0,0,2,0,1,3,0,0,0,0,0,0,0.166666666,"Brooks Rikeman","sa3040759",
"Alec Rodriguez","JOES",20,13,6,7,1,1,0,0,0,1,0,1,4,0,0,0,0,0,0,0.166666666,"Alec Rodriguez","sa3040959",
"Nic Roes","SIUE",,6,6,6,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.166666666,"Nic Roes","sa3041024",
"Gregory Ryan","VCU",,18,18,22,3,2,0,0,1,4,10,2,9,0,0,2,0,0,0,0.166666666,"Gregory Ryan","sa3041369",
"Jordan Sagedahl","SDST",19,41,84,103,14,12,1,0,1,10,10,9,35,7,2,1,1,0,0,0.166666666,"Jordan Sagedahl","sa3041412",
"Iankel Santos","MVSU",,12,30,35,5,3,1,0,1,3,1,4,14,0,0,1,0,1,1,0.166666666,"Iankel Santos","sa3041554",
"Chris Seng","LOU",22,19,6,6,1,1,0,0,0,4,0,0,1,0,0,0,0,2,2,0.166666666,"Chris Seng","sa3041988",
"Ryan Sepede","BYU",21,4,6,6,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0.166666666,"Ryan Sepede","sa3041993",
"Riley Swenson","MINN",,8,12,14,2,2,0,0,0,1,0,2,6,0,0,0,0,0,0,0.166666666,"Riley Swenson","sa3043408",
"James Walton","MVSU",,4,6,6,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0.166666666,"James Walton","sa3044759",
"Jacob Weiss","PAC",19,5,6,7,1,1,0,0,0,1,0,1,4,0,0,0,0,0,0,0.166666666,"Jacob Weiss","sa3044970",
"Dalton Williams","APP",,29,60,71,10,7,1,0,2,4,9,7,26,2,2,0,1,1,0,0.166666666,"Dalton Williams","sa3045278",
"Drew Woodcox","TTU",19,20,36,45,6,4,0,0,2,6,7,4,19,4,1,0,1,0,0,0.166666666,"Drew Woodcox","sa3045554",
"Johnathan Yandrich","MVSU",,6,18,18,3,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0.166666666,"Johnathan Yandrich","sa3045674",
"Korey Singh","NORF",,36,109,118,18,10,1,0,7,9,28,7,45,0,2,0,2,1,1,0.165137614,"Korey Singh","sa3042355",
"Alex Sica","HOF",,26,85,100,14,10,4,0,0,2,13,11,37,2,2,0,3,0,0,0.164705882,"Alex Sica","sa3042251",
"Wesley Faison","TXST",,31,79,92,13,5,5,1,2,14,9,11,32,2,0,0,0,0,0,0.164556962,"Wesley Faison","sa3031130",
"Pacen Hayes","UVU",,27,73,83,12,9,1,0,2,8,5,8,35,1,1,0,0,0,0,0.164383561,"Pacen Hayes","sa3033454",
"Duncan Hewitt","BUT",,23,73,82,12,7,4,0,1,7,6,8,29,1,0,0,2,1,0,0.164383561,"Duncan Hewitt","sa3033744",
"Carson Husmann","BRAD",20,21,55,66,9,8,0,0,1,10,9,7,25,2,1,1,0,1,0,0.163636363,"Carson Husmann","sa3034355",
"Nick Ortega","BUT",,30,55,64,9,6,3,0,0,5,2,8,18,0,0,1,1,2,0,0.163636363,"Nick Ortega","sa3039211",
"Brandon Austin","TOW",,36,98,122,16,8,4,1,3,11,12,16,34,4,2,2,1,0,1,0.163265306,"Brandon Austin","sa3026307",
"Tony Jenkins","MIA",,39,98,118,16,14,2,0,0,12,14,13,24,4,2,1,1,1,2,0.163265306,"Tony Jenkins","sa3034645",
"Garrett Browder","DAV",,40,80,106,13,9,3,0,1,10,7,13,15,7,0,6,2,0,0,0.1625,"Garrett Browder","sa3027789",
"Drew Sims","UVU",22,40,117,139,19,15,2,0,2,12,15,14,24,4,4,0,3,0,0,0.162393162,"Drew Sims","sa3042347",
