Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"John Daly","ALB",,205,0.107317073,0.224390243,0.478260869,0.297142857,0.387254901,0.497142857,0.884397758,0.2,8.54600042134595,0.373015873,0.41572529496625066,37.02897080762564,4.656036138369431,0.4018383175134659,114.38249632274196,"John Daly","sa3029799",
"Matt Ryan","UMBC",19,145,0.144827586,0.268965517,0.538461538,0.273504273,0.402777777,0.452991452,0.855769229,0.179487179,6.596408940992406,0.389610389,-1.7186773959547281,26.183910944829034,3.285981544623419,0.401786242508226,114.35056195340489,"Matt Ryan","sa3041376",
"Mitchell Smith","UNCG",22,278,0.115107913,0.176258992,0.653061224,0.323529411,0.411552346,0.474789915,0.886342261,0.151260504,5.390127657022292,0.393617021,-0.022107903379946947,54.69653439692653,6.860039712707167,0.4082158877100755,114.3405986537935,"Mitchell Smith","sa3042606",
"Fenwick Trimble","JMU",19,241,0.116182572,0.244813278,0.474576271,0.276381909,0.381742738,0.442211055,0.823953793,0.165829146,2.594122704768319,0.347826086,-0.9379240833222866,40.81725529495475,5.095620564258072,0.3794907734601824,114.26480227647377,"Fenwick Trimble","sa3025202",814458
"Reid Bourque","MCN",24,247,0.170040485,0.133603238,1.272727272,0.276041666,0.418032786,0.40625,0.824282786,0.130208334,8.23301257110717,0.310126582,3.465593170025386,45.17459527163956,5.634938140802117,0.3989689924189302,114.2513581292726,"Reid Bourque","sa3027461",
"Matt Kemp","UNCG",20,87,0.103448275,0.333333333,0.310344827,0.323943661,0.435294117,0.408450704,0.843744821,0.084507043,4.7559395616278355,0.536585365,-0.6696786037646234,17.102155864608083,2.131742060553822,0.4080354788724114,114.23970030792674,"Matt Kemp","sa3035242",
"Ryan Johnson","PEPP",21,225,0.102222222,0.342222222,0.298701298,0.252631578,0.36,0.47368421,0.83368421,0.221052632,3.849852510668714,0.361904761,-0.16362692299298942,36.415785832068934,4.532444385550036,0.3816033461358812,114.21571322175485,"Ryan Johnson","sa3022569",802459
"Peyton Lewis","TXST",,180,0.122222222,0.15,0.814814814,0.29054054,0.411111111,0.439189189,0.8503003,0.148648649,4.352284536430478,0.324786324,-0.4868161380290985,32.49664380192404,4.031400223966889,0.3987924231423272,114.16253548973214,"Peyton Lewis","sa3036309",
"Jay Harry","PSU",19,244,0.094262295,0.098360655,0.958333333,0.333333333,0.413934426,0.469483568,0.883417994,0.136150235,5.060334583658288,0.356756756,-1.1868236204609275,47.25318445740852,5.85758014498863,0.4074727572867128,114.15024672856676,"Jay Harry","sa3022607",803385
"Dylan Bacot","UNCA",,224,0.120535714,0.200892857,0.6,0.266304347,0.388392857,0.429347826,0.817740683,0.163043479,6.59692796705964,0.333333333,0.5436649695329834,38.912478564314405,4.813303587965528,0.3908642035509859,114.11560130502872,"Dylan Bacot","sa3026371",
"Brian Hart","MRST",,203,0.073891625,0.187192118,0.394736842,0.301675977,0.359605911,0.502793296,0.862399207,0.201117319,9.384487077285986,0.356643356,2.3241706313565373,34.489255431708415,4.264179367240982,0.38501081912975593,114.10808481720896,"Brian Hart","sa3033319",
"Jack Payton","LOU",20,296,0.108108108,0.172297297,0.62745098,0.3503937,0.428571428,0.503937007,0.932508435,0.153543307,5.5942431818031615,0.420792079,-0.49453308153897524,60.950857307791786,7.530518557906224,0.4174628738237887,114.09672558080206,"Jack Payton","sa3022675",694552
"Jase Felker","UK",22,72,0.166666666,0.222222222,0.75,0.315789473,0.458333333,0.403508771,0.861842104,0.087719298,5.665082122016999,0.43902439,0.22835274040699005,14.312066083427496,1.7640775494538026,0.41021014253298443,114.05864808273901,"Jase Felker","sa3031227",
"Alex Finney","OHIO",,127,0.11023622,0.149606299,0.736842105,0.319587628,0.43902439,0.37113402,0.81015841,0.051546392,4.041036268038699,0.382716049,0.33900183730293065,23.902708339152674,2.9373217547515433,0.40218347553315204,114.0103391031053,"Alex Finney","sa3031350",
"Aidan Shepardson","CMU",,231,0.095238095,0.064935064,1.466666666,0.319148936,0.427947598,0.39893617,0.826883768,0.079787234,5.398770647508868,0.34090909,0.896676586358808,43.47432807687689,5.340435943044909,0.40217384318597454,114.00443449177047,"Aidan Shepardson","sa3042138",
"Jake McMurray","ORU",22,288,0.121527777,0.107638888,1.129032258,0.299180327,0.390243902,0.409836065,0.800079967,0.110655738,3.5777473065730385,0.323943661,-0.5721469004638493,46.80653146796988,5.74157241874503,0.3825603663298311,113.9816830496837,"Jake McMurray","sa3037718",
"Evan Scavotto","PORT",,138,0.123188405,0.224637681,0.548387096,0.295652173,0.389705882,0.417391304,0.807097186,0.121739131,6.286931156125591,0.38095238,-0.06579444860108197,22.28759886222317,2.7324827750249123,0.381206457667491,113.97323729933638,"Evan Scavotto","sa3041648",
"Hunter Gieser","ACU",,227,0.088105726,0.321585903,0.273972602,0.264550264,0.374449339,0.534391534,0.908840873,0.26984127,5.858134218418572,0.349056603,0.23036212823353708,41.03189980126045,5.028214282161212,0.39703482021844333,113.96583213541804,"Hunter Gieser","sa3032198",
"Carter Macias","ARMY",,232,0.133620689,0.120689655,1.107142857,0.29787234,0.411504424,0.340425531,0.751929955,0.042553191,6.483164519539955,0.34375,1.2496728859841824,38.054671192059224,4.646987223515222,0.38613725684385386,113.90993529479843,"Carter Macias","sa3036795",
"Christopher Wasson","LIU",,258,0.124031007,0.093023255,1.333333333,0.283653846,0.405511811,0.394230769,0.79974258,0.110576923,6.392424967774661,0.302197802,0.0242087678052485,44.280033157942135,5.40681000220521,0.39435086358250593,113.90882865705278,"Christopher Wasson","sa3044834",
"Mason Hull","MOST",22,241,0.082987551,0.248962655,0.333333333,0.282407407,0.352697095,0.574074074,0.926771169,0.291666667,2.64285714,0.323943661,-0.18416571617126465,44.19899139302209,5.395011087231188,0.3950535385440494,113.90324148377653,"Mason Hull","sa3034285",
"Hunter Donaldson","USA",,94,0.127659574,0.223404255,0.571428571,0.283783783,0.413043478,0.432432432,0.84547591,0.148648649,6.774537605236096,0.37735849,0.13091639196500182,16.925534125639675,2.0603513682620496,0.3982766711193582,113.86024916000105,"Hunter Donaldson","sa3030446",
"Calvin Harris","MISS",20,127,0.118110236,0.244094488,0.483870967,0.336363636,0.417322834,0.5,0.917322834,0.163636364,5.964502629079558,0.441558441,-0.31284933537244797,25.197709950210815,3.064452397229438,0.4097988826083386,113.84546486161796,"Calvin Harris","sa3022496",691941
"Josh Leslie","MCN",21,184,0.059782608,0.114130434,0.523809523,0.331288343,0.379120879,0.509202453,0.888323332,0.17791411,6.91200886876736,0.342857142,0.5293745592935011,33.51928187912729,4.0646385104062865,0.3982050300954462,113.79965277299087,"Josh Leslie","sa3036255",
"Khalil Smith","ALCN",,144,0.111111111,0.229166666,0.484848484,0.292682926,0.388888888,0.512195121,0.901084009,0.219512195,8.148656432729874,0.352941176,1.2991342865861952,28.27217698644356,3.4239287431116505,0.41053133209546405,113.77935663545405,"Khalil Smith","sa3042588",
"Ty DeLancey","APSU",,230,0.108695652,0.165217391,0.657894736,0.29787234,0.406113537,0.478723404,0.884836941,0.180851064,4.689670795643336,0.333333333,0.49239473359193653,43.93985091579236,5.310380001190082,0.3996728242224481,113.74696540092323,"Ty DeLancey","sa3030062",
"Jacob Jenkins-Cowart","ECU",19,257,0.062256809,0.217898832,0.285714285,0.330472103,0.3671875,0.549356223,0.916543723,0.21888412,5.5775215708327766,0.376470588,0.663867123570526,47.2907622923861,5.709897848011059,0.3969445910770446,113.73203256909076,"Jacob Jenkins-Cowart","sa3025201",801881
"Garrett Dill","CIT",19,51,0.156862745,0.294117647,0.533333333,0.268292682,0.411764705,0.463414634,0.875179339,0.195121952,2.64285714,0.4,-0.04396999371238053,9.980578502039522,1.2048186858697836,0.4071222239849614,113.72893870283289,"Garrett Dill","sa3030327",
"Lane Hoover","ECU",,303,0.115511551,0.0660066,1.75,0.34117647,0.423208191,0.415686274,0.838894465,0.074509804,5.9605237538702305,0.368644067,-1.3065835219313158,55.738083942417255,6.714730142239688,0.39688313109069145,113.69700279913398,"Lane Hoover","sa3034067",
"Trey Cutchen","UVU",,214,0.102803738,0.172897196,0.594594594,0.301587301,0.38317757,0.502645502,0.885823072,0.201058201,5.894442333419718,0.344827586,0.22670716512948275,38.58274229298575,4.640941847667529,0.39655658769830365,113.67323414426495,"Trey Cutchen","sa3029741",
"Rhylan Thomas","USC",22,253,0.075098814,0.067193675,1.117647058,0.363228699,0.421686746,0.443946188,0.865632934,0.080717489,4.6543039004934315,0.383495145,-0.6502722324803472,46.10946585745456,5.5461875996077215,0.40268063018599665,113.67292743045203,"Rhylan Thomas","31793",689041
"Gino Avros","APSU",,263,0.125475285,0.106463878,1.178571428,0.304147465,0.41221374,0.456221198,0.868434938,0.152073733,4.793349429653517,0.333333333,-0.7353067636722699,50.2051190628208,6.033158843079931,0.3995238055709664,113.65834527846843,"Gino Avros","sa3026328",
"John Giesler","GT",22,40,0.125,0.275,0.454545454,0.322580645,0.45,0.451612903,0.901612903,0.129032258,1.7499999962500001,0.45,-0.07997043430805206,8.203962632986595,0.9849979370561133,0.4166091695427895,113.64458725793995,"John Giesler","sa3032199",
"Miller Ladusau","ACU",21,240,0.0875,0.241666666,0.362068965,0.303482587,0.40585774,0.442786069,0.848643809,0.139303482,5.596201362960848,0.408450704,0.09259595070034266,43.243858382374476,5.178287789494228,0.39644277444943227,113.60359954899182,"Miller Ladusau","sa3035841",
"Mitchell Buban","MILW",23,179,0.111731843,0.100558659,1.111111111,0.257142857,0.4,0.392857142,0.792857142,0.135714285,7.297989751877212,0.268907563,1.50697301607579,30.586788912471064,3.659433250482806,0.3853321089063372,113.5900208561831,"Mitchell Buban","sa3027936",
