Predicted_Draft_Order,Tier,nameascii,draft_prob,rank_raw,pred_bonus,pred_slot,age,total_college_seasons,eligibility_basis
245,Late,Amp Phillips,99.8,184.75667,306922.0,404122.0,21.0,2,age
246,Late,Dylan Carey,99.8,185.98674,94761.0,231791.0,22.0,4,class
247,Late,Caden Dulin,99.5,186.32176,105380.0,253941.0,22.0,3,class
248,Late,Drew Talavs,95.1,186.61354,204485.0,290015.0,21.0,3,class
249,Late,Nolan Higgins,95.1,186.669,150937.0,334806.0,21.0,4,class
250,Late,Erick Dessens,97.7,186.80927,197204.0,428110.0,21.0,1,age
251,Late,Lee Amedee,96.9,187.3139,124499.0,229032.0,22.0,4,class
252,Late,Owen Clyne,96.7,187.88274,38634.0,160401.0,22.0,2,age
253,Late,Ty Uber,92.2,187.90106,28956.0,191321.0,23.0,4,class
254,Late,Andrew Evans,99.7,188.2026,46583.0,195545.0,22.0,3,class
255,Late,Paul Schoenfeld,98.4,188.68115,37541.0,224832.0,23.0,1,age
256,Late,Mikiah Negrete,98.6,188.89268,60906.0,173247.0,22.0,4,class
257,Late,Oliver De La Torre,99.5,188.92883,187236.0,262356.0,21.0,3,class
258,Late,Jack Lausch,91.3,189.45306,111703.0,226270.0,22.0,2,age
259,Late,Logan Johnstone,97.4,189.6935,28289.0,263530.0,23.0,5,class
260,Late,Blake Cyr,99.6,190.32399,137073.0,176254.0,22.0,4,class
261,Late,Kyeler Thompson,93.2,190.53876,150379.0,252734.0,21.0,2,age
262,Late,David Leslie,90.3,190.87068,40935.0,224401.0,23.0,1,age
263,Late,Logan Knight,98.6,191.34174,89234.0,171602.0,22.0,3,class
264,Late,Stormy Rhodes,98.9,191.66939,187715.0,260007.0,21.0,2,age
265,Late,Ben Tryon,97.7,191.79613,142132.0,233477.0,21.0,3,class
266,Late,Folger Boaz,98.5,192.14418,136621.0,232568.0,22.0,3,class
267,Late,Dane Harvey,95.9,192.20628,254418.0,593143.0,21.0,1,age
268,Late,Dylan Vigue,99.5,192.39516,133492.0,305562.0,22.0,3,class
269,Late,Ethan Lay,99.6,192.43643,84017.0,204736.0,22.0,2,age
270,Late,Carter Dierdorf,97.3,192.45374,76876.0,204823.0,22.0,2,age
271,Late,Hunter Possehl,95.9,192.89223,171526.0,300530.0,21.0,2,age
272,Late,Colter McAnelly,99.5,192.92253,204798.0,340910.0,21.0,3,class
273,Late,Kai Wagner,99.3,193.21219,90545.0,203083.0,22.0,3,class
274,Late,Conner Ross,97.3,194.31255,72296.0,188726.0,22.0,2,age
275,Late,Cade Carr,90.5,194.38509,174315.0,282108.0,21.0,3,class
276,Late,Tyce Armstrong,99.0,194.4877,117229.0,192155.0,22.0,4,class
277,Late,Ryan Towers,90.9,194.50027,34778.0,172593.0,23.0,3,class
278,Late,Ezra McNaughton,99.2,195.0226,120635.0,213200.0,22.0,2,age
279,Late,Trey King,98.7,195.04999,232060.0,310854.0,21.0,3,class
