Name,Team,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,NameASCII,PlayerId,MLBAMID
"Mark Henning","SFA",,229,0.122270742,0.096069868,1.272727272,0.316062176,0.416666666,0.455958549,0.872625215,0.139896373,4.497762160305303,0.339285714,-0.0029634516686201096,43.901298571236495,8.454009998448251,0.41015917428752835,123.84952513670714,"Mark Henning","sa3033616",
"Kenny Ishikawa","UGA",22,160,0.175,0.06875,2.545454545,0.336,0.474683544,0.472,0.946683544,0.136,6.22948645972793,0.351351351,-0.25519325118511915,36.11516367454711,6.947664132310783,0.4357964837852913,123.81988254512575,"Kenny Ishikawa","sa3059572",838973
"Reed Stallman","MSST",23,205,0.112195121,0.248780487,0.450980392,0.317919075,0.409756097,0.624277456,1.034033553,0.306358381,4.783397858215988,0.375,-0.3927793186157942,46.271503726884035,8.90064493839374,0.435791033942525,123.81707358872633,"Reed Stallman","sa3042915",
"Anthony Ruiz","TXSO",22,137,0.116788321,0.124087591,0.94117647,0.336206896,0.419117647,0.534482758,0.953600405,0.198275862,5.450226805005003,0.354166666,0.6710886689834297,29.000611992484572,5.577637227183823,0.43909706306808133,123.81267658387544,"Anthony Ruiz","sa3065402",
"Witt Scafidi","W&M",,156,0.089743589,0.16025641,0.56,0.338345864,0.415584415,0.466165413,0.881749828,0.127819549,2.714174570243035,0.392523364,-0.6427283110097051,30.761579305800247,5.9154727169597585,0.41570994064405364,123.80844940758915,"Witt Scafidi","sa3041633",
"Lane Haworth","UTSA",21,277,0.158844765,0.137184115,1.157894736,0.315068493,0.429602888,0.497716894,0.927319782,0.182648401,4.7733501198412265,0.333333333,-0.11666947323828936,57.11567464620444,10.97444513589713,0.42672653318742554,123.78446619729885,"Lane Haworth","sa3033439",825130
"Steven Ramirez","SIE",,79,0.177215189,0.215189873,0.823529411,0.285714285,0.417721518,0.444444444,0.862165962,0.158730159,5.777123528689886,0.355555555,-0.008298811968415976,14.8161994759203,2.8465680722356823,0.41476901573470876,123.78158504830334,"Steven Ramirez","sa3071073",
"Gavin O'Brien","MASS",,219,0.109589041,0.251141552,0.436363636,0.303664921,0.383561643,0.623036649,1.006598292,0.319371728,5.354570506091508,0.354838709,0.0829243790358305,45.624847531319084,8.761964708567087,0.43020403004128094,123.76907077695817,"Gavin O'Brien","sa3065375",
"Jhett Creel","SFA",21,236,0.186440677,0.139830508,1.333333333,0.302702702,0.440677966,0.4,0.840677966,0.097297298,4.291161890809532,0.34868421,0.4339035842567682,45.19285403480451,8.662023889922308,0.409925882088936,123.71154407268739,"Jhett Creel","sa3069874",
"Danny Ramirez","LIP",21,78,0.089743589,0.217948717,0.411764705,0.318181818,0.415584415,0.454545454,0.870129869,0.136363636,4.00680149478431,0.416666666,-0.7001926000230014,14.821390958436337,2.8375905174096494,0.4126085445478365,123.67855282114947,"Danny Ramirez","sa3071072",
"Jacob May","CSUB",20,217,0.101382488,0.179723502,0.564102564,0.29787234,0.382488479,0.478723404,0.861211883,0.180851064,7.677007847126697,0.349315068,-1.126877337694168,37.06244847035581,7.087528331639118,0.3981309225482325,123.64486143362431,"Jacob May","sa3070714",
"Pierre Cabral","JKST",22,251,0.111553784,0.143426294,0.777777777,0.320388349,0.42,0.529126213,0.949126213,0.208737864,5.995727336926913,0.347305389,-0.03056956361979246,53.053530385442336,10.139905085511758,0.4388012592792511,123.62863779194196,"Pierre Cabral","sa3058788",
"Hunter St. Denis","ME",,240,0.095833333,0.125,0.766666666,0.306220095,0.384937238,0.507177033,0.892114271,0.200956938,4.6205103960971545,0.311764705,0.37243926525115967,45.91417142330859,8.773537363402582,0.4097116522210412,123.62247599018181,"Hunter St. Denis","sa3071364",
"Carter Boyd","DSU",,165,0.121212121,0.157575757,0.769230769,0.32330827,0.424242424,0.533834586,0.95807701,0.210526316,4.373835066782695,0.342857142,-0.008128102868795395,35.95531694739292,6.856151150159342,0.43525805003715284,123.56133230049895,"Carter Boyd","sa3058702",
"Aidan Paradine","SIE",21,212,0.132075471,0.056603773,2.333333333,0.310344827,0.407582938,0.477011494,0.884594432,0.166666667,1.6560150337500001,0.298136645,-0.439659106079489,39.67216198980239,7.551125817889245,0.4143386986018357,123.50835065679482,"Aidan Paradine","sa3060208",
"Thomas Williams","RGV",23,258,0.131782945,0.197674418,0.666666666,0.319444444,0.412451361,0.472222222,0.884673583,0.152777778,5.813130911382642,0.390243902,-1.4895812128670514,49.32141837797097,9.385171863650601,0.40956886454778885,123.5003854463019,"Thomas Williams","sa3060933",
"Jordan Overton","IONA",,136,0.110294117,0.19117647,0.576923076,0.284482758,0.382352941,0.534482758,0.916835699,0.25,2.5586750055136447,0.317647058,-0.659273789729923,25.448006895318304,4.842059162392889,0.4143229595878545,123.49835700425444,"Jordan Overton","sa3039293",
"Christian Bauman","MSM",,227,0.123348017,0.136563876,0.903225806,0.284153005,0.407079646,0.469945355,0.877025001,0.18579235,7.0467537357890295,0.304054054,-2.5253265546634793,42.455933036125096,8.062182040727523,0.41423236638043837,123.44083389394305,"Christian Bauman","sa3026749",
"Cal Miller","UTAH",20,205,0.121951219,0.180487804,0.675675675,0.345238095,0.445544554,0.535714285,0.981258839,0.19047619,2.914241723013366,0.409448818,-0.9437436684966087,45.787136572220156,8.686961176612206,0.43973715293525467,123.41487899715051,"Cal Miller","sa3070786",
"Joey Esposito","LEH",21,7,0,0.428571428,0,0.285714285,0.285714285,0.714285714,0.999999999,0.428571429,0.14285714,0.333333333,-0.005178763531148434,1.2795505680399832,0.24267102855023703,0.406013514314379,123.40397503355662,"Joey Esposito","sa3066380",
"Hasani Johnson","GRAM",21,175,0.234285714,0.217142857,1.078947368,0.276422764,0.464705882,0.357723577,0.822429459,0.081300813,8.092364053601395,0.390804597,0.2968196817673743,36.896289733353036,6.976431456509014,0.4383004640831667,123.31706050194865,"Hasani Johnson","sa3034756",
"Cole Howarth","CBU",23,165,0.084848484,0.224242424,0.378378378,0.376712328,0.420731707,0.51369863,0.934430337,0.136986302,3.649324088361884,0.472727272,-0.11950176837854087,33.01057104657223,6.2393362511210695,0.42568319236359947,123.30612053868066,"Cole Howarth","sa3034159",
"Zachary Daigre","RICE",21,95,0.126315789,0.147368421,0.857142857,0.36,0.467391304,0.386666666,0.85405797,0.026666666,5.959274159936055,0.43548387,0.4226404381915927,19.509261769480904,3.6846523706390473,0.425826749076014,123.2843179744374,"Zachary Daigre","sa3069899",
"Ty Stecko","EMU",22,223,0.107623318,0.278026905,0.387096774,0.295698924,0.403587443,0.564516129,0.968103572,0.268817205,8.249366461820903,0.382608695,1.1815199255943298,46.263586114583134,8.72740862840187,0.42933383731029495,123.25065899854832,"Ty Stecko","sa3042996",
"Devin Chandler","ALST",21,268,0.186567164,0.190298507,0.980392156,0.276381909,0.443609022,0.44723618,0.890845202,0.170854271,3.9230215365706065,0.326388888,-1.6557879080064595,56.46740880794067,10.647282989688104,0.438171995313544,123.23713171788529,"Devin Chandler","sa3028736",
"Keegan Holmstrom","WRST",,217,0.124423963,0.110599078,1.125,0.342696629,0.433962264,0.404494382,0.838456646,0.061797753,5.247122846086211,0.384615384,1.0575169348157942,41.978449470502184,7.914848364096924,0.4098843687547828,123.23550096589356,"Keegan Holmstrom","sa3070354",
"Dawson Park","TXST",20,213,0.117370892,0.244131455,0.48076923,0.301075268,0.386792452,0.575268817,0.962061269,0.274193549,5.580256426283427,0.3553719,0.452869463711977,42.99882176360882,8.105241431210404,0.42113648523699565,123.22846023251084,"Dawson Park","sa3060209",
"Hideki Prather","CAL",21,240,0.108333333,0.166666666,0.65,0.333333333,0.420833333,0.632352941,1.053186274,0.299019608,5.18451538452661,0.352941176,-1.1822818266227841,56.08832388741177,10.567424591604885,0.4499742676814397,123.21444601288509,"Hideki Prather","sa3066445",806197
"Easton Moore","BUT",,51,0.039215686,0.25490196,0.153846153,0.340425531,0.392156862,0.489361702,0.881518564,0.148936171,7.337203117784867,0.454545454,0.13512548804283142,9.436479109264676,1.7769587961209443,0.4081097256903555,123.19934830738273,"Easton Moore","sa3075474",
"Matt DeShiro","MRMK",19,276,0.076086956,0.148550724,0.512195121,0.3125,0.394927536,0.495833333,0.890760869,0.183333333,5.209407315899801,0.34375,-0.4013818888925016,51.51510239146019,9.697149639346847,0.4138356948244399,123.18896311550495,"Matt DeShiro","sa3059044",
"Trey Swygart","PORT",20,225,0.173333333,0.231111111,0.75,0.269662921,0.417777777,0.432584269,0.850362046,0.162921348,2.3532722077165165,0.347107438,0.06825397186912596,40.78444530984358,7.662211635913414,0.4024120471212599,123.13313682689278,"Trey Swygart","sa3060709",
"Davis Johnson","ND",21,67,0.119402985,0.298507462,0.4,0.269230769,0.409090909,0.673076923,1.082167832,0.403846154,6.097953562658468,0.296296296,0.2442293595522642,15.64358124598166,2.935663525902237,0.44975472580302844,123.10105865151833,"Davis Johnson","sa3034732",
