Name,Team,Age,W,L,ERA,G,GS,CG,ShO,SV,IP,TBF,H,R,ER,HR,BB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Logan Waldschmidt","UNO",22,0,0,4.9090908026892315,5,0,0,0,0,7.1,33,6,4,4,3,4,1,1,0,3,"Logan Waldschmidt","sa3074001",
"Adison Mattix","AKR",22,0,0,14.727272408067694,6,0,0,0,0,3.2,27,4,6,6,0,11,2,1,0,3,"Adison Mattix","sa3074118",
"Tyler Stone","VT",20,0,0,32.40000077247621,4,0,0,0,0,1.2,15,4,6,6,0,5,1,3,0,3,"Tyler Stone","sa3074149",
"Andrew Arnold","SAM",,0,0,16.200000386238106,5,0,0,0,0,3.1,21,6,7,6,2,5,1,0,0,3,"Andrew Arnold","sa3074197",
"Calvin Gregory","ORST",20,0,0,3.374999899417165,4,0,0,0,0,2.2,10,1,1,1,0,1,0,0,0,3,"Calvin Gregory","sa3074292",
"Brennan Hileman","ME",,0,0,9,2,0,0,0,0,2,9,1,2,2,1,2,0,0,0,3,"Brennan Hileman","sa3074307",
"Hunter Hyatt","UAB",22,1,0,11.11764737066514,10,0,0,0,0,5.2,34,6,8,7,2,9,2,0,0,3,"Hunter Hyatt","sa3074317",
"Braeden Johnson","COR",,0,0,15.428571428571429,6,0,0,0,0,7,43,10,12,12,1,11,2,1,0,3,"Braeden Johnson","sa3074319",
"Bradley Marks","GW",19,0,3,7.105262979576136,10,1,0,0,0,12.2,71,17,17,10,2,9,6,2,0,3,"Bradley Marks","sa3074353",
"Hayden Trier","EIU",,0,0,23.142857931098185,3,0,0,0,0,4.2,31,14,14,12,3,1,1,1,0,3,"Hayden Trier","sa3074441",
"Kellen Karr","CCU",21,0,0,10.800000257492071,5,0,0,0,0,6.2,40,11,8,8,1,9,2,7,0,3,"Kellen Karr","sa3074763",
"William Leahy","ARMY",,0,0,12.375,5,1,0,0,0,8,47,10,14,11,2,11,2,2,0,3,"William Leahy","sa3074771",
"Bobby Perebzak","HAW",23,0,0,9,2,0,0,0,0,2,10,3,2,2,1,1,0,1,0,3,"Bobby Perebzak","sa3074803",
"Brayden Guillory","SOU",20,0,0,4.5,2,0,0,0,0,2,9,1,1,1,0,1,1,0,0,3,"Brayden Guillory","sa3074994",
"Dane Lemaster","LIP",,0,0,9,4,0,0,0,0,4,19,2,4,4,1,4,2,3,0,3,"Dane Lemaster","sa3075001",
"Jayden Torres","ALST",18,0,0,13.5,6,0,0,0,0,6,36,6,10,9,0,9,3,1,0,3,"Jayden Torres","sa3075020",
"Max Goldberg","PAC",22,0,0,7.5,5,0,0,0,0,6,32,11,5,5,0,2,2,0,0,3,"Max Goldberg","sa3075122",
"Trevor Busby","SF",19,0,2,11.11764737066514,6,2,0,0,0,5.2,30,9,8,7,2,5,1,1,0,3,"Trevor Busby","sa3075166",
"Jackson Peavy","UGA",19,0,0,0,3,0,0,0,0,2.1,11,0,1,0,0,2,1,0,0,3,"Jackson Peavy","sa3075249",
"Ty Wood","WAKE",19,0,0,26.99999919533732,4,0,0,0,0,1.1,12,1,4,4,1,7,0,2,0,3,"Ty Wood","sa3075275",
"Jordan Ake","CCSU",,0,0,11.571428965549092,4,0,0,0,0,4.2,34,9,9,6,2,8,1,3,0,3,"Jordan Ake","sa3075324",
"Jordan Martin","ARK",19,0,0,0,3,0,0,0,0,3,14,4,0,0,0,2,0,0,0,3,"Jordan Martin","sa3075407",
"Nathan ODonnell","MINN",19,2,0,10.124999698251495,5,0,0,0,0,5.1,25,3,6,6,1,3,3,0,0,3,"Nathan ODonnell","sa3075411",
"Masen Swan","CSUF",,0,0,8.100000193119053,7,0,0,0,0,6.2,32,9,9,6,1,4,1,2,0,3,"Masen Swan","sa3075416",
"Tanner Thomas","LOU",19,0,0,3,6,0,0,0,0,6,25,3,3,2,1,5,0,1,0,3,"Tanner Thomas","sa3075480",
"Jackson Bottar","CIT",,0,1,12.461538004451972,3,0,0,0,0,4.1,28,7,11,6,2,5,1,2,0,3,"Jackson Bottar","sa3075524",
"JD Costanzo","WVU",20,0,0,13.49999959766866,4,0,0,0,0,2.2,18,7,6,4,1,3,0,1,0,3,"JD Costanzo","sa3075527",
"Cole Lanclos","BAY",19,0,0,7.714285977032729,3,0,0,0,0,2.1,12,4,2,2,0,0,2,0,0,3,"Cole Lanclos","sa3075537",
"Weston Smith","WVU",19,0,0,6.352941354665794,6,0,0,0,0,5.2,24,6,4,4,1,1,1,0,0,3,"Weston Smith","sa3075548",
"Jake Taylor","COLU",,0,1,18,3,0,0,0,0,3,21,6,7,6,0,3,3,2,0,3,"Jake Taylor","sa3075549",
"Braden Fridgen","PENN",20,0,0,12,4,0,0,0,0,3,23,5,7,4,0,6,3,1,0,3,"Braden Fridgen","sa3075570",
"Landon Nichols","PRES",,0,0,18,5,0,0,0,0,5,31,12,12,10,5,3,0,0,0,3,"Landon Nichols","sa3075579",
"Aidan O'Brien","FOR",20,0,0,24.30000057935716,4,0,0,0,0,3.1,22,9,9,9,2,2,1,0,0,3,"Aidan O'Brien","sa3075580",
