Predicted_Draft_Order,Tier,nameascii,draft_prob,rank_raw,pred_bonus,pred_slot,class_ord,total_college_seasons,eligibility_basis
194,Late,Luke Lawrence,92.8,177.22101,485626.0,667023.0,2.0,3,seasons
195,Late,Ethan Calder,93.8,178.19476,167198.0,435411.0,3.0,3,seasons
196,Late,Riely Hunsaker,97.4,178.3169,108478.0,192538.0,3.0,2,class
197,Late,Ryan Wideman,98.8,178.50615,215434.0,309142.0,3.0,1,class
198,Late,Jared Davis,93.3,178.64636,197180.0,199213.0,3.0,1,class
199,Late,Jack Kartsonas,98.7,179.43529,50380.0,225539.0,4.0,4,seasons
200,Late,Bobby Boser,99.2,179.67659,87420.0,371010.0,4.0,4,seasons
201,Late,Joseph Webb,97.6,179.76645,167531.0,286359.0,3.0,1,class
202,Late,Ethan Firoved,99.3,180.55664,63225.0,208646.0,4.0,3,seasons
203,Late,Corey Braun,97.9,181.02211,72814.0,332699.0,3.0,2,class
204,Late,Sebastian Greico,94.1,181.23262,88833.0,266484.0,4.0,3,seasons
205,Late,Dylan Mathiesen,98.1,181.34315,171560.0,316655.0,3.0,2,class
206,Late,Richie Bonomolo Jr.,97.4,181.831,207690.0,344250.0,3.0,1,class
207,Late,Gabriel Nard,93.6,182.01447,218146.0,288845.0,3.0,3,seasons
208,Late,Cameron Nickens,98.2,182.09256,73718.0,622880.0,4.0,4,seasons
209,Late,Donovan Cash,98.6,182.68288,38686.0,285700.0,4.0,4,seasons
210,Late,Logan Forsythe,99.1,182.9975,210703.0,261641.0,3.0,3,seasons
211,Late,Ryan Reed,96.8,183.16069,172640.0,306445.0,3.0,3,seasons
212,Late,Matt Adams,98.4,183.23439,50585.0,173518.0,4.0,4,seasons
213,Late,Ian Cooke,97.4,184.22649,47600.0,219785.0,4.0,4,seasons
214,Late,Dominic Castellano,96.4,184.8281,74240.0,209527.0,4.0,4,seasons
215,Late,Griffin Kirn,93.2,185.6081,39662.0,260576.0,4.0,1,class
216,Late,Mason Nichols,94.2,185.68076,102172.0,297100.0,4.0,4,seasons
217,Late,Colton Shaw,92.4,185.91147,57049.0,238343.0,4.0,4,seasons
218,Late,Hunter Hines,90.9,186.25883,129512.0,273391.0,4.0,4,seasons
219,Late,Kurt Barr,98.0,186.71848,215726.0,281041.0,3.0,3,seasons
220,Late,Hunter Stokley,97.7,186.94644,82198.0,222037.0,4.0,5,seasons
221,Late,Ryland Zaborowski,93.7,187.04895,88122.0,276356.0,4.0,3,seasons
222,Late,Anthony DePino,97.4,189.28528,95515.0,409121.0,4.0,4,seasons
223,Late,Isaac Lyon,98.4,189.81242,163604.0,347636.0,3.0,3,seasons
224,Late,Ryan DeSanto,99.0,190.26369,134634.0,315161.0,3.0,3,seasons
225,Late,Jacob Krieg,95.6,191.4279,330230.0,443751.0,3.0,3,seasons
226,Late,Jack Kail,90.6,191.50063,186616.0,339618.0,3.0,3,seasons
227,Late,Sam Miller,96.1,191.958,170014.0,335215.0,3.0,3,seasons
228,Late,Lincoln Sheffield,99.6,193.06589,151275.0,229249.0,3.0,1,class
229,Late,Peyton Havard,97.7,193.10919,68610.0,226253.0,4.0,4,seasons
230,Late,Justin DeCriscio,92.0,193.11513,178176.0,407706.0,4.0,4,seasons
231,Late,Harry Cain,93.9,193.39252,46523.0,208398.0,4.0,2,class
