Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
54,Purdue,Big Ten,18-12,18,12,36-20,36,20,85,16-6,16,6,54,137,19-6,19,6,7-7,7,7,10-7,10,7,2-7,2,7,6-7,6,7,9-3,9,3,19-3,19,3
55,Tarleton State,Western Athletic,12-6,12,6,38-21,38,21,92,22-13,22,13,60,84,19-9,19,9,14-8,14,8,5-4,5,4,2-5,2,5,3-5,3,5,19-6,19,6,14-5,14,5
56,Kansas State,Big 12,11-19,11,19,30-27,30,27,29,17-7,17,7,37,74,12-13,12,13,10-12,10,12,8-2,8,2,3-16,3,16,12-8,12,8,7-1,7,1,8-2,8,2
57,Campbell,Coastal Athletic,26-4,26,4,41-17,41,17,156,13-11,13,11,94,88,18-9,18,9,20-5,20,5,3-3,3,3,2-4,2,4,5-0,5,0,18-5,18,5,16-8,16,8
58,Arkansas State,Sun Belt,12-18,12,18,29-24,29,24,52,17-6,17,6,22,78,16-10,16,10,13-14,13,14,0-0,0,0,4-5,4,5,8-12,8,12,7-6,7,6,10-1,10,1
59,North Carolina State,ACC,14-16,14,16,32-24,32,24,41,18-5,18,5,82,219,24-11,24,11,6-11,6,11,2-2,2,2,5-13,5,13,7-5,7,5,7-3,7,3,13-3,13,3
60,LSU,SEC,9-21,9,21,30-28,30,28,12,20-6,20,6,58,114,23-14,23,14,3-13,3,13,4-1,4,1,5-20,5,20,5-3,5,3,5-1,5,1,15-4,15,4
61,California,ACC,12-18,12,18,29-26,29,26,37,17-7,17,7,81,215,15-14,15,14,14-11,14,11,0-1,0,1,7-14,7,14,3-2,3,2,6-6,6,6,13-4,13,4
62,Cal Poly,Big West,22-8,22,8,39-24,39,24,107,11-13,11,13,105,44,18-10,18,10,15-13,15,13,6-1,6,1,3-10,3,10,5-5,5,5,11-6,11,6,20-3,20,3
63,California Baptist,Western Athletic,11-7,11,7,44-15,44,15,221,32-6,32,6,52,264,19-7,19,7,24-6,24,6,1-2,1,2,2-2,2,2,7-3,7,3,10-3,10,3,25-7,25,7
64,Western Carolina,Southern,14-7,14,7,36-23,36,23,96,21-14,21,14,101,178,21-7,21,7,12-12,12,12,3-4,3,4,4-5,4,5,8-5,8,5,7-7,7,7,17-6,17,6
65,South Alabama,Sun Belt,17-13,17,13,34-23,34,23,76,16-8,16,8,76,132,19-11,19,11,13-9,13,9,2-3,2,3,8-11,8,11,2-0,2,0,14-7,14,7,10-5,10,5
66,Baylor,Big 12,14-16,14,16,29-27,29,27,28,14-10,14,10,79,60,19-10,19,10,8-11,8,11,2-6,2,6,4-15,4,15,10-7,10,7,3-4,3,4,12-1,12,1
67,UAB,American,15-12,15,12,32-26,32,26,48,16-12,16,12,66,31,20-12,20,12,11-11,11,11,1-3,1,3,8-11,8,11,3-6,3,6,5-4,5,4,16-5,16,5
68,Saint Joseph's,Atlantic 10,25-5,25,5,36-19,36,19,161,10-12,10,12,117,134,16-5,16,5,18-12,18,12,2-2,2,2,1-2,1,2,2-5,2,5,14-8,14,8,19-4,19,4
69,Iowa,Big Ten,15-15,15,15,30-23,30,23,73,14-6,14,6,84,216,13-8,13,8,10-10,10,10,7-5,7,5,0-11,0,11,4-4,4,4,16-5,16,5,10-3,10,3
70,Vanderbilt,SEC,14-16,14,16,33-25,33,25,51,18-8,18,8,140,246,26-8,26,8,5-11,5,11,2-6,2,6,6-16,6,16,5-3,5,3,6-2,6,2,16-4,16,4
71,Xavier,Big East,15-6,15,6,28-30,28,30,55,12-22,12,22,77,8,9-9,9,9,17-19,17,19,2-2,2,2,5-13,5,13,4-5,4,5,8-6,8,6,11-6,11,6
72,Notre Dame,ACC,13-17,13,17,31-22,31,22,86,17-4,17,4,95,293,16-8,16,8,10-11,10,11,5-3,5,3,3-13,3,13,6-7,6,7,6-1,6,1,16-1,16,1
73,Dallas Baptist,Conference USA,19-11,19,11,32-26,32,26,58,12-13,12,13,99,35,19-12,19,12,12-12,12,12,1-2,1,2,2-10,2,10,6-8,6,8,11-5,11,5,13-3,13,3
74,Little Rock,Ohio Valley,16-11,16,11,39-28,39,28,102,14-14,14,14,118,102,17-10,17,10,14-17,14,17,8-1,8,1,3-7,3,7,6-7,6,7,10-7,10,7,20-7,20,7
75,Eastern Illinois,Ohio Valley,18-9,18,9,33-21,33,21,157,13-10,13,10,107,242,9-5,9,5,20-13,20,13,4-3,4,3,1-2,1,2,7-6,7,6,9-4,9,4,16-9,16,9
76,Southeastern Louisiana,Southland,19-9,19,9,33-21,33,21,112,11-10,11,10,92,48,19-8,19,8,11-11,11,11,3-2,3,2,2-3,2,3,4-7,4,7,8-8,8,8,19-3,19,3
77,Rice,American,16-11,16,11,35-24,35,24,93,18-11,18,11,88,167,20-10,20,10,13-11,13,11,2-3,2,3,2-5,2,5,6-8,6,8,15-4,15,4,12-7,12,7
78,Washington State,Mountain West,15-9,15,9,31-28,31,28,78,12-16,12,16,68,23,13-8,13,8,14-16,14,16,4-4,4,4,4-10,4,10,3-7,3,7,9-6,9,6,15-5,15,5
79,BYU,Big 12,14-16,14,16,28-28,28,28,61,13-11,13,11,93,144,9-13,9,13,16-14,16,14,3-1,3,1,3-6,3,6,12-7,12,7,8-10,8,10,5-5,5,5
80,Northern Illinois,Mid-American,21-12,21,12,36-19,36,19,196,10-5,10,5,53,189,12-6,12,6,19-12,19,12,5-1,5,1,1-2,1,2,8-2,8,2,11-8,11,8,16-7,16,7
81,South Florida,American,11-16,11,16,32-21,32,21,104,21-5,21,5,31,153,23-9,23,9,9-12,9,12,0-0,0,0,4-7,4,7,1-2,1,2,7-6,7,6,20-6,20,6
82,VCU,Atlantic 10,20-10,20,10,38-25,38,25,123,12-12,12,12,85,42,21-7,21,7,10-15,10,15,7-3,7,3,2-9,2,9,4-3,4,3,10-8,10,8,22-5,22,5
83,Samford,Southern,12-9,12,9,31-25,31,25,66,16-15,16,15,142,129,19-12,19,12,9-11,9,11,3-2,3,2,3-10,3,10,4-7,4,7,9-2,9,2,15-6,15,6
84,Louisiana Tech,Conference USA,19-11,19,11,33-25,33,25,82,14-12,14,12,89,56,19-12,19,12,12-11,12,11,2-2,2,2,2-9,2,9,9-4,9,4,7-8,7,8,15-4,15,4
85,South Carolina Upstate,Big South,13-11,13,11,34-30,34,30,98,16-16,16,16,70,81,16-5,16,5,11-23,11,23,7-2,7,2,1-8,1,8,7-11,7,11,12-7,12,7,14-4,14,4
86,Saint John's,Big East,15-6,15,6,36-26,36,26,129,15-18,15,18,126,111,12-9,12,9,20-14,20,14,4-3,4,3,2-8,2,8,8-3,8,3,12-8,12,8,14-7,14,7
87,Northeastern,Coastal Athletic,22-8,22,8,39-22,39,22,172,12-11,12,11,108,127,15-7,15,7,17-9,17,9,7-6,7,6,2-5,2,5,3-2,3,2,13-10,13,10,21-5,21,5
88,Maryland,Big Ten,9-21,9,21,27-29,27,29,63,18-8,18,8,29,87,14-9,14,9,13-19,13,19,0-1,0,1,3-11,3,11,2-7,2,7,7-9,7,9,15-2,15,2
89,Ohio State,Big Ten,18-12,18,12,30-25,30,25,83,11-11,11,11,178,186,14-10,14,10,11-8,11,8,5-7,5,7,6-8,6,8,6-3,6,3,7-9,7,9,11-5,11,5
90,Duke,ACC,10-20,10,20,26-31,26,31,17,15-10,15,10,148,197,21-13,21,13,4-17,4,17,1-1,1,1,5-22,5,22,4-2,4,2,4-3,4,3,13-4,13,4
91,Lamar,Southland,19-11,19,11,34-27,34,27,109,9-13,9,13,141,58,16-11,16,11,12-14,12,14,6-2,6,2,1-8,1,8,1-2,1,2,20-12,20,12,12-5,12,5
92,Louisville,ACC,13-17,13,17,30-27,30,27,60,17-9,17,9,131,206,24-10,24,10,4-14,4,14,2-3,2,3,5-11,5,11,4-8,4,8,6-2,6,2,15-6,15,6
93,Kennesaw State,Conference USA,13-17,13,17,25-28,25,28,45,12-9,12,9,44,9,16-12,16,12,9-14,9,14,0-2,0,2,3-12,3,12,3-5,3,5,7-11,7,11,12-0,12,0
94,San Diego State,Mountain West,16-8,16,8,36-24,36,24,162,17-14,17,14,111,152,21-6,21,6,11-15,11,15,4-3,4,3,1-2,1,2,1-4,1,4,12-13,12,13,22-5,22,5
95,Minnesota,Big Ten,11-19,11,19,30-23,30,23,97,19-4,19,4,43,169,19-12,19,12,7-11,7,11,4-0,4,0,2-8,2,8,2-4,2,4,10-9,10,9,16-2,16,2
96,UC San Diego,Big West,18-12,18,12,27-28,27,28,79,6-14,6,14,114,6,13-10,13,10,11-16,11,16,3-2,3,2,4-12,4,12,1-3,1,3,12-5,12,5,10-8,10,8
97,Creighton,Big East,13-8,13,8,31-26,31,26,116,16-16,16,16,100,77,16-7,16,7,12-14,12,14,3-5,3,5,1-7,1,7,7-9,7,9,9-5,9,5,14-5,14,5
98,Charlotte,American,12-15,12,15,28-28,28,28,64,16-12,16,12,87,63,19-13,19,13,9-13,9,13,0-2,0,2,3-9,3,9,4-1,4,1,8-15,8,15,13-3,13,3
99,UTRGV,Southland,17-13,17,13,26-29,26,29,84,9-14,9,14,67,15,11-10,11,10,15-17,15,17,0-2,0,2,3-8,3,8,2-8,2,8,13-6,13,6,8-7,8,7
100,Connecticut,Big East,15-6,15,6,32-26,32,26,142,17-18,17,18,103,120,9-10,9,10,21-10,21,10,2-6,2,6,0-3,0,3,4-4,4,4,18-15,18,15,10-4,10,4
101,Sacramento State,Western Athletic,10-8,10,8,29-32,29,32,75,16-22,16,22,130,79,12-14,12,14,14-16,14,16,3-2,3,2,4-4,4,4,4-7,4,7,12-7,12,7,9-14,9,14
102,Illinois,Big Ten,14-16,14,16,27-27,27,27,80,13-9,13,9,115,183,16-9,16,9,7-14,7,14,4-4,4,4,4-9,4,9,2-6,2,6,7-8,7,8,14-4,14,4
103,Utah,Big 12,12-18,12,18,26-25,26,25,101,14-6,14,6,86,265,16-8,16,8,9-16,9,16,1-1,1,1,2-13,2,13,3-5,3,5,5-5,5,5,16-2,16,2
104,East Tennessee State,Southern,10-11,10,11,30-23,30,23,146,20-11,20,11,123,266,19-7,19,7,11-15,11,15,0-1,0,1,0-3,0,3,9-11,9,11,3-5,3,5,18-4,18,4
105,Missouri,SEC,6-24,6,24,24-31,24,31,33,17-6,17,6,96,252,14-14,14,14,3-15,3,15,7-2,7,2,5-23,5,23,1-0,1,0,3-3,3,3,15-5,15,5
106,SIUE,Ohio Valley,19-7,19,7,33-24,33,24,185,13-15,13,15,231,272,16-7,16,7,16-15,16,15,1-2,1,2,1-5,1,5,9-5,9,5,8-5,8,5,15-9,15,9
107,Michigan State,Big Ten,11-19,11,19,24-32,24,32,50,11-12,11,12,128,121,11-12,11,12,10-14,10,14,3-6,3,6,0-11,0,11,6-3,6,3,11-15,11,15,7-3,7,3
108,Houston,Big 12,7-23,7,23,24-31,24,31,44,17-8,17,8,48,65,11-17,11,17,8-12,8,12,5-2,5,2,5-13,5,13,2-4,2,4,11-13,11,13,6-1,6,1
109,Longwood,Big South,11-13,11,13,34-27,34,27,150,18-12,18,12,91,184,18-8,18,8,11-17,11,17,5-2,5,2,3-4,3,4,4-4,4,4,11-13,11,13,16-6,16,6
110,Stanford,ACC,13-17,13,17,28-26,28,26,77,14-8,14,8,199,269,19-13,19,13,6-10,6,10,3-3,3,3,6-6,6,6,6-11,6,11,4-3,4,3,12-6,12,6
111,Morehead State,Ohio Valley,15-12,15,12,31-24,31,24,188,16-11,16,11,106,251,14-7,14,7,17-16,17,16,0-1,0,1,2-2,2,2,4-10,4,10,5-3,5,3,20-9,20,9
112,Memphis,American,13-14,13,14,24-34,24,34,39,9-18,9,18,171,25,14-16,14,16,8-16,8,16,2-2,2,2,1-9,1,9,12-9,12,9,4-11,4,11,7-5,7,5
113,Winthrop,Big South,15-9,15,9,33-24,33,24,149,18-13,18,13,124,164,23-9,23,9,9-13,9,13,1-2,1,2,0-7,0,7,2-2,2,2,8-6,8,6,23-9,23,9
114,Old Dominion,Sun Belt,15-15,15,15,29-26,29,26,99,14-10,14,10,120,124,19-14,19,14,10-11,10,11,0-1,0,1,4-7,4,7,2-3,2,3,8-10,8,10,15-6,15,6
115,Wofford,Southern,12-9,12,9,34-22,34,22,170,22-11,22,11,172,287,24-9,24,9,10-10,10,10,0-3,0,3,0-4,0,4,6-4,6,4,6-7,6,7,22-7,22,7
116,Appalachian State,Sun Belt,17-13,17,13,30-24,30,24,135,13-9,13,9,166,254,18-10,18,10,12-11,12,11,0-3,0,3,3-6,3,6,4-10,4,10,4-6,4,6,19-2,19,2
117,Saint Mary's College,West Coast,15-12,15,12,36-27,36,27,158,15-12,15,12,75,73,16-13,16,13,15-10,15,10,5-4,5,4,2-1,2,1,5-5,5,5,10-13,10,13,19-8,19,8
118,Binghamton,America East,17-7,17,7,31-22,31,22,208,11-13,11,13,146,165,14-7,14,7,14-14,14,14,3-1,3,1,1-4,1,4,0-3,0,3,8-6,8,6,22-9,22,9
119,Cal State Fullerton,Big West,15-15,15,15,24-32,24,32,71,8-15,8,15,73,3,11-13,11,13,12-17,12,17,1-2,1,2,3-8,3,8,3-7,3,7,9-10,9,10,9-7,9,7
120,Rider,MAAC,22-8,22,8,33-20,33,20,267,8-9,8,9,144,259,13-3,13,3,17-15,17,15,3-2,3,2,0-2,0,2,0-2,0,2,7-6,7,6,26-10,26,10
121,UNCW,Coastal Athletic,16-14,16,14,30-28,30,28,111,12-12,12,12,104,37,15-17,15,17,13-9,13,9,2-2,2,2,1-6,1,6,1-3,1,3,15-12,15,12,13-7,13,7
122,FGCU,ASUN,17-12,17,12,36-22,36,22,222,17-8,17,8,72,151,22-8,22,8,12-12,12,12,2-2,2,2,0-2,0,2,2-1,2,1,13-8,13,8,21-11,21,11
123,Portland,West Coast,13-14,13,14,27-25,27,25,125,14-11,14,11,55,18,19-6,19,6,7-15,7,15,1-4,1,4,3-8,3,8,1-3,1,3,4-7,4,7,19-7,19,7
124,Rutgers,Big Ten,13-17,13,17,26-30,26,30,89,13-11,13,11,110,131,13-14,13,14,12-13,12,13,1-3,1,3,1-10,1,10,3-3,3,3,13-12,13,12,9-5,9,5
125,Indiana,Big Ten,9-21,9,21,23-31,23,31,72,14-10,14,10,63,99,13-10,13,10,9-19,9,19,1-2,1,2,1-12,1,12,4-4,4,4,7-9,7,9,11-6,11,6
126,UC Irvine,Big West,14-16,14,16,25-27,25,27,95,11-11,11,11,61,12,13-14,13,14,10-12,10,12,2-1,2,1,2-6,2,6,6-8,6,8,5-6,5,6,12-7,12,7
127,Texas Tech,Big 12,10-20,10,20,27-28,27,28,88,17-7,17,7,97,202,20-12,20,12,7-12,7,12,0-4,0,4,4-10,4,10,3-12,3,12,8-2,8,2,12-4,12,4
128,FAU,American,12-15,12,15,28-28,28,28,87,16-12,16,12,138,136,18-19,18,19,10-8,10,8,0-1,0,1,0-2,0,2,7-11,7,11,9-11,9,11,12-4,12,4
129,Richmond,Atlantic 10,20-10,20,10,33-24,33,24,178,13-12,13,12,201,207,21-12,21,12,12-10,12,10,0-2,0,2,0-3,0,3,0-3,0,3,9-10,9,10,24-8,24,8
130,Jacksonville,ASUN,16-14,16,14,30-25,30,25,159,13-10,13,10,57,22,19-10,19,10,10-14,10,14,1-1,1,1,3-3,3,3,1-3,1,3,4-6,4,6,22-13,22,13
131,Charleston Southern,Big South,13-11,13,11,30-23,30,23,173,16-10,16,10,127,209,20-9,20,9,9-12,9,12,1-2,1,2,0-1,0,1,5-9,5,9,4-6,4,6,21-7,21,7
132,Georgia State,Sun Belt,14-16,14,16,27-30,27,30,100,12-12,12,12,139,117,17-12,17,12,9-16,9,16,1-2,1,2,2-10,2,10,0-6,0,6,7-6,7,6,18-8,18,8
133,Hawaii,Big West,16-14,16,14,24-23,24,23,113,8-8,8,8,83,14,17-10,17,10,7-12,7,12,0-1,0,1,2-5,2,5,1-2,1,2,6-8,6,8,15-8,15,8
134,McNeese,Southland,16-14,16,14,29-26,29,26,130,10-9,10,9,160,149,15-14,15,14,11-9,11,9,3-3,3,3,1-3,1,3,5-4,5,4,12-11,12,11,11-8,11,8
135,South Carolina,SEC,7-23,7,23,22-35,22,35,21,15-11,15,11,162,166,18-18,18,18,4-14,4,14,0-3,0,3,2-23,2,23,6-6,6,6,2-1,2,1,12-5,12,5
136,Air Force,Mountain West,15-9,15,9,27-28,27,28,145,10-17,10,17,190,150,15-2,15,2,7-19,7,19,5-7,5,7,1-5,1,5,0-11,0,11,8-8,8,8,18-4,18,4
