Rank,Team,Conference,Conference_Record,Conference_Record_Wins,Conference_Record_Losses,Overall_Record,Overall_Record_Wins,Overall_Record_Losses,RPI,SOS,NC_Rec,NC_Rec_Wins,NC_Rec_Losses,NC_RPI,NC_SOS,H,H_Wins,H_Losses,R,R_Wins,R_Losses,N,N_Wins,N_Losses,Q1,Q1_Wins,Q1_Losses,Q2,Q2_Wins,Q2_Losses,Q3,Q3_Wins,Q3_Losses,Q4,Q4_Wins,Q4_Losses
218,Pacific,West Coast,7-20,7,20,17-34,17,34,218,124,10-14,10,14,106,71,8-14,8,14,9-20,9,20,0-0,0,0,1-4,1,4,4-9,4,9,2-5,2,5,10-16,10,16
219,SIUE,Ohio Valley,13-17,13,17,23-27,23,27,219,251,10-10,10,10,190,238,13-10,13,10,10-17,10,17,0-0,0,0,0-0,0,0,2-4,2,4,4-6,4,6,17-17,17,17
220,Memphis,American Athletic,7-25,7,25,18-39,18,39,220,66,10-12,10,12,141,113,13-16,13,16,3-21,3,21,2-2,2,2,1-13,1,13,5-20,5,20,1-2,1,2,11-4,11,4
221,Manhattan,MAAC,12-22,12,22,12-24,12,24,221,96,0-0,0,0,272,271,8-10,8,10,4-14,4,14,0-0,0,0,0-6,0,6,1-11,1,11,2-2,2,2,9-5,9,5
222,Iona,MAAC,3-11,3,11,3-11,3,11,222,54,0-0,0,0,272,271,1-3,1,3,2-8,2,8,0-0,0,0,0-4,0,4,1-3,1,3,0-0,0,0,2-4,2,4
223,Fordham,Atlantic 10,11-9,11,9,24-19,24,19,223,276,13-10,13,10,152,223,14-10,14,10,10-9,10,9,0-0,0,0,0-0,0,0,1-0,1,0,7-6,7,6,16-13,16,13
224,Purdue,Big Ten,16-26,16,26,16-26,16,26,224,196,0-0,0,0,272,271,4-9,4,9,8-9,8,9,4-8,4,8,1-3,1,3,1-9,1,9,5-10,5,10,9-4,9,4
225,Texas State,Sun Belt,9-15,9,15,21-36,21,36,225,132,12-19,12,19,182,128,14-15,14,15,5-17,5,17,2-4,2,4,1-6,1,6,3-6,3,6,8-9,8,9,9-15,9,15
226,Florida A&M,MEAC,15-13,15,13,22-34,22,34,226,192,6-19,6,19,211,123,14-9,14,9,4-24,4,24,4-1,4,1,0-4,0,4,2-9,2,9,0-5,0,5,20-16,20,16
227,Belmont,Ohio Valley,14-16,14,16,21-30,21,30,227,206,7-14,7,14,215,183,14-11,14,11,7-19,7,19,0-0,0,0,0-5,0,5,1-4,1,4,6-6,6,6,14-15,14,15
228,Towson,Colonial Athletic,11-12,11,12,21-36,21,36,228,186,10-22,10,22,225,202,12-11,12,11,9-23,9,23,0-2,0,2,2-9,2,9,0-7,0,7,0-2,0,2,19-18,19,18
229,La Salle,Atlantic 10,15-9,15,9,32-21,32,21,229,287,17-12,17,12,239,269,15-10,15,10,17-11,17,11,0-0,0,0,0-0,0,0,2-2,2,2,3-5,3,5,27-14,27,14
230,Saint Louis,Atlantic 10,6-10,6,10,16-31,16,31,230,115,10-21,10,21,212,161,8-19,8,19,8-12,8,12,0-0,0,0,1-6,1,6,2-8,2,8,6-9,6,9,7-8,7,8
231,Milwaukee,Horizon League,17-23,17,23,22-33,22,33,231,213,3-8,3,8,243,198,12-12,12,12,8-21,8,21,2-0,2,0,1-5,1,5,0-3,0,3,7-11,7,11,14-14,14,14
232,Delaware,Colonial Athletic,8-16,8,16,12-22,12,22,232,145,4-6,4,6,155,130,8-9,8,9,4-13,4,13,0-0,0,0,2-6,2,6,0-2,0,2,0-0,0,0,10-14,10,14
233,Houston,American Athletic,7-21,7,21,19-34,19,34,233,169,12-11,12,11,146,197,11-13,11,13,8-19,8,19,0-2,0,2,1-2,1,2,5-25,5,25,2-2,2,2,11-5,11,5
234,Eastern Michigan,Mid-American,15-25,15,25,21-30,21,30,234,254,6-5,6,5,102,227,7-13,7,13,14-17,14,17,0-0,0,0,2-9,2,9,0-0,0,0,1-3,1,3,18-18,18,18
235,Incarnate Word,Southland,17-23,17,23,21-28,21,28,235,236,4-5,4,5,227,230,15-10,15,10,6-18,6,18,0-0,0,0,0-2,0,2,1-4,1,4,4-8,4,8,16-14,16,14
236,Nicholls,Southland,16-24,16,24,21-34,21,34,236,187,5-10,5,10,209,156,15-15,15,15,6-19,6,19,0-0,0,0,0-2,0,2,2-2,2,2,5-14,5,14,14-16,14,16
